Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00066.trk
Object,0
Samples,311
treatment,3,
cage,36,
mark,2,
id,106,
trial,3,
date,2009-07-29 13:35:34.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,74.91,184.44,308.00,432.00,n ext
2,0.20,67.14,183.71,352.00,364.00,n ext
3,0.40,66.02,183.05,492.00,204.00,n ext
4,0.60,66.20,180.54,512.00,276.00,n ext
5,0.80,67.64,176.25,492.00,372.00,north
6,1.00,68.48,172.95,552.00,284.00,north
7,1.20,69.32,169.72,500.00,300.00,north
8,1.40,71.00,167.15,528.00,316.00,north
9,1.60,71.54,166.30,648.00,256.00,north
10,1.80,72.07,165.46,688.00,344.00,north
11,2.00,72.60,164.63,616.00,272.00,north
12,2.20,73.12,163.80,616.00,168.00,north
13,2.40,73.12,163.80,624.00,168.00,north
14,2.60,71.02,163.45,700.00,252.00,north
15,2.80,66.44,163.73,780.00,320.00,north
16,3.00,60.76,164.58,728.00,460.00,north
17,3.20,52.07,167.57,836.00,508.00,north
18,3.40,41.75,173.27,784.00,572.00,north
19,3.60,30.79,179.55,792.00,552.00,north
20,3.80,19.68,186.89,764.00,532.00,north
21,4.00,9.65,194.32,748.00,496.00,north
22,4.20,0.88,200.75,624.00,572.00,n ext
23,4.40,-2.42,202.53,672.00,448.00,n ext
24,4.60,-3.82,202.07,596.00,516.00,n ext
25,4.80,-1.35,197.48,644.00,544.00,w ext
26,5.00,1.27,191.51,580.00,584.00,w ext
27,5.20,5.77,182.14,584.00,588.00,w ext
28,5.40,9.66,170.70,592.00,648.00,w ext
29,5.60,11.68,162.29,632.00,584.00,w ext
30,5.80,13.17,153.20,604.00,524.00,w ext
31,6.00,14.90,143.14,544.00,468.00,w ext
32,6.20,15.08,138.01,648.00,280.00,w ext
33,6.40,15.63,130.80,480.00,360.00,w ext
34,6.60,17.13,121.52,432.00,384.00,w ext
35,6.80,18.98,112.33,464.00,320.00,w ext
36,7.00,22.21,102.03,584.00,440.00,w ext
37,7.20,25.65,91.11,664.00,496.00,west
38,7.40,28.96,80.15,688.00,640.00,west
39,7.60,32.10,71.13,652.00,708.00,west
40,7.80,34.10,62.19,712.00,724.00,west
41,8.00,34.38,52.28,672.00,832.00,west
42,8.20,33.24,44.13,672.00,736.00,west
43,8.40,29.78,34.94,692.00,844.00,west
44,8.60,24.43,25.41,648.00,732.00,south
45,8.80,18.68,17.19,644.00,620.00,south
46,9.00,11.88,8.89,588.00,536.00,south
47,9.20,6.97,2.87,448.00,380.00,s ext
48,9.40,6.63,2.08,496.00,184.00,s ext
49,9.60,9.20,3.05,380.00,468.00,s ext
50,9.80,11.33,3.70,508.00,360.00,s ext
51,10.00,16.94,6.53,448.00,388.00,s ext
52,10.20,25.01,11.80,560.00,376.00,s ext
53,10.40,37.04,18.22,468.00,476.00,south
54,10.60,48.99,23.36,524.00,456.00,south
55,10.80,59.68,27.56,568.00,524.00,south
56,11.00,68.43,29.53,620.00,484.00,south
57,11.20,77.10,29.93,632.00,580.00,south
58,11.40,86.03,27.83,572.00,548.00,south
59,11.60,94.10,24.78,540.00,464.00,south
60,11.80,99.37,22.03,500.00,320.00,south
61,12.00,104.98,18.98,464.00,300.00,s ext
62,12.20,112.99,14.41,480.00,320.00,s ext
63,12.40,119.43,10.57,488.00,312.00,s ext
64,12.60,125.75,7.48,376.00,376.00,s ext
65,12.80,132.99,5.93,296.00,360.00,s ext
66,13.00,137.12,6.85,280.00,344.00,s ext
67,13.20,145.12,5.39,356.00,284.00,s ext
68,13.40,153.64,2.29,332.00,344.00,s ext
69,13.60,149.64,6.53,412.00,376.00,s ext
70,13.80,157.75,4.91,336.00,380.00,s ext
71,14.00,162.92,4.88,296.00,312.00,s ext
72,14.20,167.09,4.20,440.00,304.00,s ext
73,14.40,170.46,5.14,464.00,432.00,south
74,14.60,177.06,2.88,460.00,436.00,south
75,14.80,178.32,5.09,512.00,436.00,south
76,15.00,179.19,7.43,584.00,432.00,south
77,15.20,178.60,10.87,560.00,464.00,south
78,15.40,178.95,13.64,532.00,468.00,south
79,15.60,179.11,16.72,548.00,528.00,south
80,15.80,180.12,19.39,536.00,588.00,east
81,16.00,183.01,17.74,560.00,480.00,east
82,16.20,189.90,11.05,564.00,476.00,east
83,16.40,192.98,7.54,516.00,328.00,e ext
84,16.60,193.97,6.64,592.00,300.00,e ext
85,16.80,199.63,-1.58,464.00,448.00,e ext
86,17.00,199.96,-3.25,436.00,332.00,e ext
87,17.20,199.06,-3.03,504.00,260.00,e ext
88,17.40,196.00,-0.75,492.00,292.00,s ext
89,17.60,190.67,4.17,496.00,340.00,south
90,17.80,183.23,10.69,520.00,424.00,south
91,18.00,176.88,15.94,572.00,484.00,south
92,18.20,170.40,20.29,616.00,492.00,south
93,18.40,164.39,22.56,648.00,536.00,south
94,18.60,158.20,25.14,688.00,552.00,south
95,18.80,149.75,29.13,652.00,532.00,south
96,19.00,141.01,32.44,620.00,488.00,south
97,19.20,133.31,36.15,656.00,460.00,south
98,19.40,124.52,39.56,544.00,456.00,south
99,19.60,116.69,42.84,552.00,480.00,south
100,19.80,111.44,45.21,496.00,280.00,south
101,20.00,107.32,47.99,464.00,344.00,south
102,20.20,103.02,52.88,496.00,376.00,south
103,20.40,100.35,56.65,568.00,400.00,south
104,20.60,98.77,61.72,548.00,452.00,south
105,20.80,98.36,65.94,652.00,456.00,south
106,21.00,97.91,71.36,624.00,532.00,south
107,21.20,97.57,75.95,636.00,516.00,south
108,21.40,97.23,81.03,676.00,520.00,south
109,21.60,96.91,85.98,764.00,544.00,south
110,21.80,96.57,90.81,772.00,576.00,south
111,22.00,95.57,95.47,828.00,520.00,south
112,22.20,95.11,100.19,888.00,684.00,west
113,22.40,93.92,104.81,816.00,640.00,west
114,22.60,93.05,110.14,788.00,668.00,north
115,22.80,93.09,113.16,912.00,476.00,north
116,23.00,93.16,118.64,800.00,616.00,north
117,23.20,93.61,122.34,848.00,480.00,north
118,23.40,93.90,126.69,800.00,600.00,north
119,23.60,95.00,131.12,832.00,528.00,north
120,23.80,95.24,136.26,872.00,648.00,north
121,24.00,96.87,140.28,908.00,444.00,north
122,24.20,98.77,144.44,760.00,548.00,north
123,24.40,100.37,146.62,752.00,408.00,north
124,24.60,103.33,148.33,616.00,536.00,north
125,24.80,108.80,149.88,532.00,412.00,north
126,25.00,111.02,151.01,540.00,304.00,north
127,25.20,114.47,151.12,612.00,280.00,north
128,25.40,118.95,151.03,608.00,340.00,north
129,25.60,120.96,149.72,668.00,308.00,north
130,25.80,122.94,149.14,616.00,260.00,north
131,26.00,124.71,147.94,620.00,276.00,north
132,26.20,126.50,147.44,644.00,320.00,north
133,26.40,128.05,146.30,632.00,244.00,north
134,26.60,129.49,145.19,632.00,320.00,north
135,26.80,132.02,145.25,652.00,292.00,north
136,27.00,132.76,145.06,596.00,248.00,north
137,27.20,133.04,143.46,640.00,436.00,north
138,27.40,133.28,141.84,644.00,532.00,north
139,27.60,131.74,139.25,732.00,304.00,north
140,27.80,128.91,134.20,752.00,444.00,north
141,28.00,125.67,128.96,876.00,548.00,north
142,28.20,121.25,122.10,936.00,756.00,east
143,28.40,117.56,116.41,944.00,728.00,east
144,28.60,113.82,109.12,808.00,848.00,east
145,28.80,110.47,104.12,812.00,708.00,east
146,29.00,106.81,98.71,852.00,816.00,east
147,29.20,103.57,95.32,852.00,640.00,south
148,29.40,100.19,92.51,760.00,564.00,south
149,29.60,95.94,90.71,748.00,532.00,south
150,29.80,92.18,89.44,692.00,528.00,south
151,30.00,89.60,90.13,716.00,448.00,south
152,30.20,87.04,90.78,780.00,536.00,west
153,30.40,83.21,93.01,844.00,648.00,west
154,30.60,80.57,96.33,716.00,640.00,west
155,30.80,77.78,99.88,812.00,504.00,west
156,31.00,75.37,103.83,876.00,584.00,west
157,31.20,71.51,110.37,804.00,728.00,west
