Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00016.trk
Object,0
Samples,309
treatment,3,
cage,27,
mark,2,
id,68,
trial,1,
date,2009-07-29 10:01:36.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,2.65,197.57,496.00,360.00,n ext
2,0.20,0.14,200.03,400.00,200.00,n ext
3,0.40,-14.61,214.68,352.00,496.00,n ext
4,0.60,-25.52,225.31,320.00,320.00,n ext
5,0.80,-23.56,223.10,260.00,188.00,n ext
6,1.00,-20.69,220.15,180.00,192.00,n ext
7,1.20,-18.81,217.94,148.00,104.00,n ext
8,1.40,-17.27,216.24,220.00,144.00,n ext
9,1.60,-20.95,219.79,184.00,164.00,n ext
10,1.80,-14.53,213.41,408.00,224.00,n ext
11,2.00,-11.84,210.63,476.00,276.00,n ext
12,2.20,-7.77,206.29,468.00,360.00,n ext
13,2.40,-10.38,208.99,448.00,276.00,n ext
14,2.60,-13.59,212.79,472.00,352.00,n ext
15,2.80,-14.12,213.76,540.00,340.00,n ext
16,3.00,-16.14,216.29,612.00,336.00,n ext
17,3.20,-17.04,217.91,596.00,392.00,n ext
18,3.40,-13.29,215.08,496.00,508.00,n ext
19,3.60,-9.23,211.96,540.00,268.00,n ext
20,3.80,-3.63,207.54,492.00,312.00,n ext
21,4.00,3.26,201.68,504.00,348.00,n ext
22,4.20,9.92,196.14,632.00,304.00,n ext
23,4.40,13.71,192.68,596.00,292.00,north
24,4.60,17.38,189.33,704.00,412.00,north
25,4.80,20.81,185.68,676.00,260.00,north
26,5.00,25.17,180.92,748.00,312.00,north
27,5.20,25.99,178.91,768.00,340.00,north
28,5.40,27.86,175.67,696.00,384.00,north
29,5.60,29.63,171.88,748.00,388.00,north
30,5.80,30.48,169.68,812.00,376.00,north
31,6.00,31.32,167.40,788.00,352.00,north
32,6.20,31.24,166.27,708.00,416.00,north
33,6.40,29.29,166.32,700.00,392.00,west
