Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00007.trk
Object,0
Samples,263
treatment,2,
cage,32,
mark,1,
id,52,
trial,1,
date,2009-07-29 09:28:56.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,3.84,196.60,176.00,404.00,n ext
2,0.20,-19.50,219.94,268.00,444.00,n ext
3,0.40,-19.97,220.72,336.00,252.00,n ext
4,0.60,-16.05,217.44,412.00,380.00,n ext
5,0.80,-13.42,215.42,456.00,388.00,n ext
6,1.00,-9.30,212.29,448.00,336.00,n ext
7,1.20,-2.22,206.80,444.00,420.00,n ext
8,1.40,0.62,204.70,516.00,208.00,n ext
9,1.60,4.89,201.66,480.00,244.00,n ext
10,1.80,10.59,197.83,524.00,324.00,n ext
11,2.00,14.67,194.77,588.00,256.00,n ext
12,2.20,17.26,192.68,656.00,324.00,n ext
13,2.40,21.20,189.81,680.00,304.00,north
14,2.60,26.15,185.92,704.00,224.00,north
15,2.80,32.25,181.51,628.00,300.00,north
16,3.00,33.24,180.43,668.00,440.00,north
17,3.20,35.18,178.28,728.00,300.00,north
18,3.40,38.00,175.11,780.00,300.00,north
19,3.60,41.28,170.55,760.00,372.00,north
20,3.80,43.29,166.62,776.00,392.00,north
21,4.00,46.29,162.15,840.00,416.00,north
22,4.20,48.87,157.25,828.00,492.00,north
23,4.40,51.06,151.80,816.00,532.00,north
24,4.60,52.22,146.64,908.00,564.00,north
25,4.80,53.02,140.55,876.00,672.00,west
26,5.00,54.28,133.73,896.00,684.00,west
27,5.20,55.04,126.50,880.00,712.00,west
28,5.40,55.52,117.77,892.00,676.00,platform larger
29,5.60,54.87,109.51,896.00,684.00,platform
30,5.80,52.07,99.20,836.00,756.00,platform larger
31,6.00,48.73,89.05,848.00,700.00,west
32,6.20,43.71,79.75,864.00,632.00,west
33,6.40,37.26,66.72,864.00,712.00,west
34,6.60,30.91,55.51,844.00,556.00,west
35,6.80,22.99,41.80,768.00,620.00,west
36,7.00,13.62,26.77,692.00,564.00,w ext
37,7.20,5.33,12.79,432.00,572.00,w ext
38,7.40,2.19,6.93,552.00,392.00,w ext
39,7.60,0.62,2.77,608.00,592.00,w ext
40,7.80,2.20,3.23,600.00,520.00,w ext
41,8.00,5.25,5.32,596.00,500.00,w ext
42,8.20,10.82,9.92,628.00,520.00,south
43,8.40,16.38,13.37,688.00,604.00,south
44,8.60,23.39,17.46,684.00,612.00,south
45,8.80,31.07,20.92,692.00,656.00,south
46,9.00,38.94,22.70,680.00,604.00,south
47,9.20,46.36,22.85,632.00,632.00,south
48,9.40,51.67,20.92,676.00,492.00,south
49,9.60,57.88,18.43,616.00,556.00,s ext
50,9.80,64.70,13.38,552.00,536.00,s ext
51,10.00,71.64,11.98,572.00,428.00,s ext
52,10.20,84.71,10.68,448.00,604.00,s ext
53,10.40,94.26,10.13,520.00,368.00,s ext
54,10.60,107.38,9.82,536.00,496.00,s ext
55,10.80,119.86,9.49,584.00,488.00,s ext
56,11.00,135.37,7.31,524.00,556.00,s ext
57,11.20,148.54,4.20,528.00,436.00,s ext
58,11.40,161.20,-0.05,576.00,448.00,s ext
59,11.60,173.40,-5.36,540.00,500.00,s ext
60,11.80,185.16,-11.68,552.00,452.00,s ext
61,12.00,195.24,-17.40,520.00,448.00,s ext
62,12.20,200.41,-19.75,528.00,456.00,s ext
63,12.40,206.51,-23.45,568.00,480.00,s ext
64,12.60,206.51,-21.32,556.00,508.00,s ext
65,12.80,207.44,-20.15,544.00,476.00,s ext
66,13.00,207.99,-18.59,596.00,500.00,s ext
67,13.20,208.24,-16.55,628.00,496.00,s ext
68,13.40,206.96,-12.01,628.00,504.00,e ext
69,13.60,205.68,-6.67,656.00,532.00,e ext
70,13.80,204.51,-0.40,584.00,504.00,e ext
71,14.00,203.57,6.91,560.00,480.00,e ext
72,14.20,202.10,14.57,604.00,460.00,e ext
73,14.40,199.14,25.65,556.00,520.00,e ext
74,14.60,196.80,37.21,552.00,364.00,e ext
75,14.80,193.84,53.67,572.00,516.00,e ext
76,15.00,191.29,70.75,568.00,492.00,e ext
77,15.20,189.84,90.19,584.00,504.00,e ext
78,15.40,190.14,109.84,608.00,536.00,e ext
79,15.60,191.28,129.13,540.00,508.00,e ext
80,15.80,193.48,149.45,536.00,508.00,e ext
81,16.00,196.63,168.07,524.00,532.00,e ext
82,16.20,200.88,183.85,588.00,432.00,e ext
83,16.40,206.13,199.21,592.00,532.00,e ext
84,16.60,210.52,210.16,624.00,584.00,e ext
85,16.80,216.77,221.48,580.00,564.00,e ext
86,17.00,220.07,226.85,636.00,528.00,e ext
87,17.20,225.02,233.07,624.00,540.00,e ext
88,17.40,227.27,235.40,560.00,592.00,e ext
89,17.60,226.86,234.64,608.00,520.00,n ext
90,17.80,223.91,231.31,640.00,720.00,n ext
91,18.00,219.17,226.76,672.00,640.00,n ext
92,18.20,210.18,219.25,676.00,644.00,n ext
93,18.40,198.45,211.10,628.00,616.00,n ext
94,18.60,185.64,204.20,672.00,660.00,n ext
95,18.80,171.11,197.86,716.00,692.00,n ext
96,19.00,159.53,194.84,656.00,668.00,n ext
97,19.20,145.77,194.79,680.00,656.00,n ext
98,19.40,129.79,193.73,588.00,692.00,n ext
99,19.60,115.22,191.92,544.00,468.00,n ext
100,19.80,98.85,190.30,612.00,444.00,n ext
101,20.00,83.26,189.26,596.00,552.00,n ext
102,20.20,65.79,188.21,620.00,600.00,n ext
103,20.40,55.92,186.71,652.00,472.00,n ext
104,20.60,43.87,186.98,684.00,600.00,n ext
105,20.80,36.17,185.08,680.00,668.00,north
106,21.00,30.59,184.08,732.00,676.00,north
107,21.20,25.13,184.43,712.00,628.00,north
108,21.40,21.69,183.68,772.00,724.00,north
109,21.60,15.67,186.12,748.00,688.00,north
110,21.80,9.10,189.93,700.00,608.00,north
111,22.00,2.79,194.31,668.00,600.00,w ext
112,22.20,-6.52,201.64,660.00,712.00,w ext
113,22.40,-12.38,206.02,612.00,552.00,w ext
114,22.60,-10.82,201.42,576.00,588.00,w ext
115,22.80,-6.92,192.18,628.00,588.00,w ext
116,23.00,-2.67,181.29,660.00,576.00,w ext
117,23.20,2.63,168.59,648.00,604.00,w ext
118,23.40,6.87,154.05,636.00,628.00,w ext
119,23.60,11.33,136.83,608.00,596.00,w ext
120,23.80,15.82,119.54,636.00,588.00,w ext
121,24.00,18.57,102.79,628.00,544.00,w ext
122,24.20,19.66,82.99,632.00,628.00,w ext
123,24.40,19.45,66.25,652.00,580.00,w ext
124,24.60,18.14,53.65,632.00,532.00,w ext
125,24.80,13.15,35.85,628.00,596.00,w ext
126,25.00,6.72,20.05,556.00,512.00,w ext
127,25.20,3.32,10.01,532.00,560.00,w ext
128,25.40,0.96,4.07,568.00,500.00,w ext
129,25.60,-0.70,0.29,632.00,480.00,w ext
130,25.80,-1.08,-1.46,616.00,504.00,w ext
131,26.00,-1.26,-2.72,644.00,524.00,s ext
132,26.20,-0.15,-3.03,612.00,624.00,s ext
133,26.40,1.61,-2.64,580.00,520.00,s ext
134,26.60,2.97,-3.31,584.00,508.00,s ext
135,26.80,7.71,-1.85,528.00,512.00,s ext
136,27.00,14.14,0.16,492.00,420.00,s ext
137,27.20,22.76,3.49,584.00,468.00,s ext
138,27.40,35.49,7.75,580.00,588.00,s ext
139,27.60,46.54,9.04,636.00,448.00,s ext
140,27.80,58.94,11.09,552.00,524.00,s ext
141,28.00,69.77,11.65,508.00,436.00,s ext
142,28.20,82.77,12.50,516.00,440.00,s ext
143,28.40,92.12,12.11,524.00,352.00,s ext
144,28.60,104.99,12.01,464.00,324.00,s ext
145,28.80,117.64,10.82,504.00,464.00,s ext
146,29.00,126.55,9.33,496.00,352.00,s ext
147,29.20,135.97,6.18,480.00,392.00,s ext
148,29.40,145.50,2.42,420.00,372.00,s ext
149,29.60,156.09,-1.40,468.00,416.00,s ext
150,29.80,165.62,-4.65,464.00,452.00,s ext
151,30.00,176.51,-9.41,540.00,436.00,s ext
152,30.20,183.10,-11.06,568.00,476.00,s ext
153,30.40,190.62,-14.07,564.00,524.00,s ext
154,30.60,194.71,-14.74,580.00,504.00,s ext
155,30.80,199.67,-16.18,552.00,500.00,s ext
156,31.00,203.74,-17.51,532.00,548.00,s ext
157,31.20,207.07,-18.54,592.00,500.00,s ext
158,31.40,209.81,-19.09,608.00,608.00,s ext
159,31.60,212.35,-19.75,536.00,512.00,e ext
160,31.80,213.27,-17.80,532.00,580.00,e ext
161,32.00,209.62,-9.72,564.00,520.00,e ext
162,32.20,205.97,1.38,572.00,576.00,e ext
163,32.40,203.23,10.98,556.00,520.00,e ext
164,32.60,200.05,23.47,556.00,536.00,e ext
165,32.80,196.02,39.39,584.00,652.00,e ext
166,33.00,193.53,57.83,500.00,588.00,e ext
167,33.20,190.91,77.22,568.00,644.00,e ext
168,33.40,190.95,97.05,484.00,604.00,e ext
