Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00079.trk
Object,0
Samples,130
treatment,2,
cage,41,
mark,1,
id,73,
trial,1,
date,2009-07-30 10:03:38.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,-10.71,213.43,100.00,256.00,n ext
2,0.20,-7.92,211.48,508.00,408.00,n ext
3,0.40,-6.47,210.98,596.00,280.00,n ext
4,0.60,1.00,205.94,504.00,548.00,n ext
5,0.80,12.98,198.21,592.00,576.00,n ext
6,1.00,30.19,187.81,568.00,616.00,n ext
7,1.20,42.47,181.17,676.00,540.00,north
8,1.40,56.53,174.26,632.00,588.00,north
9,1.60,67.06,169.42,712.00,528.00,north
10,1.80,75.65,165.64,716.00,484.00,north
11,2.00,81.03,160.48,732.00,624.00,north
12,2.20,84.62,155.75,776.00,580.00,north
13,2.40,87.65,149.14,876.00,684.00,north
14,2.60,91.20,142.84,844.00,656.00,north
15,2.80,94.36,136.23,872.00,788.00,north
16,3.00,96.77,130.59,984.00,712.00,north
17,3.20,97.91,125.69,1008.00,712.00,north
18,3.40,99.55,120.98,932.00,636.00,north
19,3.60,99.58,116.78,1000.00,516.00,north
20,3.80,98.95,112.54,1076.00,668.00,north
21,4.00,98.24,108.90,1004.00,600.00,north
22,4.20,97.07,104.02,968.00,628.00,west
23,4.40,96.24,100.94,940.00,476.00,west
24,4.60,96.56,98.01,892.00,592.00,south
25,4.80,96.79,95.66,928.00,604.00,south
26,5.00,99.39,94.22,916.00,628.00,south
27,5.20,102.50,93.99,940.00,544.00,south
28,5.40,106.68,95.02,924.00,616.00,south
29,5.60,109.53,96.52,976.00,452.00,east
30,5.80,113.60,98.18,888.00,536.00,east
31,6.00,-,-,-,-,-
32,6.20,117.54,101.30,844.00,844.00,east
33,6.40,117.95,103.40,816.00,604.00,east
34,6.60,116.52,105.81,860.00,532.00,east
35,6.80,113.97,106.61,856.00,500.00,east
36,7.00,111.52,106.16,932.00,356.00,east
37,7.20,107.27,105.45,936.00,596.00,east
38,7.40,104.46,103.24,848.00,600.00,east
39,7.60,102.41,99.99,912.00,664.00,south
40,7.80,101.08,95.63,964.00,636.00,south
41,8.00,100.37,90.71,1004.00,672.00,south
42,8.20,100.30,85.16,944.00,740.00,south
43,8.40,99.55,78.75,932.00,788.00,south
44,8.60,97.86,72.03,856.00,796.00,south
45,8.80,96.66,65.09,844.00,692.00,south
46,9.00,96.06,60.06,772.00,552.00,south
47,9.20,96.49,54.20,772.00,496.00,south
48,9.40,96.90,49.62,780.00,424.00,south
49,9.60,99.58,46.55,728.00,516.00,south
50,9.80,106.39,42.33,740.00,548.00,south
51,10.00,115.54,39.70,724.00,520.00,south
52,10.20,124.57,37.08,772.00,520.00,south
53,10.40,137.28,30.72,708.00,680.00,south
54,10.60,146.82,24.45,684.00,568.00,south
55,10.80,156.39,16.74,704.00,508.00,south
56,11.00,165.32,8.90,672.00,456.00,south
57,11.20,175.95,-1.03,596.00,420.00,s ext
58,11.40,182.56,-6.65,552.00,284.00,s ext
59,11.60,189.41,-12.61,612.00,388.00,s ext
60,11.80,192.74,-14.40,544.00,268.00,s ext
61,12.00,194.49,-15.13,524.00,220.00,s ext
62,12.20,198.93,-18.57,412.00,240.00,s ext
63,12.40,200.56,-19.37,396.00,184.00,s ext
64,12.60,200.69,-18.98,368.00,220.00,s ext
65,12.80,198.08,-15.84,364.00,316.00,s ext
66,13.00,201.05,-17.36,364.00,400.00,s ext
