Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00038.trk
Object,0
Samples,221
treatment,3,
cage,31,
mark,1,
id,51,
trial,2,
date,2009-07-29 11:40:52.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,109.20,15.76,400.00,180.00,s ext
2,0.20,108.63,11.78,284.00,244.00,s ext
3,0.40,108.63,11.78,372.00,160.00,s ext
4,0.60,106.81,11.91,428.00,160.00,s ext
5,0.80,104.48,14.06,368.00,260.00,s ext
6,1.00,102.69,14.13,228.00,244.00,s ext
7,1.20,104.23,15.07,328.00,220.00,s ext
8,1.40,106.53,12.94,280.00,232.00,s ext
9,1.60,109.50,14.74,264.00,256.00,s ext
10,1.80,108.90,16.77,308.00,236.00,s ext
11,2.00,114.02,16.27,360.00,228.00,s ext
12,2.20,119.10,15.59,308.00,212.00,s ext
13,2.40,115.72,16.07,320.00,252.00,s ext
14,2.60,114.02,16.27,340.00,268.00,s ext
15,2.80,112.99,14.41,408.00,316.00,s ext
16,3.00,112.99,14.41,452.00,124.00,s ext
17,3.20,109.81,13.71,500.00,224.00,s ext
18,3.40,108.04,13.85,432.00,316.00,s ext
19,3.60,103.99,16.08,392.00,360.00,s ext
20,3.80,101.81,18.13,512.00,320.00,s ext
21,4.00,97.89,21.08,528.00,280.00,south
22,4.20,92.51,24.71,496.00,320.00,south
23,4.40,90.60,29.14,540.00,340.00,south
24,4.60,88.94,33.39,536.00,316.00,south
25,4.80,88.88,35.94,536.00,224.00,south
26,5.00,87.50,37.46,528.00,248.00,south
27,5.20,88.84,41.72,592.00,320.00,south
28,5.40,87.66,45.53,604.00,436.00,south
29,5.60,86.58,47.66,624.00,308.00,south
30,5.80,84.51,50.27,624.00,272.00,south
31,6.00,84.74,52.51,608.00,336.00,south
32,6.20,84.96,54.71,580.00,300.00,south
33,6.40,86.20,57.11,560.00,324.00,south
34,6.60,87.21,57.32,524.00,212.00,south
35,6.80,88.21,57.51,600.00,236.00,south
36,7.00,90.20,57.15,640.00,232.00,south
