Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00074.trk
Object,0
Samples,40
treatment,1,
cage,49,
mark,1,
id,71,
trial,2,
date,2009-07-30 09:37:38.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,-,-,-,-,-
2,0.20,104.50,20.94,168.00,-,south
3,0.40,107.25,22.70,272.00,160.00,south
4,0.60,109.86,24.39,372.00,252.00,south
5,0.80,115.01,26.61,236.00,320.00,south
6,1.00,115.01,26.61,428.00,312.00,south
7,1.20,119.85,24.95,508.00,400.00,south
8,1.40,121.35,24.68,588.00,296.00,south
9,1.60,124.33,24.09,584.00,348.00,south
10,1.80,124.33,24.09,536.00,488.00,south
11,2.00,125.70,21.04,516.00,468.00,south
12,2.20,121.07,21.96,500.00,336.00,south
13,2.40,117.59,23.46,460.00,384.00,south
14,2.60,113.20,27.75,524.00,320.00,south
15,2.80,111.99,31.50,556.00,336.00,south
16,3.00,110.06,37.83,576.00,460.00,south
17,3.20,111.02,42.79,596.00,444.00,south
18,3.40,112.66,48.29,656.00,516.00,south
19,3.60,114.24,52.78,660.00,516.00,south
20,3.80,114.36,58.09,652.00,504.00,south
21,4.00,114.41,63.25,692.00,480.00,south
22,4.20,115.00,68.92,764.00,600.00,south
23,4.40,116.03,75.12,816.00,668.00,south
24,4.60,117.86,80.50,888.00,776.00,south
25,4.80,120.00,84.53,792.00,664.00,south
26,5.00,122.77,88.73,832.00,624.00,east
27,5.20,126.10,94.05,876.00,676.00,east
28,5.40,129.28,98.30,868.00,696.00,east
29,5.60,132.22,101.24,788.00,560.00,east
30,5.80,134.69,103.47,828.00,496.00,reveral larger
31,6.00,137.96,105.15,648.00,492.00,platform reversal
32,6.20,141.46,104.05,796.00,436.00,platform reversal
33,6.40,143.58,103.53,768.00,324.00,platform reversal
34,6.60,144.22,104.75,728.00,256.00,platform reversal
35,6.80,144.86,105.99,796.00,340.00,platform reversal
36,7.00,145.57,106.19,804.00,200.00,platform reversal
37,7.20,144.86,105.99,800.00,220.00,platform reversal
38,7.40,145.57,106.19,784.00,152.00,platform reversal
39,7.60,146.32,105.31,788.00,252.00,platform reversal
40,7.80,147.08,104.41,812.00,288.00,platform reversal
