Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0005\data\track_00058.trk
Object,0
Samples,174
treatment,2,
cage,37,
mark,2,
id,107,
trial,1,
date,2009-07-29 13:07:48.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,-34.67,234.45,664.00,644.00,n ext
2,0.20,-9.86,210.93,376.00,1040.00,n ext
3,0.40,-10.30,212.06,292.00,396.00,n ext
4,0.60,-7.83,210.84,404.00,440.00,n ext
5,0.80,-3.62,208.18,516.00,488.00,n ext
6,1.00,-1.87,208.32,500.00,448.00,n ext
7,1.20,-1.04,209.76,496.00,404.00,n ext
8,1.40,4.71,207.60,512.00,464.00,n ext
9,1.60,13.54,203.27,412.00,396.00,n ext
10,1.80,18.65,200.71,472.00,228.00,n ext
11,2.00,26.15,197.97,436.00,372.00,n ext
12,2.20,27.23,196.83,488.00,220.00,n ext
13,2.40,32.13,196.27,516.00,380.00,n ext
14,2.60,38.24,196.40,376.00,380.00,n ext
15,2.80,41.01,194.74,448.00,240.00,n ext
16,3.00,47.53,193.69,400.00,312.00,n ext
17,3.20,54.26,192.92,432.00,264.00,n ext
18,3.40,63.14,192.14,412.00,348.00,n ext
19,3.60,72.91,190.88,404.00,464.00,n ext
20,3.80,86.78,190.08,420.00,448.00,n ext
21,4.00,102.66,191.47,456.00,508.00,n ext
22,4.20,115.22,191.92,500.00,452.00,n ext
23,4.40,129.75,192.85,428.00,576.00,n ext
24,4.60,146.21,196.53,476.00,520.00,n ext
25,4.80,160.22,200.06,440.00,572.00,n ext
26,5.00,175.46,204.91,500.00,636.00,n ext
27,5.20,187.34,209.08,504.00,676.00,n ext
28,5.40,201.25,216.53,460.00,596.00,n ext
29,5.60,208.70,220.25,508.00,672.00,n ext
30,5.80,217.22,226.01,492.00,616.00,n ext
31,6.00,220.04,227.82,512.00,636.00,n ext
32,6.20,219.82,227.33,500.00,588.00,n ext
33,6.40,222.18,229.57,488.00,508.00,n ext
34,6.60,224.26,231.77,448.00,560.00,n ext
35,6.80,224.85,232.61,512.00,576.00,n ext
36,7.00,222.44,230.07,544.00,640.00,e ext
37,7.20,221.13,228.50,488.00,632.00,e ext
38,7.40,219.77,226.59,500.00,604.00,e ext
39,7.60,214.23,219.30,444.00,560.00,e ext
40,7.80,210.05,213.42,328.00,492.00,e ext
41,8.00,202.64,203.08,372.00,452.00,e ext
42,8.20,195.49,193.18,508.00,376.00,e ext
43,8.40,187.77,182.58,632.00,380.00,east
44,8.60,180.06,171.38,620.00,500.00,east
45,8.80,171.20,159.13,672.00,548.00,east
46,9.00,165.08,151.28,680.00,464.00,east
47,9.20,156.81,142.09,728.00,608.00,east
48,9.40,149.00,133.19,724.00,588.00,east
49,9.60,142.16,126.50,720.00,628.00,east
50,9.80,136.58,121.16,780.00,636.00,east
51,10.00,130.67,115.49,848.00,660.00,east
52,10.20,124.62,109.77,788.00,716.00,east
53,10.40,119.66,105.76,924.00,696.00,east
54,10.60,114.42,101.54,836.00,744.00,east
55,10.80,109.81,99.05,824.00,652.00,east
56,11.00,105.84,96.78,804.00,564.00,south
57,11.20,101.22,94.45,824.00,604.00,south
58,11.40,95.86,91.91,808.00,672.00,south
59,11.60,90.89,89.79,824.00,688.00,south
60,11.80,85.09,87.78,780.00,676.00,south
61,12.00,79.00,84.60,784.00,668.00,west
62,12.20,72.42,80.00,796.00,724.00,west
63,12.40,67.37,74.90,760.00,572.00,west
64,12.60,60.46,67.01,768.00,712.00,west
65,12.80,53.36,58.58,732.00,604.00,west
66,13.00,45.69,48.93,684.00,568.00,west
67,13.20,35.58,36.37,648.00,628.00,south
68,13.40,26.27,25.59,640.00,528.00,south
69,13.60,15.72,13.94,612.00,516.00,south
70,13.80,4.30,1.61,512.00,508.00,s ext
71,14.00,-1.17,-4.13,420.00,308.00,s ext
72,14.20,-1.67,-4.92,420.00,264.00,s ext
73,14.40,-2.14,-5.69,340.00,280.00,s ext
74,14.60,-4.04,-8.28,252.00,304.00,s ext
75,14.80,-0.74,-5.51,396.00,304.00,s ext
76,15.00,2.26,-3.59,392.00,404.00,s ext
77,15.20,4.63,-2.02,344.00,336.00,s ext
78,15.40,5.13,-3.30,152.00,344.00,s ext
79,15.60,15.34,4.60,172.00,300.00,s ext
80,15.80,24.30,10.86,292.00,264.00,s ext
81,16.00,30.43,15.61,412.00,248.00,south
82,16.20,42.30,23.36,432.00,412.00,south
83,16.40,51.00,29.53,520.00,400.00,south
84,16.60,61.75,36.17,500.00,476.00,south
85,16.80,70.36,41.38,500.00,416.00,south
86,17.00,75.89,45.22,580.00,392.00,south
87,17.20,82.36,50.53,564.00,488.00,south
88,17.40,89.16,56.25,652.00,544.00,south
89,17.60,93.15,61.16,644.00,504.00,south
90,17.80,97.54,65.17,596.00,504.00,south
91,18.00,100.45,70.22,688.00,516.00,south
92,18.20,102.29,74.36,660.00,556.00,south
93,18.40,102.93,80.30,760.00,660.00,south
94,18.60,102.93,85.40,804.00,548.00,south
95,18.80,103.49,91.04,800.00,644.00,south
96,19.00,103.43,96.51,864.00,656.00,south
97,19.20,104.00,101.98,800.00,632.00,east
98,19.40,104.61,107.43,880.00,672.00,north
99,19.60,104.68,112.78,864.00,744.00,north
100,19.80,104.12,118.04,860.00,628.00,north
101,20.00,102.79,123.23,888.00,628.00,north
102,20.20,100.66,127.21,792.00,648.00,north
103,20.40,96.61,131.21,788.00,628.00,north
104,20.60,91.55,134.26,752.00,644.00,north
105,20.80,85.69,136.49,760.00,496.00,north
106,21.00,82.47,138.14,752.00,352.00,north
107,21.20,78.61,139.37,744.00,392.00,north
108,21.40,75.11,140.06,740.00,340.00,north
109,21.60,71.21,140.34,720.00,380.00,north
110,21.80,68.26,140.51,632.00,328.00,north
111,22.00,64.55,141.03,684.00,324.00,north
112,22.20,61.75,141.34,684.00,376.00,north
113,22.40,59.00,141.70,712.00,316.00,north
114,22.60,56.07,141.48,712.00,432.00,north
115,22.80,53.81,140.22,736.00,408.00,west
116,23.00,51.62,138.79,660.00,412.00,west
117,23.20,50.98,136.56,756.00,344.00,west
118,23.40,50.08,133.36,676.00,432.00,west
119,23.60,49.82,129.66,636.00,408.00,west
120,23.80,51.66,123.27,632.00,364.00,west
121,24.00,53.10,118.98,616.00,344.00,west
122,24.20,53.90,113.70,644.00,348.00,platform larger
