Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00022.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,106,,,,,,
trial,2,,,,,,
date,23:06.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,136.14,187.61,312,460,n ext,109.2
2,0.2,142.51,184.65,328,456,north,112.42
3,0.4,149.75,182.18,316,460,north,116.96
4,0.6,157.27,181.76,324,424,n ext,123.07
5,0.8,166.37,180.21,372,496,n ext,130.07
6,1,174.61,178.19,364,504,e ext,136.35
7,1.2,182.9,175.99,340,512,e ext,142.84
8,1.4,190.71,175.41,300,392,e ext,149.73
9,1.6,196.66,173.8,180,304,e ext,154.59
10,1.8,198.48,169.09,200,252,e ext,154.6
11,2,199.32,163.88,140,228,e ext,153.68
12,2.2,198.46,159.1,204,184,e ext,151.43
13,2.4,198.37,153.51,280,244,e ext,149.83
14,2.6,196.96,145.28,320,360,e ext,146.6
15,2.8,195.08,133.7,340,420,e ext,142.71
16,3,193.36,122.32,348,456,e ext,139.86
17,3.2,191.79,111.08,380,432,e ext,138.03
18,3.4,190.96,97.74,344,484,e ext,137.97
19,3.6,189.58,85.55,368,456,e ext,138.43
20,3.8,187.57,73.59,316,492,e ext,139.13
21,4,185.93,63.95,268,344,e ext,140.45
22,4.2,183.95,59,248,252,e ext,140.32
23,4.4,180.58,55.76,276,332,e ext,138.44
24,4.6,175.11,54.51,340,384,e ext,133.95
25,4.8,169.06,53.63,328,436,e ext,128.86
26,5,161.76,54.23,372,476,east,122.08
27,5.2,154.61,53.82,388,512,east,115.97
28,5.4,146.91,53.55,400,540,east,109.47
29,5.6,138.67,52.45,480,632,east,103.12
30,5.8,131.19,50.95,512,632,south,97.79
31,6,122.39,49.39,572,732,south,91.79
32,6.2,114.91,46.38,612,728,south,88.27
33,6.4,106.63,42.12,628,728,south,85.75
34,6.6,99.56,36.39,640,724,south,86.09
35,6.8,92.97,29.18,664,760,south,88.67
36,7,87.6,21.44,660,644,south,93.15
37,7.2,83.56,14.29,508,544,s ext,98.22
38,7.4,80.16,6.88,292,424,s ext,104.14
39,7.6,79.27,4.72,240,140,s ext,105.96
40,7.8,76.88,4.04,112,224,s ext,105.97
41,8,74.58,5.28,116,172,s ext,104.19
42,8.2,73.15,7.72,212,208,s ext,101.48
43,8.4,70.09,9.59,328,324,s ext,98.97
44,8.6,64.7,12.46,372,460,s ext,95.11
45,8.8,58.51,15.82,352,468,s ext,90.85
46,9,51.4,18.68,352,456,s ext,87.4
47,9.2,43.15,19.01,332,468,s ext,87.03
48,9.4,34.6,18.11,332,424,s ext,88.57
49,9.6,29.27,16.61,264,276,s ext,90.86
50,9.8,26.87,18.53,280,232,s ext,89.44
51,10,24.46,20.47,276,276,s ext,88.08
52,10.2,23.19,25.01,360,316,w ext,83.94
53,10.4,20.41,31.99,376,488,w ext,77.97
54,10.6,18.62,40.47,384,416,w ext,70.53
55,10.8,17.69,49.29,408,480,w ext,62.74
56,11,15.88,58.86,392,448,w ext,55.05
57,11.2,14.08,69.54,412,492,w ext,47.19
58,11.4,12.17,80.34,384,508,w ext,40.21
59,11.6,10.17,91.3,352,464,w ext,35.16
60,11.8,8.93,102.49,372,492,w ext,31.53
61,12,7.55,112.78,368,444,w ext,31.32
62,12.2,7.81,124,348,444,w ext,32.22
63,12.4,8.77,133.96,344,396,w ext,34.92
64,12.6,11.25,144.3,352,464,w ext,38.73
65,12.8,13.6,151.39,336,368,w ext,42.07
66,13,17.43,158.63,344,384,w ext,45.67
67,13.2,22.74,163.97,316,444,w ext,47.71
68,13.4,27.21,167.57,288,372,w ext,49.33
69,13.6,30.87,170.49,228,348,w ext,51.08
70,13.8,34.5,173.38,220,272,w ext,53.16
71,14,38.09,176.26,216,292,w ext,55.54
72,14.2,42.61,176.19,232,240,w ext,55.09
73,14.4,47.87,175.99,208,280,n ext,54.87
