Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00012.trk,,,,,,
Object,0,,,,,,
Samples,115,,,,,,
id,87,,,,,,
trial,4,,,,,,
date,52:15.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,173.14,163.85,108,116,e ext,129.06
2,0.2,172.08,162.47,140,112,east,127.56
3,0.4,171.77,160.42,192,156,east,126.54
4,0.6,170.72,159.07,248,176,east,125.09
5,0.8,169.39,155.74,240,224,east,122.72
6,1,167.54,148.54,116,212,east,118.78
7,1.2,165.06,142.25,148,216,east,114.79
8,1.4,162.79,137.11,196,224,east,111.48
9,1.6,159.58,130.13,296,316,east,107.06
10,1.8,155.81,124.21,320,360,east,102.58
11,2,149.73,116.61,376,448,east,96.02
12,2.2,144,110.38,352,440,east,90.25
13,2.4,137.79,104.55,400,440,east,84.38
14,2.6,130.33,97.61,444,524,east,77.97
15,2.8,123.18,92.54,560,572,east,72.03
16,3,115.5,87.68,560,696,east,66.14
17,3.2,107.22,82.86,568,688,south,60.48
18,3.4,98.94,78.59,584,648,south,55.56
19,3.6,89.86,74.68,456,648,south,50.64
20,3.8,81.31,71.1,388,532,south,47.28
21,4,72.53,67.8,360,516,south,45.01
22,4.2,65.03,65.84,396,484,south,43.46
23,4.4,56.59,64.24,352,460,west,42.73
24,4.6,48.73,63.4,328,424,west,42.6
25,4.8,37.35,61.59,180,468,west,45.15
26,5,35.62,60.26,252,272,west,46.8
27,5.2,33.02,58.66,268,288,west,48.93
28,5.4,28.21,50.69,160,300,west,57.83
29,5.6,28.05,48.72,216,168,west,59.78
30,5.8,29.56,46.33,260,228,west,61.72
31,6,31.85,43.3,260,224,west,64.18
32,6.2,35.78,39.95,268,304,west,66.77
33,6.4,42.17,36.66,132,344,south,69.43
34,6.6,47.02,35.65,116,232,south,70.34
35,6.8,49.65,38.38,168,204,south,67.64
36,7,53.06,41.29,144,176,south,64.95
37,7.2,58,44.52,240,248,south,62.37
38,7.4,62.04,47.32,360,280,south,60.38
39,7.6,68.4,52.95,336,424,south,56.71
40,7.8,73.03,57.05,372,372,south,54.71
41,8,78.29,61.76,364,368,south,53.18
42,8.2,82.71,66.82,420,424,south,51.52
43,8.4,87.02,71.61,408,412,south,50.71
44,8.6,89.86,76.1,440,432,south,49.7
45,8.8,91.95,81.85,480,488,south,47.93
46,9,91.92,88.77,488,552,south,44.2
47,9.2,89.77,94.87,468,500,south,39.57
48,9.4,86.19,100.91,472,556,west,34.14
49,9.6,81.18,104.92,516,484,west,28.31
50,9.8,76.12,109.02,512,484,west,22.6
51,10,68.82,114.04,532,612,west,15.07
52,10.2,63.63,118.57,480,516,west,10.64
53,10.4,58.33,124.84,412,500,west,9.28
54,10.6,52.23,130.86,356,432,west,10.9
55,10.8,48.35,135.35,344,364,west,14.41
56,11,42.99,137.96,252,380,west,16.95
57,11.2,39.96,137.78,296,332,west,17.15
