Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00048.trk,,,,,,
Object,0,,,,,,
Samples,385,,,,,,
id,121,,,,,,
trial,4,,,,,,
date,37:46.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,196.21,171.41,204,200,e ext,153.3
2,0.2,195.14,175.29,192,204,e ext,153.76
3,0.4,193.53,181.01,100,252,e ext,154.59
4,0.6,192.55,180.54,108,112,e ext,153.5
5,0.8,189.83,180.3,144,116,e ext,150.94
6,1,188.52,182.82,204,140,e ext,150.86
7,1.2,185.89,187.78,284,256,e ext,150.81
8,1.4,181.5,192.73,280,324,e ext,149.45
9,1.6,177.07,197.5,248,344,n ext,148.24
10,1.8,171.63,201.62,208,304,n ext,145.98
11,2,164.65,201.82,184,264,n ext,140.43
12,2.2,156.77,201.64,128,272,n ext,134.07
13,2.4,152.24,200.33,160,200,n ext,129.72
14,2.6,145.14,198.88,236,276,n ext,123.35
15,2.8,136.55,198.94,232,332,n ext,117.02
16,3,128.83,198.75,236,364,n ext,111.39
17,3.2,121.88,197.3,164,304,n ext,105.6
18,3.4,115.1,197.17,140,232,n ext,101.09
19,3.6,112.53,196.51,148,152,n ext,98.97
20,3.8,107.34,193.5,132,200,n ext,93.43
21,4,104.71,190.29,180,136,n ext,89.28
22,4.2,101.27,186.19,272,236,north,83.94
23,4.4,97.09,180.49,316,356,north,76.87
24,4.6,91.45,173.4,352,396,north,67.81
25,4.8,85.28,166.04,376,520,north,58.21
26,5,78.56,160.06,372,540,north,49.38
27,5.2,71.28,153.85,412,568,north,40.11
28,5.4,63.35,148.88,408,612,west,31.83
29,5.6,56.09,146.34,396,548,west,26.86
30,5.8,50.96,145.04,312,356,west,24.35
31,6,47.26,144.26,300,300,west,23.17
32,6.2,43.48,145.14,272,228,west,24.04
33,6.4,41.22,144.88,248,184,west,24
34,6.6,38.93,145.46,284,188,west,24.89
35,6.8,37.42,145.01,276,184,west,24.78
36,7,35.85,146.28,272,228,west,26.41
37,7.2,33.49,147.79,244,284,west,28.59
38,7.4,32.68,148.88,244,144,west,29.9
39,7.6,31.86,149.99,228,152,west,31.23
40,7.8,31.05,151.11,244,128,west,32.58
41,8,30.23,152.24,248,156,west,33.94
42,8.2,29.45,152.5,232,160,west,34.48
43,8.4,28.63,153.65,216,112,west,35.87
44,8.6,27.8,154.82,196,100,west,37.27
45,8.8,27.77,155.72,188,128,west,38.11
46,9,27.73,156.62,152,100,w ext,38.95
47,9.2,27.73,156.62,132,124,w ext,38.95
48,9.4,27.65,158.43,160,84,w ext,40.65
49,9.6,27.61,159.34,188,100,w ext,41.5
50,9.8,27.57,160.25,196,112,w ext,42.35
51,10,27.53,161.16,156,152,w ext,43.22
52,10.2,26.7,162.38,196,120,w ext,44.65
53,10.4,26.65,163.29,240,124,w ext,45.52
54,10.6,26.61,164.21,192,104,w ext,46.39
55,10.8,25.73,166.38,184,104,w ext,48.73
56,11,25.68,167.31,132,68,w ext,49.61
57,11.2,25.73,166.38,144,108,w ext,48.73
58,11.4,24.15,167.05,148,124,w ext,49.94
59,11.6,23.4,166.45,200,148,w ext,49.69
60,11.8,22.61,166.79,208,88,w ext,50.32
61,12,21.86,166.19,152,88,w ext,50.1
62,12.2,21.9,165.24,140,52,w ext,49.22
63,12.4,21.27,161.8,176,180,w ext,46.45
64,12.6,19.81,158.65,268,180,w ext,44.46
65,12.8,19.23,152.31,348,296,w ext,39.37
66,13,17.84,143.34,344,372,w ext,33.27
67,13.2,17.14,133.08,360,432,w ext,27.35
68,13.4,14.61,122.96,352,464,w ext,25.36
69,13.6,11.85,111.45,344,472,w ext,27.08
70,13.8,8.8,99.42,324,468,w ext,32.63
71,14,6.54,90.02,296,396,w ext,38.92
72,14.2,5.1,81.46,276,300,w ext,44.84
73,14.4,3.72,74.86,240,236,w ext,50.13
74,14.6,3.28,69.41,196,220,w ext,54.22
75,14.8,5.8,66.73,192,316,w ext,54.49
76,15,7.46,64.99,192,208,w ext,54.78
77,15.2,9.03,62.21,232,192,w ext,56.07
78,15.4,10.69,60.55,252,196,w ext,56.45
79,15.6,13.16,58.11,276,224,w ext,57.09
80,15.8,16.52,56,348,304,w ext,57.23
81,16,22.28,51.75,396,416,w ext,58.69
82,16.2,27.88,46.74,372,440,west,61.73
83,16.4,33.42,41.95,372,448,west,65.19
84,16.6,38.75,35.38,376,508,south,70.95
85,16.8,43.16,28.6,324,476,s ext,77.44
86,17,46.61,20.5,276,416,s ext,85.48
87,17.2,47.81,15.23,288,284,s ext,90.76
88,17.4,49.86,10.28,256,224,s ext,95.74
89,17.6,52.18,8.36,208,232,s ext,97.74
90,17.8,54.49,6.42,200,192,s ext,99.82
91,18,57.73,5.84,260,188,s ext,100.67
92,18.2,61.94,7.56,284,192,s ext,99.49
93,18.4,67.78,10.7,348,336,s ext,97.41
94,18.6,75.11,14.93,428,424,s ext,95
95,18.8,82.98,18.74,508,552,s ext,93.86
96,19,89.84,21.8,604,568,south,93.77
97,19.2,97.96,23.56,568,644,south,96.03
98,19.4,106.58,23.76,484,644,south,100.5
99,19.6,116.41,22.97,384,596,s ext,106.83
100,19.8,124,21.59,364,500,s ext,112.65
101,20,132.2,18.4,288,476,s ext,120.44
102,20.2,138.32,15.22,292,388,s ext,126.92
103,20.4,142.4,12.5,252,280,s ext,131.69
104,20.6,145.07,13.11,232,252,s ext,133.12
105,20.8,146.39,14.34,228,204,s ext,133.18
106,21,148.37,16.17,236,216,s ext,133.33
107,21.2,150.36,18.93,316,240,e ext,132.9
108,21.4,154.38,23.48,336,308,e ext,132.96
109,21.6,157.81,29.37,312,376,e ext,132.02
110,21.8,161.35,36.29,344,408,e ext,130.95
111,22,166.48,42.76,280,440,e ext,131.8
112,22.2,171.13,49.85,292,404,e ext,132.41
113,22.4,176.73,56.04,324,424,e ext,134.8
114,22.6,181.01,62.09,300,400,e ext,136.46
115,22.8,184.7,68.7,232,316,e ext,137.77
116,23,188.58,75.62,192,304,e ext,139.59
117,23.2,190.77,80.89,188,228,e ext,140.5
118,23.4,192.07,85.26,132,176,e ext,140.93
119,23.6,193.68,91.96,88,196,e ext,141.4
120,23.8,193.38,96.54,72,120,e ext,140.5
121,24,193.94,101.07,132,140,e ext,140.62
122,24.2,194.52,105.62,196,208,e ext,140.91
123,24.4,195.29,111.33,212,280,e ext,141.52
124,24.6,195.7,120.41,240,324,e ext,142.1
125,24.8,195.28,129.3,292,308,e ext,142.36
126,25,193.61,141.04,328,412,e ext,142.46
127,25.2,192.36,154.74,308,468,e ext,144.35
128,25.4,191.72,166.27,324,456,e ext,147.28
129,25.6,192.11,178.19,280,476,e ext,152.13
130,25.8,192.9,187.15,156,332,e ext,156.72
131,26,189.06,190.48,108,264,e ext,154.89
132,26.2,185.77,191.89,140,208,e ext,152.71
133,26.4,180.52,192.21,236,240,e ext,148.35
134,26.6,175.9,195.85,320,340,n ext,146.36
135,26.8,168.55,198.93,292,436,n ext,141.91
136,27,161.18,201.96,268,440,n ext,137.74
137,27.2,153.79,205.03,240,420,n ext,133.91
138,27.4,148.4,210.22,160,312,n ext,133.37
139,27.6,145.06,211.56,116,172,n ext,131.9
140,27.8,139.58,209.97,124,200,n ext,126.93
141,28,134.86,206.91,184,188,n ext,121.45
142,28.2,128.62,205.37,200,224,n ext,116.1
143,28.4,122.37,203.14,256,256,n ext,110.33
144,28.6,112.77,200.31,260,372,n ext,102.13
145,28.8,105.12,199.55,272,348,n ext,96.95
146,29,96.73,199.22,216,392,n ext,92.07
147,29.2,89.27,198.66,120,248,n ext,87.95
148,29.4,80.27,199.66,92,180,n ext,85.15
149,29.6,74.59,200.14,68,112,n ext,83.71
150,29.8,70.59,199.77,132,144,n ext,82.18
151,30,67.42,199.41,136,148,n ext,80.99
152,30.2,63.59,196.58,152,224,n ext,77.35
153,30.4,59.77,194.84,228,212,n ext,74.92
154,30.6,54.47,192.85,204,296,n ext,72.23
155,30.8,49.23,191.11,188,256,n ext,70.05
156,31,44.68,191.12,168,212,n ext,69.94
157,31.2,40.91,190.94,164,180,n ext,69.9
158,31.4,37.99,189.57,132,160,w ext,68.79
159,31.6,35.96,186.02,176,196,w ext,65.47
160,31.8,35.48,181.78,224,248,w ext,61.32
161,32,34.28,177,264,272,w ext,56.76
162,32.2,32.38,170.75,272,304,w ext,50.98
163,32.4,30.48,163.57,288,336,w ext,44.52
164,32.6,29.3,156.07,328,352,west,37.83
165,32.8,27.25,148.77,352,400,west,32.16
166,33,23.56,139.01,368,504,west,26.2
167,33.2,20.44,129.58,344,472,west,22.67
168,33.4,17.11,120.68,372,476,west,22.45
169,33.6,13.53,110.35,376,468,w ext,25.5
170,33.8,9.72,100.45,360,424,w ext,31.4
171,34,6.6,91.07,316,388,w ext,38.32
172,34.2,3.35,82.31,236,296,w ext,45.76
173,34.4,3.04,77.97,228,216,w ext,48.62
174,34.6,4.64,75.02,216,300,w ext,49.34
175,34.8,7.15,72.29,228,316,w ext,49.46
176,35,9.56,68.59,296,308,w ext,50.66
177,35.2,11.95,64.99,308,236,w ext,52.1
178,35.4,13.43,61.26,324,256,w ext,54.31
179,35.6,14.98,58.61,300,232,w ext,55.72
180,35.8,16.52,56,332,232,w ext,57.23
181,36,18.06,53.44,340,216,w ext,58.82
182,36.2,20.4,50.16,360,236,w ext,60.86
183,36.4,23.45,45.22,348,308,w ext,64.44
184,36.6,25.67,41.08,344,276,w ext,67.77
185,36.8,27.68,34.95,312,296,w ext,73.24
186,37,27.87,28.07,332,324,w ext,79.9
187,37.2,29.04,22.57,312,284,s ext,85.04
188,37.4,29.39,17.68,284,236,s ext,89.78
189,37.6,31.56,13.64,280,228,s ext,93.41
190,37.8,34.96,13.27,284,228,s ext,93.34
191,38,40.02,12.67,324,304,s ext,93.5
192,38.2,46.66,11.79,348,376,s ext,94.2
193,38.4,54.06,11.13,344,404,s ext,95.09
194,38.6,62.16,10.55,324,428,s ext,96.57
195,38.8,70.09,9.59,328,428,s ext,98.97
196,39,77.88,8.18,344,440,s ext,102.25
197,39.2,85.58,7.22,352,440,s ext,105.56
198,39.4,93.13,5.69,316,396,s ext,109.78
199,39.6,99.12,6.32,312,364,s ext,111.75
200,39.8,104.29,7.47,304,320,s ext,113.14
201,40,109.37,9.23,304,296,s ext,114.2
202,40.2,114.35,12.49,364,372,s ext,114.18
203,40.4,119.92,17.09,320,380,s ext,113.63
204,40.6,124.7,20.54,316,356,s ext,113.9
205,40.8,128.08,22.33,268,256,s ext,114.76
206,41,132.11,24.67,272,316,s ext,115.8
207,41.2,134.81,24.67,224,208,s ext,117.69
208,41.4,136.83,24.85,256,232,s ext,118.99
209,41.6,139.51,25.63,264,264,s ext,120.38
210,41.8,141.51,26.64,284,284,s ext,121.17
211,42,142.85,27.89,268,144,s ext,121.33
212,42.2,144.18,29.14,276,200,s ext,121.51
213,42.4,144.85,30.66,240,156,e ext,121.04
214,42.6,144.82,34.24,276,212,e ext,118.76
215,42.8,144.8,37.77,300,256,east,116.57
216,43,144.8,42.15,344,268,east,113.98
217,43.2,145.49,47.11,412,316,east,111.75
218,43.4,146.92,54.4,424,428,east,109.04
219,43.6,149.12,60.66,452,468,east,107.89
220,43.8,152.19,69.42,456,548,east,106.97
221,44,155.37,76.66,460,564,east,107.41
222,44.2,159.51,84.95,444,584,east,109.12
223,44.4,164.76,94.56,408,564,east,112.41
224,44.6,170.3,103.9,396,500,east,116.83
225,44.8,176.94,113.05,404,544,east,123.17
226,45,182.89,120.82,348,440,e ext,129.32
227,45.2,187.24,127.79,280,324,e ext,134.21
228,45.4,191.8,135.16,252,308,e ext,139.68
229,45.6,194.9,143.59,188,248,e ext,144.24
230,45.8,197.42,153.19,232,260,e ext,148.83
231,46,196.42,162.75,204,332,e ext,150.57
232,46.2,194.27,170.57,272,332,e ext,151.18
233,46.4,191.13,177.73,276,372,e ext,151.05
234,46.6,187.42,186.47,280,420,e ext,151.55
235,46.8,183.25,192.63,232,376,e ext,150.9
236,47,180.01,199.13,156,324,n ext,151.59
237,47.2,177.11,202.64,96,220,n ext,151.08
238,47.4,172.02,203.86,76,172,n ext,147.59
239,47.6,167.36,202.29,144,180,n ext,142.89
240,47.8,161.18,201.96,180,252,n ext,137.74
241,48,152.87,198.71,264,324,n ext,129.19
242,48.2,142.81,194.05,284,420,n ext,118.44
243,48.4,131.29,189.44,304,500,n ext,106.72
244,48.6,120.99,186.06,324,524,north,96.87
245,48.8,110.12,183.35,344,540,north,87.35
246,49,102.03,184.55,308,508,north,83.08
247,49.2,93.98,186.29,284,472,north,79.71
248,49.4,86.76,190.42,292,416,n ext,79.49
249,49.6,79.52,193.31,244,344,n ext,78.98
250,49.8,71.47,196.88,184,340,n ext,79.68
251,50,66.66,198.64,152,224,n ext,80.06
252,50.2,62.76,197.69,164,220,n ext,78.26
253,50.4,60.55,194.63,136,212,n ext,74.85
254,50.6,58.28,193.47,184,144,n ext,73.32
255,50.8,56.03,192.35,164,148,n ext,71.91
256,51,54.62,190.14,184,196,n ext,69.55
257,51.2,51.66,188.47,212,188,n ext,67.6
258,51.4,50.32,185.44,224,180,n ext,64.46
259,51.6,48.17,183.6,220,164,n ext,62.49
260,51.8,46.13,180.03,188,208,n ext,58.86
261,52,44.03,177.37,252,232,w ext,56.21
262,52.2,40.51,173.56,312,356,w ext,52.61
263,52.4,34.6,171.58,272,392,w ext,51.37
264,52.6,29.36,170.24,256,368,w ext,51.23
265,52.8,24.05,168.92,260,316,w ext,51.71
266,53,19.5,166.27,228,280,w ext,51.23
267,53.2,15.63,164.14,228,216,w ext,51.32
268,53.4,12.54,160.58,232,252,w ext,49.98
269,53.6,11.86,155.94,216,248,w ext,46.68
270,53.8,10.29,152.55,228,236,w ext,45.15
271,54,9.54,147.82,244,232,w ext,42.34
272,54.2,7.91,143.29,252,264,w ext,40.72
273,54.4,7.07,137.41,264,276,w ext,38.14
274,54.6,6.15,128.39,308,292,w ext,35.02
275,54.8,5.1,119.23,336,380,w ext,34.04
276,55,3,108.91,280,352,w ext,36.13
277,55.2,2.62,100.42,252,292,w ext,38.17
278,55.4,2.27,93.99,220,248,w ext,40.76
279,55.6,2.72,86.52,188,288,w ext,44
280,55.8,3.35,82.31,204,232,w ext,45.76
281,56,5.79,78.39,256,276,w ext,46.24
282,56.2,8.06,72.46,312,288,w ext,48.7
283,56.4,11.04,64.78,332,372,w ext,52.81
284,56.6,12.98,56,352,420,w ext,58.98
285,56.8,14.85,47.33,344,408,w ext,65.72
286,57,15.75,38.36,328,416,w ext,73.55
287,57.2,16.81,31.52,272,344,w ext,79.55
288,57.4,19.14,28.37,272,272,w ext,81.81
289,57.6,22.38,25.68,280,256,w ext,83.5
290,57.8,26.53,23.46,292,260,s ext,84.7
291,58,31.43,20.65,304,308,s ext,86.51
292,58.2,35.5,18.53,300,308,s ext,88.05
293,58.4,40.42,16.82,268,304,s ext,89.34
294,58.6,45.39,16.11,248,260,s ext,89.89
295,58.8,48.58,14.6,244,204,s ext,91.4
296,59,52.78,15.42,260,216,s ext,90.72
297,59.2,56.99,17.12,296,220,s ext,89.38
298,59.4,61.89,18.03,356,308,s ext,89.14
299,59.6,67.57,20,412,376,s ext,88.26
300,59.8,73.18,22.62,560,444,south,87.07
301,60,80.16,24.4,612,556,south,87.57
302,60.2,86.98,25.75,600,572,south,88.97
303,60.4,95.09,25.95,568,616,south,92.53
304,60.6,102.32,26.36,532,532,south,95.97
305,60.8,110.12,25.34,472,612,south,101.19
306,61,117.81,21.89,332,524,s ext,108.53
307,61.2,122.66,19.23,272,348,s ext,113.62
308,61.4,126.11,16.61,264,248,s ext,117.83
309,61.6,130.23,14.51,252,236,s ext,122.08
310,61.8,132.97,12.67,268,192,s ext,125.26
311,62,135.69,11.65,240,196,s ext,127.8
312,62.2,138.39,11.48,236,156,s ext,129.72
313,62.4,140.38,12.48,204,152,s ext,130.33
314,62.6,141.7,13.76,204,152,s ext,130.31
315,62.8,143.7,14.7,212,152,s ext,131.02
316,63,143.65,17.52,240,196,s ext,129
317,63.2,143.59,22.15,236,268,s ext,125.74
318,63.4,142.86,26.99,296,244,s ext,121.93
319,63.6,140.77,34,356,340,south,115.77
320,63.8,138.69,41.58,376,420,south,109.4
321,64,136.62,48.85,412,420,east,103.43
322,64.2,135.26,55.7,456,452,east,98.49
323,64.4,134.6,62.22,524,508,east,94.44
324,64.6,134.66,70.06,560,572,east,90.75
325,64.8,134.79,78.56,516,612,east,87.41
