Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00037.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,118,,,,,,
trial,1,,,,,,
date,05:51.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,107.18,5.55,108,172,s ext,116.23
2,0.2,107.2,8.38,212,264,s ext,113.8
3,0.4,110.08,8.25,248,268,s ext,115.4
4,0.6,112.94,8.01,268,324,s ext,117.13
5,0.8,114.36,9.72,240,364,s ext,116.49
6,1,116.47,10.37,224,336,s ext,117.12
7,1.2,117.16,12.11,176,288,s ext,116.07
8,1.4,119.26,12.68,140,212,s ext,116.8
9,1.6,121.32,15.01,108,208,s ext,116.13
10,1.8,121.3,16.82,188,128,s ext,114.68
11,2,121.98,18.48,248,140,s ext,113.79
12,2.2,123.33,20.86,276,228,s ext,112.78
13,2.4,124.66,24.07,344,276,s ext,111.19
14,2.6,125.99,27.24,408,304,south,109.72
15,2.8,126.62,31.37,380,348,south,107.16
16,3,126.58,34.76,432,332,south,104.74
17,3.2,126.55,38.11,440,328,south,102.4
18,3.4,125.83,42.37,532,364,south,98.99
19,3.6,125.13,45.74,508,328,south,96.24
20,3.8,124.42,49.06,564,320,south,93.57
21,4,125.09,51.32,636,392,south,92.68
22,4.2,126.43,55.03,632,364,south,91.54
23,4.4,128.45,57.82,620,340,south,91.64
24,4.6,131.18,62.04,596,504,east,91.62
25,4.8,132.57,67.26,612,528,east,90.19
26,5,132.62,72.66,628,584,east,87.77
27,5.2,131.33,79.65,660,648,east,83.79
28,5.4,127.96,86.59,684,696,east,78.28
29,5.6,123.89,93.26,676,696,east,72.55
30,5.8,118.39,99.64,716,720,east,65.87
31,6,112.84,105.07,616,716,east,59.52
32,6.2,105.13,108.23,592,696,east,51.52
33,6.4,98.8,107.34,632,648,north,45.31
34,6.6,91.79,104.45,588,604,west,38.84
35,6.8,85.48,100.89,652,592,west,33.47
36,7,79.16,93.78,600,724,west,30.69
37,7.2,73.44,86.36,572,676,west,30.67
38,7.4,68.26,77.8,548,696,west,34.27
39,7.6,63.54,66.36,528,684,south,42.45
40,7.8,60.05,54.34,516,676,south,53.11
41,8,57.9,42.76,476,656,south,64.09
