Track file,I:\Rat Navigation Data\exp nesté 1morris_0001\data\track_00026.trk,,,,,,
Object,0,,,,,,
Samples,450,,,,,,
id,91,,,,,,
trial,2,,,,,,
date,36:17.0,yyyy-MM-dd HH:mm:ss,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]]
1,0,116.31,177.81,204,208,north,87.81
2,0.2,115.6,179.36,236,240,north,88.34
3,0.4,116.59,182.22,260,160,north,91.04
4,0.6,115.88,183.79,244,152,north,91.64
5,0.8,116.05,186.49,312,180,north,93.7
6,1,114.55,188.79,296,264,n ext,94.36
7,1.2,113.26,194.84,252,300,n ext,98.13
8,1.4,111.73,197.24,240,228,n ext,99.06
9,1.6,111.1,200.84,108,180,n ext,101.54
10,1.8,-,-,-,-,-,-
11,2,-,-,-,-,-,-
12,2.2,-,-,-,-,-,-
13,2.4,-,-,-,-,-,-
14,2.6,-,-,-,-,-,-
15,2.8,97.34,191.04,212,-,n ext,85.52
16,3,94.79,186.36,312,268,north,80.22
17,3.2,89.91,178.34,372,436,north,70.85
18,3.4,85.24,170.05,408,476,north,61.39
19,3.6,80.8,160.7,444,588,north,51.25
20,3.8,76.51,152.57,452,552,north,42.18
21,4,71.58,144.81,436,592,north,33.03
22,4.2,67.48,136.42,452,568,west,23.95
23,4.4,63.37,128.06,456,580,west,15.17
24,4.6,59.2,119.58,480,608,west,6.95
25,4.8,56.41,110.77,468,620,west,2.99
26,5,51.96,102.44,488,620,west,4.73
27,5.2,47.32,93.62,436,596,west,12.36
28,5.4,42.41,84.18,480,572,west,22.05
29,5.6,37.2,73.99,428,604,west,33.08
30,5.8,30.85,63.65,432,548,west,44.64
31,6,25.02,53.56,460,532,west,56.04
32,6.2,18.93,43.63,396,504,w ext,67.47
33,6.4,14.36,33.64,272,372,w ext,78.45
34,6.6,16.33,27.14,180,428,w ext,83.85
35,6.8,20.53,24.84,120,300,w ext,84.79
36,7,23.19,25.01,240,232,w ext,83.94
37,7.2,27.21,21.74,328,448,s ext,86.22
38,7.4,31.1,17.48,320,432,s ext,89.69
39,7.6,33.26,13.46,196,324,s ext,93.36
40,7.8,34.51,8.99,108,184,s ext,97.64
41,8,37.12,9.26,88,164,s ext,97.11
42,8.2,38.91,10.14,64,88,s ext,96.1
43,8.4,-,-,-,-,-,-
44,8.6,50.55,18.33,152,-,s ext,87.72
