Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0004\data\track_00012.trk
Object,0
Samples,450
treatment,2,
cage,28,
mark,2,
id,69,
date,2009-07-29 11:14:56.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,97.31,14.22,452.00,248.00,s ext
2,0.20,92.00,13.11,432.00,276.00,s ext
3,0.40,86.54,11.82,536.00,256.00,s ext
4,0.60,79.02,11.11,508.00,372.00,s ext
5,0.80,69.77,11.65,556.00,432.00,s ext
6,1.00,62.66,12.01,560.00,364.00,s ext
7,1.20,53.95,11.43,592.00,456.00,s ext
8,1.40,45.09,9.33,592.00,328.00,s ext
9,1.60,42.29,9.83,532.00,260.00,s ext
10,1.80,39.62,10.24,596.00,368.00,s ext
11,2.00,39.18,14.24,660.00,640.00,s ext
12,2.20,38.05,18.15,564.00,552.00,south
13,2.40,41.88,24.32,636.00,544.00,south
14,2.60,46.04,31.16,604.00,592.00,south
15,2.80,52.38,39.21,700.00,520.00,south
16,3.00,56.10,44.68,624.00,420.00,south
17,3.20,61.25,50.36,696.00,400.00,south
18,3.40,65.91,55.72,732.00,540.00,south
19,3.60,70.81,60.48,744.00,532.00,south
20,3.80,74.89,63.48,836.00,508.00,south
21,4.00,79.34,65.18,904.00,620.00,south
22,4.20,82.84,66.33,908.00,556.00,south
23,4.40,85.36,66.39,828.00,464.00,south
24,4.60,87.03,66.16,856.00,564.00,south
25,4.80,87.90,66.37,824.00,496.00,south
26,5.00,87.74,64.32,900.00,708.00,south
27,5.20,84.95,62.98,784.00,572.00,south
28,5.40,81.25,61.93,828.00,340.00,south
29,5.60,77.07,62.45,840.00,500.00,south
30,5.80,72.61,63.75,828.00,524.00,south
31,6.00,70.22,65.68,888.00,532.00,south
32,6.20,69.05,68.77,884.00,500.00,south
33,6.40,68.72,72.35,796.00,656.00,south
34,6.60,69.22,77.16,816.00,492.00,west
35,6.80,71.67,83.75,812.00,724.00,west
36,7.00,74.16,89.64,864.00,644.00,west
37,7.20,77.39,96.26,972.00,764.00,west
38,7.40,80.74,101.79,960.00,732.00,west
39,7.60,84.44,106.25,988.00,748.00,west
40,7.80,87.24,110.95,1048.00,764.00,west
41,8.00,90.79,114.86,1052.00,740.00,north
42,8.20,96.25,120.05,948.00,984.00,north
43,8.40,102.79,123.23,1004.00,928.00,north
44,8.60,109.24,125.71,956.00,760.00,north
45,8.80,114.55,128.38,920.00,564.00,north
46,9.00,120.91,131.23,952.00,608.00,north
47,9.20,128.41,135.16,920.00,704.00,north
48,9.40,137.22,140.56,960.00,728.00,north
49,9.60,145.31,145.78,904.00,752.00,east
50,9.80,157.09,155.22,832.00,824.00,east
51,10.00,167.70,164.90,832.00,728.00,east
52,10.20,179.48,176.18,796.00,772.00,east
53,10.40,189.25,186.84,800.00,652.00,east
54,10.60,199.08,197.23,732.00,604.00,e ext
55,10.80,205.53,204.20,680.00,460.00,e ext
56,11.00,208.33,207.01,656.00,456.00,e ext
57,11.20,208.06,204.96,656.00,392.00,e ext
58,11.40,206.13,199.21,576.00,400.00,e ext
59,11.60,202.18,190.39,656.00,416.00,e ext
60,11.80,197.40,177.83,620.00,420.00,e ext
61,12.00,193.13,160.38,620.00,576.00,e ext
