Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0004\data\track_00020.trk
Object,0
Samples,450
treatment,2,
cage,37,
mark,2,
id,107,
date,2009-07-29 13:03:44.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,101.79,10.09,964.00,316.00,s ext
2,0.20,109.50,14.74,428.00,728.00,s ext
3,0.40,110.44,11.63,488.00,268.00,s ext
4,0.60,108.93,10.73,540.00,340.00,s ext
5,0.80,103.41,11.06,512.00,372.00,s ext
6,1.00,97.66,12.20,600.00,432.00,s ext
7,1.20,86.54,11.82,532.00,460.00,s ext
8,1.40,79.05,12.09,652.00,392.00,s ext
9,1.60,73.50,12.28,548.00,384.00,s ext
10,1.80,67.89,11.29,524.00,224.00,s ext
11,2.00,61.27,13.45,504.00,476.00,s ext
12,2.20,61.99,16.25,528.00,360.00,s ext
13,2.40,62.72,19.00,604.00,308.00,s ext
14,2.60,62.59,23.88,616.00,492.00,south
15,2.80,67.39,30.80,656.00,472.00,south
16,3.00,71.30,35.77,740.00,452.00,south
17,3.20,76.02,40.08,752.00,540.00,south
18,3.40,81.57,44.42,804.00,508.00,south
19,3.60,86.62,48.43,828.00,480.00,south
20,3.80,91.20,51.40,808.00,412.00,south
21,4.00,94.34,54.76,808.00,440.00,south
22,4.20,98.11,58.77,820.00,508.00,south
23,4.40,99.62,62.48,872.00,380.00,south
24,4.60,100.87,66.79,876.00,484.00,south
25,4.80,102.87,70.32,872.00,540.00,south
26,5.00,104.79,73.08,900.00,500.00,south
27,5.20,107.15,76.44,956.00,584.00,south
28,5.40,-,-,-,-,-
29,5.60,111.81,83.65,884.00,884.00,south
30,5.80,112.78,88.29,976.00,556.00,south
31,6.00,113.40,91.60,964.00,548.00,south
32,6.20,113.36,95.55,948.00,648.00,east
33,6.40,111.54,99.88,980.00,720.00,east
34,6.60,109.99,102.81,1068.00,744.00,east
35,6.80,106.13,104.68,1020.00,600.00,east
36,7.00,102.26,106.49,1080.00,700.00,north
37,7.20,97.11,108.17,1084.00,740.00,north
38,7.40,92.44,110.08,1100.00,712.00,north
39,7.60,88.35,111.64,1064.00,732.00,west
40,7.80,83.82,112.10,996.00,756.00,west
41,8.00,78.96,111.30,956.00,696.00,west
42,8.20,75.34,110.49,996.00,640.00,west
43,8.40,71.39,108.01,992.00,676.00,west
44,8.60,67.98,105.22,908.00,540.00,platform larger
45,8.80,63.28,100.01,936.00,692.00,platform
46,9.00,58.06,94.77,916.00,668.00,platform
47,9.20,52.36,88.52,904.00,660.00,platform larger
48,9.40,45.28,80.65,828.00,708.00,west
49,9.60,37.16,69.91,848.00,716.00,west
50,9.80,30.01,59.98,784.00,624.00,west
51,10.00,21.59,47.19,736.00,688.00,west
52,10.20,14.63,36.33,596.00,412.00,w ext
53,10.40,14.06,34.77,656.00,212.00,w ext
54,10.60,12.88,31.67,608.00,424.00,w ext
55,10.80,12.04,28.18,592.00,344.00,w ext
56,11.00,8.56,20.62,652.00,372.00,w ext
57,11.20,5.82,14.42,572.00,456.00,w ext
58,11.40,2.77,8.44,588.00,424.00,w ext
59,11.60,1.59,5.47,528.00,388.00,w ext
60,11.80,0.32,2.72,592.00,312.00,w ext
61,12.00,-0.70,0.29,660.00,468.00,w ext
62,12.20,0.58,0.85,600.00,412.00,w ext
63,12.40,2.60,2.59,600.00,320.00,w ext
64,12.60,6.01,5.67,596.00,260.00,s ext
65,12.80,11.71,11.02,500.00,360.00,south
66,13.00,15.63,14.71,592.00,276.00,south
67,13.20,22.03,20.48,612.00,340.00,south
68,13.40,30.22,27.78,612.00,448.00,south
69,13.60,36.25,32.54,692.00,408.00,south
70,13.80,43.31,37.70,656.00,428.00,south
71,14.00,50.01,43.20,720.00,432.00,south
72,14.20,56.72,48.97,728.00,496.00,south
73,14.40,64.62,54.47,736.00,512.00,south
74,14.60,68.60,56.40,824.00,368.00,south
75,14.80,73.69,59.24,828.00,460.00,south
76,15.00,78.75,62.41,828.00,480.00,south
77,15.20,83.61,65.91,852.00,448.00,south
78,15.40,87.27,68.85,912.00,444.00,south
79,15.60,90.67,71.58,904.00,424.00,south
80,15.80,93.83,74.77,780.00,492.00,south
81,16.00,95.23,78.20,888.00,388.00,south
82,16.20,96.47,82.18,896.00,528.00,south
83,16.40,97.52,86.68,980.00,588.00,south
