Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0004\data\track_00026.trk
Object,0
Samples,450
treatment,1,
cage,49,
mark,2,
id,111,
date,2009-07-30 09:42:20.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,108.33,12.82,348.00,156.00,s ext
2,0.20,110.12,12.67,432.00,188.00,s ext
3,0.40,116.23,9.99,500.00,396.00,s ext
4,0.60,121.22,10.29,608.00,364.00,s ext
5,0.80,130.09,8.59,648.00,512.00,s ext
6,1.00,143.40,5.95,592.00,632.00,s ext
7,1.20,156.20,2.14,708.00,596.00,s ext
8,1.40,170.77,-3.16,668.00,680.00,s ext
9,1.60,184.83,-9.47,664.00,644.00,s ext
10,1.80,193.46,-13.23,684.00,636.00,s ext
11,2.00,198.37,-14.60,596.00,608.00,s ext
12,2.20,196.00,-8.69,680.00,652.00,s ext
13,2.40,191.06,-0.20,600.00,640.00,south
14,2.60,182.16,14.18,700.00,700.00,south
15,2.80,172.65,29.14,668.00,696.00,east
16,3.00,163.25,46.04,784.00,756.00,east
17,3.20,155.21,62.20,796.00,812.00,east
18,3.40,149.61,78.09,840.00,900.00,east
19,3.60,146.39,91.88,880.00,848.00,reveral larger
20,3.80,144.79,109.14,892.00,1068.00,platform reversal
21,4.00,144.11,121.58,856.00,964.00,east
22,4.20,144.92,132.88,940.00,892.00,east
23,4.40,147.25,144.12,928.00,988.00,east
24,4.60,149.59,153.84,872.00,1032.00,north
25,4.80,149.58,160.53,920.00,1040.00,north
26,5.00,147.54,166.07,920.00,1032.00,north
27,5.20,140.69,169.61,892.00,1044.00,north
28,5.40,129.17,171.33,900.00,920.00,north
29,5.60,113.61,172.89,992.00,964.00,north
30,5.80,92.39,176.74,816.00,1032.00,n ext
31,6.00,68.90,183.45,708.00,820.00,n ext
32,6.20,43.71,191.57,680.00,772.00,n ext
33,6.40,25.07,199.11,716.00,652.00,n ext
34,6.60,10.15,205.06,696.00,668.00,n ext
35,6.80,2.16,207.71,688.00,624.00,n ext
36,7.00,-4.79,210.76,752.00,592.00,n ext
37,7.20,-6.47,210.05,680.00,576.00,n ext
38,7.40,-8.83,210.57,680.00,552.00,n ext
39,7.60,-9.69,210.53,712.00,376.00,n ext
40,7.80,-10.37,210.36,724.00,556.00,n ext
41,8.00,-8.47,207.84,704.00,388.00,n ext
42,8.20,-9.19,207.90,688.00,408.00,n ext
43,8.40,-10.12,208.44,640.00,424.00,n ext
44,8.60,-9.30,206.69,688.00,456.00,w ext
45,8.80,-7.07,203.06,668.00,428.00,w ext
46,9.00,-2.54,196.54,716.00,368.00,w ext
47,9.20,1.48,190.71,740.00,360.00,w ext
48,9.40,10.80,176.66,720.00,548.00,west
49,9.60,19.57,162.36,852.00,644.00,west
50,9.80,26.82,148.63,808.00,652.00,west
51,10.00,33.39,135.22,812.00,572.00,west
52,10.20,36.88,125.41,852.00,528.00,west
53,10.40,38.78,115.85,824.00,596.00,west
54,10.60,39.42,109.01,860.00,564.00,west
55,10.80,36.84,98.48,900.00,728.00,west
56,11.00,33.24,88.32,808.00,740.00,west
57,11.20,27.17,77.58,784.00,720.00,west
58,11.40,20.37,66.92,664.00,600.00,w ext
59,11.60,19.24,64.55,656.00,224.00,w ext
60,11.80,19.24,64.55,536.00,200.00,w ext
61,12.00,20.16,65.24,644.00,220.00,w ext
62,12.20,20.16,65.24,596.00,224.00,w ext
63,12.40,19.45,66.25,692.00,208.00,w ext
64,12.60,19.24,64.55,688.00,108.00,w ext
65,12.80,20.37,66.92,684.00,220.00,w ext
66,13.00,21.07,65.93,612.00,168.00,w ext
67,13.20,21.28,67.58,664.00,452.00,w ext
68,13.40,20.37,66.92,652.00,220.00,w ext
69,13.60,19.00,62.86,664.00,268.00,w ext
70,13.80,18.47,59.50,616.00,336.00,w ext
71,14.00,18.18,57.82,628.00,196.00,w ext
72,14.20,17.19,52.82,648.00,276.00,w ext
73,14.40,16.44,49.51,632.00,208.00,w ext
74,14.60,16.58,47.12,656.00,344.00,w ext
75,14.80,17.19,44.15,664.00,352.00,w ext
76,15.00,17.19,39.87,736.00,368.00,w ext
77,15.20,18.44,36.47,752.00,448.00,west
78,15.40,17.45,31.49,796.00,428.00,west
79,15.60,16.58,26.64,776.00,444.00,west
80,15.80,16.23,23.56,764.00,396.00,west
81,16.00,15.43,20.88,764.00,384.00,west
82,16.20,14.56,18.38,784.00,372.00,west
83,16.40,10.20,11.36,744.00,544.00,west
84,16.60,5.46,4.70,780.00,628.00,s ext
85,16.80,-0.58,-2.78,600.00,628.00,s ext
86,17.00,-2.70,-5.54,688.00,440.00,s ext
87,17.20,-0.56,-4.30,736.00,480.00,s ext
88,17.40,-0.08,-5.21,668.00,580.00,s ext
89,17.60,3.53,-3.80,628.00,472.00,s ext
90,17.80,9.48,-1.45,672.00,468.00,s ext
91,18.00,15.93,1.25,736.00,472.00,s ext
92,18.20,22.07,2.53,748.00,452.00,s ext
93,18.40,31.83,6.10,684.00,528.00,s ext
94,18.60,39.51,7.22,620.00,408.00,s ext
95,18.80,45.09,9.33,672.00,364.00,s ext
96,19.00,50.61,11.22,564.00,412.00,s ext
97,19.20,54.59,13.30,632.00,396.00,s ext
98,19.40,58.46,15.29,612.00,332.00,s ext
99,19.60,62.23,17.17,652.00,312.00,s ext
100,19.80,63.97,17.62,616.00,268.00,s ext
101,20.00,67.43,18.45,648.00,296.00,s ext
102,20.20,70.73,18.27,692.00,316.00,s ext
103,20.40,74.09,17.99,644.00,256.00,s ext
104,20.60,75.67,16.40,600.00,260.00,s ext
105,20.80,79.17,15.96,612.00,220.00,s ext
106,21.00,79.21,16.92,648.00,204.00,s ext
107,21.20,81.00,18.09,624.00,144.00,s ext
108,21.40,82.74,18.29,584.00,136.00,s ext
109,21.60,82.74,17.34,600.00,112.00,s ext
110,21.80,84.50,17.52,588.00,236.00,s ext
111,22.00,86.25,17.68,608.00,132.00,s ext
112,22.20,86.29,16.72,584.00,160.00,s ext
