Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0004\data\track_00031.trk
Object,0
Samples,450
treatment,4,
cage,50,
mark,1,
id,72,
date,2009-07-30 10:41:52.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES
1,0.00,109.81,13.71,568.00,408.00,s ext
2,0.20,113.69,12.32,596.00,436.00,s ext
3,0.40,121.22,10.29,612.00,408.00,s ext
4,0.60,130.09,8.59,660.00,472.00,s ext
5,0.80,138.24,7.50,656.00,508.00,s ext
6,1.00,148.74,5.96,688.00,480.00,s ext
7,1.20,156.16,5.61,680.00,424.00,s ext
8,1.40,161.40,5.64,684.00,500.00,s ext
9,1.60,162.88,8.76,644.00,552.00,south
10,1.80,161.27,13.38,648.00,572.00,south
11,2.00,155.00,21.21,740.00,524.00,south
12,2.20,146.26,30.86,808.00,668.00,south
13,2.40,137.99,40.62,884.00,716.00,south
14,2.60,129.34,49.18,868.00,784.00,south
15,2.80,119.34,56.45,916.00,920.00,south
16,3.00,111.10,59.99,936.00,924.00,south
17,3.20,101.66,61.12,932.00,828.00,south
18,3.40,92.20,59.60,980.00,888.00,south
19,3.60,80.99,55.13,920.00,996.00,south
20,3.80,70.07,47.48,868.00,916.00,south
21,4.00,58.25,37.98,816.00,804.00,south
22,4.20,44.79,25.85,804.00,820.00,south
23,4.40,31.05,13.80,720.00,724.00,s ext
24,4.60,23.73,6.32,676.00,444.00,s ext
25,4.80,23.73,6.32,696.00,172.00,s ext
26,5.00,28.50,10.11,592.00,320.00,s ext
27,5.20,29.56,10.09,568.00,336.00,s ext
28,5.40,31.18,9.08,624.00,240.00,s ext
29,5.60,36.02,8.69,724.00,516.00,s ext
30,5.80,43.67,9.59,688.00,500.00,s ext
31,6.00,50.25,10.28,672.00,440.00,s ext
32,6.20,57.34,11.54,664.00,368.00,s ext
33,6.40,64.12,10.51,596.00,420.00,s ext
34,6.60,71.53,11.01,636.00,328.00,s ext
35,6.80,79.02,11.11,616.00,388.00,s ext
36,7.00,84.66,11.68,576.00,272.00,s ext
37,7.20,90.37,11.03,624.00,264.00,s ext
38,7.40,95.98,11.18,628.00,300.00,s ext
39,7.60,101.56,11.12,572.00,304.00,s ext
40,7.80,107.09,10.87,520.00,324.00,s ext
41,8.00,112.59,10.41,604.00,308.00,s ext
42,8.20,122.11,8.12,584.00,356.00,s ext
43,8.40,127.57,7.12,672.00,392.00,s ext
44,8.60,134.78,5.49,616.00,392.00,s ext
45,8.80,141.27,4.69,700.00,412.00,s ext
46,9.00,149.28,3.01,656.00,420.00,s ext
47,9.20,155.34,1.61,584.00,432.00,s ext
48,9.40,156.20,2.14,596.00,356.00,s ext
49,9.60,158.68,1.94,640.00,268.00,s ext
50,9.80,160.32,1.21,508.00,244.00,s ext
51,10.00,161.08,1.70,556.00,288.00,s ext
52,10.20,161.81,2.19,544.00,276.00,s ext
53,10.40,169.17,-2.30,484.00,260.00,s ext
54,10.60,169.79,-1.85,524.00,328.00,s ext
55,10.80,170.96,-0.96,532.00,448.00,s ext
56,11.00,170.05,2.53,580.00,392.00,s ext
57,11.20,163.92,9.69,640.00,492.00,south
58,11.40,154.26,18.58,744.00,488.00,south
59,11.60,142.93,27.71,760.00,648.00,south
60,11.80,130.71,35.38,900.00,716.00,south
61,12.00,119.03,42.42,888.00,788.00,south
62,12.20,104.26,46.53,860.00,940.00,south
63,12.40,92.39,48.47,904.00,780.00,south
64,12.60,78.71,48.17,860.00,844.00,south
65,12.80,68.57,48.86,840.00,852.00,south
66,13.00,60.19,49.79,840.00,912.00,south
67,13.20,55.42,52.03,844.00,836.00,south
68,13.40,52.32,54.94,840.00,788.00,south
69,13.60,52.02,61.37,840.00,832.00,west
70,13.80,53.46,69.38,820.00,756.00,west
71,14.00,56.34,79.22,880.00,740.00,west
72,14.20,60.17,90.82,852.00,828.00,platform larger
73,14.40,63.28,100.01,912.00,724.00,platform
74,14.60,65.86,109.30,952.00,856.00,platform larger
75,14.80,67.46,117.66,1012.00,916.00,west
76,15.00,69.06,123.65,948.00,872.00,west
77,15.20,68.93,130.88,996.00,808.00,north
78,15.40,70.18,136.00,948.00,848.00,north
79,15.60,72.94,138.59,928.00,684.00,north
80,15.80,78.98,138.65,964.00,860.00,north
81,16.00,86.85,137.70,980.00,856.00,north
82,16.20,94.55,135.59,1072.00,660.00,north
83,16.40,102.75,134.37,1004.00,764.00,north
84,16.60,109.75,133.81,1108.00,744.00,north
85,16.80,118.03,133.19,968.00,932.00,north
86,17.00,122.42,131.23,964.00,764.00,north
87,17.20,125.43,127.60,1036.00,728.00,north
88,17.40,128.13,122.99,1060.00,800.00,east
89,17.60,130.93,118.59,1036.00,760.00,east
90,17.80,134.57,113.82,1068.00,848.00,east
91,18.00,138.54,109.06,968.00,908.00,reveral larger
92,18.20,144.83,107.04,908.00,932.00,platform reversal
93,18.40,152.06,107.02,900.00,808.00,reveral larger
94,18.60,158.02,109.05,876.00,696.00,east
95,18.80,166.64,110.95,900.00,832.00,east
96,19.00,174.91,112.84,828.00,728.00,east
97,19.20,182.75,112.71,708.00,680.00,e ext
98,19.40,186.37,112.36,588.00,336.00,e ext
99,19.60,184.62,109.60,580.00,192.00,e ext
100,19.80,182.92,106.95,580.00,344.00,e ext
101,20.00,183.02,105.01,620.00,360.00,e ext
102,20.20,186.08,99.94,552.00,396.00,e ext
103,20.40,187.15,89.71,628.00,452.00,e ext
104,20.60,189.13,77.18,604.00,440.00,e ext
105,20.80,192.06,60.18,640.00,516.00,e ext
106,21.00,193.81,45.88,524.00,540.00,e ext
107,21.20,197.36,29.98,648.00,540.00,e ext
108,21.40,201.16,15.28,656.00,552.00,e ext
109,21.60,204.99,2.25,652.00,556.00,e ext
110,21.80,208.36,-7.66,656.00,516.00,e ext
111,22.00,211.09,-15.56,624.00,568.00,e ext
112,22.20,212.60,-20.52,664.00,568.00,e ext
113,22.40,212.82,-23.46,744.00,552.00,s ext
114,22.60,211.40,-24.38,668.00,644.00,s ext
115,22.80,209.30,-24.70,656.00,588.00,s ext
116,23.00,205.02,-22.61,628.00,508.00,s ext
117,23.20,198.54,-19.33,696.00,564.00,s ext
118,23.40,189.91,-14.84,628.00,612.00,s ext
119,23.60,180.43,-10.89,640.00,548.00,s ext
120,23.80,166.39,-4.17,608.00,624.00,s ext
121,24.00,157.84,-2.11,720.00,488.00,s ext
122,24.20,142.62,2.35,688.00,616.00,s ext
123,24.40,128.09,6.01,652.00,612.00,s ext
124,24.60,109.56,8.62,668.00,632.00,s ext
125,24.80,94.26,10.13,600.00,612.00,s ext
126,25.00,80.91,10.33,700.00,548.00,s ext
127,25.20,67.74,10.32,648.00,564.00,s ext
128,25.40,57.07,10.59,664.00,576.00,s ext
129,25.60,45.51,10.27,604.00,556.00,s ext
130,25.80,38.85,11.34,676.00,440.00,s ext
131,26.00,32.37,10.94,696.00,428.00,s ext
132,26.20,28.12,11.03,632.00,440.00,s ext
133,26.40,21.05,8.81,776.00,528.00,s ext
134,26.60,13.78,5.86,688.00,656.00,s ext
