Clusters,Error%,Undefined%,Coverage%,Validation_Error%
10,0,18.1796303427031,92.3084328070851,3.72640919885014
11,0,27.9976896418945,88.0053908355795,4.83689538807649
12,0,30.2830188679245,73.9795918367347,7.21597300337458
13,0,29.1470927993839,82.9129765113593,7.05474315710536
14,0,28.355795148248,82.4701578744705,5.54868141482315
15,0,29.012321909896,85.2040816326531,7.45219347581552
16,0,29.5350404312668,95.5718136311128,7.21347331583552
17,0,25.897189064305,85.3869849826723,6.89851268591426
18,0,25.1597997689642,91.6923373122834,8.80139982502187
19,0,24.7930304197151,83.5483249903735,7.29096362954631
20,0,21.8935309973046,96.3996919522526,8.32770903637045
21,0.0793650793650794,24.5167500962649,86.907970735464,7.53468316460442
22,0.0793650793650794,24.3781286099345,83.8756257219869,9.91376077990251
23,0.158730158730159,25.8115132845591,91.0088563727378,11.0217472815898
24,0.237470316210474,22.8157489410859,82.450904890258,10.9448818897638
25,0.238095238095238,19.9537928378899,96.6114747785907,12.7671541057368
26,0.158730158730159,21.470927993839,96.1205236811706,13.0846144231971
27,0.0793650793650794,22.7733923758183,93.5791297651136,11.8947631546057
28,0.0793650793650794,22.7733923758183,93.5791297651136,11.8947631546057
29,0.238095238095238,20.8914131690412,91.2110127069696,13.6407949006374
30,0.952380952380952,20.987678090104,92.6838659992299,15.3887014123235
31,1.0304961879765,21.2860993453985,90.9799768964189,14.8300212473441
32,1.50731158605174,21.0550635348479,93.1363111282249,13.3220847394076
33,1.03174603174603,20.6382364266461,90.3061224489796,15.0693663292088
34,2.38095238095238,19.1499807470158,92.3180592991914,15.3855768028996
35,0.714285714285714,21.7308432807085,93.4443588756257,12.7659042619673
36,0.634920634920635,23.1834809395456,87.8224874855603,14.9881264841895
37,1.50668666416698,21.783788987293,94.0412013862149,16.8091488563929
38,0.396825396825397,23.397189064305,87.466307277628,16.7297837770279
39,0.793025871766029,22.7474008471313,95.1289949942241,14.5913010873641
40,1.58667666541682,21.8280708509819,95.2348864073931,16.2554680664917
41,1.58667666541682,21.2783981517135,91.6827108201771,16.3373328333958
42,1.58667666541682,24.0180978051598,90.9896033885252,16.9710036245469
43,1.66416697912761,24.8103581055064,89.1413169041201,16.7285339332583
44,2.06036745406824,23.1083943011167,94.1952252599153,16.734783152106
45,1.66666666666667,24.3733153638814,93.8197920677705,17.2872140982377
46,1.26921634795651,23.2874470542934,93.1459376203312,18.0827396575428
47,1.26921634795651,23.2874470542934,93.1459376203312,18.0827396575428
48,1.34858142732158,24.0392760877936,93.2999614940316,19.0332458442695
49,2.22034745656793,25.2040816326531,90.7874470542934,19.1094863142107
50,1.90351206099238,25.1597997689642,88.8140161725067,19.9056367954006
51,1.98350206224222,24.0931844435888,93.3095879861379,18.0833645794276
52,1.66479190101237,25.1944551405468,92.0100115517905,19.8262717160355
53,2.21784776902887,24.4166345783596,91.8752406623027,19.8268966379203
54,1.82102237220347,24.3280708509819,92.2891798228725,19.2657167854018
55,2.8546431696038,24.5494801694263,89.7477859068156,20.3762029746282
56,1.82539682539683,25.4158644589911,91.2110127069696,20.1412323459568
57,2.53843269591301,25.1415094339623,93.17481709665,22.6809148856393
58,2.29846269216348,24.6832884097035,91.6923373122834,23.2345956755406
59,2.61467316585427,25.8163265306122,90.5756642279553,22.3622047244094
60,2.61467316585427,25.8163265306122,90.5756642279553,22.3622047244094
61,2.53718285214348,25.3821717366192,88.891028109357,24.1057367829021
62,2.77465316835396,25.2358490566038,90.5852907200616,21.7297837770279
63,2.69528808898888,24.3473238351945,90.6815556411244,21.7291588551431
64,3.17147856517935,23.4963419329996,90.7008086253369,21.5685539307587
65,3.17147856517935,23.4963419329996,90.7008086253369,21.5685539307587
66,3.17147856517935,23.4963419329996,90.7008086253369,21.5685539307587
67,3.17147856517935,23.4963419329996,90.7008086253369,21.5685539307587
68,3.09211348581427,22.5721986907971,91.8271082017713,22.3590801149856
