Clusters,Error%,Undefined%,Coverage%,Validation_Error%
10,0,28.5164201384177,96.0170986565341,1.83957845433255
11,0,28.6663726421495,95.2639435472927,3.7632987621278
12,0,30.8718957796173,87.983444157959,3.68016058882569
13,0,34.52435880038,94.6363142895915,4.53914352626296
14,0,31.9534536572126,88.1327181435744,4.86684509869522
15,0,32.1936490704302,92.83484869046,5.93041150886584
16,0,31.6467634685846,96.0238838376985,5.76597524255604
17,0,33.2436558556113,91.888315918035,6.17564402810304
18,0.204583472733356,29.8157823313883,90.7857239788302,6.58330545332887
19,0.0408163265306122,30.5774189170851,98.2562084407654,8.26062228169957
20,0,28.8461799430045,93.1333966616909,6.70725995316159
21,0,33.2361921563306,95.8508617180079,7.56691201070592
22,0.245065239210438,32.6557199077215,92.8314560998779,8.42639678822349
23,0,35.0498710815579,92.6584339801873,7.36099029775845
24,0.286383405821345,29.1891708508617,95.9085357579047,6.91083974573436
25,0.367514218802275,29.0270050210341,96.376713258244,9.40414854466377
26,0.327032452325192,26.1714615280228,97.2045053602931,8.21980595516895
27,0.204583472733356,30.4142353100828,98.6768896729543,6.8288725326196
28,0.204583472733356,30.4142353100828,98.6768896729543,6.8288725326196
29,0.245567079290733,32.7653005835256,96.9432758854661,9.36667781866845
30,0.490632318501171,33.0136382141403,90.741620301262,8.87470725995316
31,0.28621612579458,32.5885466141946,91.2742570226625,9.69203747072599
32,0.449314151890264,27.8870945854254,97.1502239109784,8.42455670792907
33,0.163432586149214,28.3406839462614,97.6421495453929,8.87336901973904
34,0.286048845767815,29.5450536029312,96.7091871352965,10.4710605553697
35,0.0819672131147541,27.6387569548107,93.4726557199077,8.7932418869187
36,0.245232519237203,29.4276699687882,97.5132311032705,9.85714285714286
37,0.286048845767815,30.2381598588682,96.2885059031076,10.3049514887922
38,0.817162930746069,26.69900936355,97.584475505496,10.1018735362998
39,0.613583138173302,28.3267743248745,96.5395576061881,10.5513549682168
40,0.204416192706591,30.1312932555299,97.6082236395712,10.7547674807628
41,0.654566744730679,28.7420274121319,97.4453792916271,11.084643693543
42,1.92221478755437,29.1579590175058,96.98059438187,13.2504182000669
43,1.34777517564403,29.5766046953454,96.4140317546479,13.9449648711944
44,0.408665105386417,31.7627900664948,96.6040168272493,13.9479759116761
45,1.10538641686183,28.7074229881938,97.8898086578912,15.6261291401807
46,1.59434593509535,30.2123761704438,97.1909349979644,14.9707259953162
47,1.59434593509535,30.2123761704438,97.1909349979644,14.9707259953162
48,1.75878220140515,27.1665083457728,97.1773646356358,15.7459016393443
49,1.39126798260288,27.748676889673,97.7303569005292,14.3569755771161
50,2.98611575777852,27.2421631157552,97.2248609037861,15.9514887922382
51,1.96336567413851,29.1671190120776,96.6209797801601,15.869856139177
52,1.63616594178655,29.4395440358258,95.8610394897544,15.7877216460355
53,0.941786550685848,32.958338987651,95.5217804315375,14.1933757109401
54,1.26798260287722,31.6586375356222,95.4267878952368,15.3379056540649
55,1.51455336232854,32.1498846519202,96.2308318632108,15.1734693877551
56,0.77785212445634,33.1422173972045,97.3707422988194,15.1746403479425
57,1.51288056206089,33.2456914099606,92.8416338716244,14.4819337571094
58,1.51405152224824,32.4056859818157,92.9027005021034,16.6490465038474
59,1.26848444295751,32.0616772967838,93.4658705387434,17.5075276012044
60,1.26848444295751,32.0616772967838,93.4658705387434,17.5075276012044
61,0.77785212445634,33.7250644592211,96.41742434523,16.7726664436266
62,1.22733355637337,31.5382005699552,97.4182385669697,16.4024757443961
63,0.491134158581465,32.1342787352422,97.2655719907721,17.8325526932084
64,0.531950485112078,31.6040168272493,97.2655719907721,17.4652057544329
65,0.736032117765139,31.2661148052653,94.3716922241824,16.6896955503513
66,0.736032117765139,31.2661148052653,94.3716922241824,16.6896955503513
67,1.10321177651388,30.8552720857647,97.7235717193649,18.4454667112747
68,1.02291736366678,29.5090921427602,97.6285791830642,18.327868852459
69,1.67815322850452,27.9233953046546,97.4182385669697,18.0364670458347
70,1.51221144195383,28.9798480119419,98.1713936762112,18.4862830378053
71,1.96219471395115,30.624236667119,94.8398697245216,16.9702241552359
72,1.96219471395115,30.624236667119,94.8398697245216,16.9702241552359
73,1.1050518568083,29.887365992672,97.1943275885466,17.3026095684175
74,1.84024757443961,29.2129189849369,97.7439272628579,15.5849782535965
75,1.84024757443961,29.2129189849369,97.7439272628579,15.5849782535965
76,1.83991301438608,29.14574569141,97.2655719907721,18.6930411508866
77,1.43074606891937,27.7574976251866,97.3062830777582,17.180662428906
78,2.29073268651723,28.6141267471841,98.3512009770661,17.9555035128806
79,2.4130143860823,27.8643642285249,97.4826977880309,17.5451656072265
80,2.77969220475075,29.3309811371964,97.9542678789524,18.1164268986283
81,2.4548343927735,28.3539150495318,97.26217940019,18.0361324857812
82,2.94479759116761,26.5578775953318,97.927127154295,18.2810304449649
83,2.65807962529274,25.8216854390012,97.4385941104627,19.3889260622282
84,2.57828705252593,28.0265300583526,97.6523273171394,19.3467714954834
85,2.74021411843426,24.4904328945583,98.4835120097707,18.6507193041151
86,3.02626296420207,26.1894422581083,97.4826977880309,19.7972566075611
87,3.88524590163934,24.6960238838377,98.449586103949,18.7730010036802
88,3.55871528939445,24.3004478219568,97.8965938390555,18.3640013382402
89,4.66309802609568,22.9983715565206,98.5004749626815,20.1649381063901
90,3.96804951488792,25.3497760890216,98.0831863210748,18.770993643359
91,4.13114754098361,23.7803636857104,98.1713936762112,19.2643024422884
92,3.47724991635999,24.3923870267336,98.168001085629,18.9769153563065
93,3.27216460354634,24.2498982222825,98.2121047631972,17.1368350618936
94,3.27216460354634,24.2498982222825,98.2121047631972,17.1368350618936
95,3.96604215456675,23.6646763468585,98.1103270457321,19.6316493810639
96,3.88708598193376,23.7572940697517,98.4665490568598,19.5503512880562
97,3.96704583472733,24.127086443208,98.3376306147374,20.2020742723319
98,5.56339913014386,22.4100963495725,98.408875016963,20.4479759116761
99,4.41820006691201,23.0282263536436,98.1171122268965,21.4707259953162
100,4.41820006691201,23.0282263536436,98.1171122268965,21.4707259953162
