Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00036.trk
Object,0
Samples,161
treatment,1,
cage,30,
mark,1,
id,50,
trial,4,
date,2009-07-26 11:50:52.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,71.96,186.51,464.00,628.00,n ext,76.56,-
2,0.20,71.24,182.28,412.00,324.00,n ext,72.26,4.29
3,0.40,71.24,182.28,364.00,136.00,n ext,72.26,0.00
4,0.60,62.97,185.26,312.00,372.00,n ext,74.19,8.79
5,0.80,53.97,185.56,424.00,384.00,n ext,74.43,9.00
6,1.00,49.65,184.42,584.00,400.00,n ext,73.55,4.47
7,1.20,48.13,181.93,616.00,360.00,north,71.23,2.92
8,1.40,47.55,179.98,640.00,264.00,north,69.36,2.03
9,1.60,45.66,178.60,636.00,332.00,north,68.26,2.35
10,1.80,46.76,176.17,660.00,328.00,north,65.69,2.67
11,2.00,47.87,173.76,712.00,340.00,north,63.16,2.65
12,2.20,46.39,172.43,736.00,416.00,north,62.05,1.99
13,2.40,45.09,171.12,788.00,412.00,north,60.98,1.84
14,2.60,44.33,170.25,756.00,432.00,north,60.28,1.16
15,2.80,42.78,170.39,544.00,516.00,north,60.74,1.55
16,3.00,43.31,168.95,508.00,412.00,north,59.22,1.54
17,3.20,45.81,165.96,556.00,280.00,north,55.78,3.90
18,3.40,50.71,162.48,736.00,332.00,north,51.61,6.01
19,3.60,56.11,158.34,808.00,392.00,north,47.14,6.81
20,3.80,63.75,154.31,880.00,504.00,north,43.45,8.63
21,4.00,73.10,149.09,944.00,680.00,north,40.52,10.71
22,4.20,82.75,144.74,968.00,776.00,north,40.96,10.58
23,4.40,92.88,140.82,932.00,812.00,north,44.14,10.87
24,4.60,101.19,138.03,1028.00,792.00,north,48.47,8.77
25,4.80,108.81,135.47,1012.00,824.00,north,53.17,8.03
26,5.00,117.26,133.53,1056.00,972.00,north,59.48,8.68
27,5.20,124.14,132.57,1008.00,936.00,north,65.27,6.95
28,5.40,131.49,133.06,1000.00,928.00,north,72.22,7.36
29,5.60,138.76,134.64,1004.00,836.00,east,79.57,7.44
30,5.80,143.17,136.08,948.00,624.00,east,84.20,4.64
31,6.00,148.68,136.91,916.00,776.00,east,89.65,5.57
32,6.20,153.07,135.98,956.00,800.00,east,93.48,4.49
33,6.40,156.69,133.96,860.00,680.00,east,96.31,4.15
34,6.60,159.24,128.30,968.00,644.00,east,97.16,6.21
35,6.80,162.95,120.62,852.00,756.00,east,99.18,8.52
36,7.00,165.83,112.12,848.00,668.00,east,100.90,8.98
37,7.20,170.36,101.04,816.00,712.00,east,104.96,11.97
38,7.40,176.03,88.16,776.00,608.00,east,111.35,14.07
39,7.60,180.49,77.23,712.00,472.00,e ext,117.41,11.81
40,7.80,185.22,67.29,648.00,480.00,e ext,124.29,11.01
41,8.00,187.11,63.12,592.00,336.00,e ext,127.26,4.58
42,8.20,188.52,60.89,564.00,356.00,e ext,129.27,2.64
43,8.40,187.82,66.94,448.00,548.00,e ext,126.90,6.08
44,8.60,186.44,73.09,544.00,288.00,e ext,124.08,6.31
45,8.80,184.88,81.18,628.00,324.00,e ext,121.04,8.24
46,9.00,181.43,92.74,660.00,448.00,e ext,116.34,12.06
47,9.20,178.49,107.18,720.00,564.00,e ext,113.19,14.74
48,9.40,176.80,122.27,748.00,588.00,east,113.12,15.18
49,9.60,175.58,135.52,812.00,712.00,east,114.83,13.31
50,9.80,176.81,149.69,892.00,696.00,east,120.49,14.22
51,10.00,180.04,165.97,808.00,860.00,east,130.14,16.60
52,10.20,183.07,176.42,828.00,772.00,east,137.86,10.89
53,10.40,186.50,185.74,784.00,788.00,east,145.71,9.93
54,10.60,190.06,193.58,764.00,828.00,east,153.04,8.60
55,10.80,192.81,199.00,820.00,824.00,n ext,158.42,6.08
56,11.00,194.92,202.90,884.00,744.00,n ext,162.42,4.44
57,11.20,195.83,205.98,756.00,800.00,n ext,164.97,3.22
58,11.40,196.72,209.20,784.00,700.00,n ext,167.59,3.33
59,11.60,194.01,210.09,744.00,664.00,n ext,165.98,2.85
60,11.80,187.96,208.45,712.00,488.00,n ext,160.20,6.27
61,12.00,177.85,204.33,704.00,584.00,n ext,149.76,10.91
62,12.20,170.32,201.12,576.00,464.00,n ext,141.94,8.18
63,12.40,162.31,197.42,620.00,476.00,n ext,133.47,8.83
64,12.60,150.47,192.59,600.00,540.00,n ext,121.50,12.78
65,12.80,138.85,188.63,708.00,436.00,n ext,110.46,12.28
66,13.00,123.64,183.00,756.00,512.00,n ext,96.12,16.21
67,13.20,107.65,178.60,768.00,636.00,n ext,82.97,16.59
68,13.40,91.04,175.88,808.00,752.00,north,72.18,16.83
69,13.60,76.67,175.78,788.00,644.00,north,67.12,14.37
70,13.80,60.49,176.95,820.00,760.00,north,65.76,16.23
71,14.00,45.42,180.05,792.00,796.00,north,69.73,15.38
72,14.20,32.78,184.15,748.00,692.00,north,76.67,13.29
73,14.40,22.07,188.28,800.00,756.00,north,84.28,11.48
74,14.60,13.52,191.95,756.00,692.00,north,91.20,9.30
75,14.80,7.16,195.43,716.00,592.00,north,97.25,7.25
76,15.00,4.08,195.65,712.00,668.00,n ext,98.99,3.09
77,15.20,2.61,194.90,712.00,552.00,n ext,99.11,1.65
78,15.40,3.94,190.39,672.00,624.00,w ext,94.58,4.70
79,15.60,8.34,181.68,636.00,668.00,west,84.87,9.77
80,15.80,13.07,171.48,680.00,604.00,west,73.76,11.24
81,16.00,19.55,158.04,684.00,596.00,west,59.05,14.92
82,16.20,26.16,142.65,760.00,604.00,west,42.91,16.75
83,16.40,30.97,127.54,844.00,692.00,west,29.14,15.86
84,16.60,34.00,112.67,848.00,748.00,west,19.39,15.18
85,16.80,35.38,96.54,876.00,748.00,west,16.90,16.18
86,17.00,35.45,81.08,820.00,768.00,west,22.72,15.46
87,17.20,32.92,66.82,852.00,712.00,west,34.38,14.48
88,17.40,29.19,52.07,872.00,788.00,west,48.61,15.22
89,17.60,25.18,39.94,800.00,760.00,west,61.11,12.78
90,17.80,21.63,30.66,828.00,628.00,west,70.94,9.94
91,18.00,20.33,25.43,852.00,616.00,west,76.14,5.39
92,18.20,18.84,20.86,752.00,652.00,west,80.87,4.80
93,18.40,20.29,19.26,772.00,684.00,south,81.63,2.16
94,18.60,22.56,18.92,788.00,712.00,south,80.95,2.30
95,18.80,25.43,18.63,764.00,664.00,south,80.05,2.88
96,19.00,32.62,20.99,756.00,656.00,south,75.29,7.57
97,19.20,40.41,23.52,860.00,624.00,south,70.71,8.19
98,19.40,51.37,25.74,812.00,696.00,south,66.79,11.18
99,19.60,63.91,28.21,752.00,652.00,south,64.52,12.79
100,19.80,78.60,30.22,840.00,728.00,south,65.46,14.82
101,20.00,92.04,30.13,864.00,656.00,south,70.58,13.44
102,20.20,107.27,28.30,860.00,708.00,south,79.99,15.34
103,20.40,120.94,25.67,864.00,724.00,south,90.43,13.92
104,20.60,136.70,19.93,796.00,716.00,south,105.39,16.77
105,20.80,149.89,15.04,776.00,652.00,south,118.34,14.07
106,21.00,160.58,10.75,680.00,608.00,south,129.21,11.51
107,21.20,167.59,9.00,728.00,584.00,south,135.74,7.22
108,21.40,171.67,9.11,760.00,600.00,south,138.82,4.09
109,21.60,173.41,12.37,748.00,660.00,south,138.17,3.69
110,21.80,173.25,16.24,792.00,556.00,south,135.71,3.88
111,22.00,173.88,19.59,840.00,664.00,south,134.27,3.41
112,22.20,172.49,26.95,788.00,788.00,south,129.02,7.49
113,22.40,170.16,34.26,804.00,592.00,east,123.21,7.67
114,22.60,166.84,45.81,832.00,732.00,east,114.76,12.02
115,22.80,165.07,56.71,836.00,756.00,east,108.67,11.04
116,23.00,161.81,71.81,872.00,756.00,east,100.53,15.45
117,23.20,160.55,85.79,848.00,744.00,east,96.29,14.04
118,23.40,159.94,101.40,856.00,776.00,east,94.53,15.62
119,23.60,161.20,117.07,820.00,740.00,east,96.92,15.72
120,23.80,163.78,133.61,812.00,808.00,east,102.96,16.74
121,24.00,166.82,146.57,796.00,648.00,east,110.04,13.31
122,24.20,170.73,159.46,844.00,752.00,east,118.90,13.48
123,24.40,176.00,171.65,784.00,708.00,east,129.35,13.28
124,24.60,181.28,182.06,796.00,732.00,east,139.32,11.67
125,24.80,185.25,189.40,840.00,724.00,north,146.71,8.35
