Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00094.trk,,,,,,,
Object,0,,,,,,,
Samples,41,,,,,,,
treatment,4,,,,,,,
cage,44,,,,,,,
mark,2,,,,,,,
id,84,,,,,,,
trial,2,,,,,,,
date,11:42.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,95.36,15.2,672,492,s ext,85.5,-
2,0.2,89.9,15.99,820,444,s ext,82.66,5.52
3,0.4,79.26,17.86,720,588,s ext,77.48,10.81
4,0.6,69.32,19.74,760,536,s ext,73.56,10.11
5,0.8,62.96,19.9,768,384,south,72.69,6.37
6,1,58.78,21.12,800,336,south,71.23,4.35
7,1.2,54.89,22.12,740,500,south,70.22,4.02
8,1.4,51.27,22.93,768,380,south,69.61,3.71
9,1.6,47.9,23.55,824,400,south,69.34,3.42
10,1.8,45.79,23.87,788,364,south,69.32,2.13
11,2,41.34,23.45,832,332,south,70.57,4.47
12,2.2,40.96,24.39,732,388,south,69.73,1.02
13,2.4,38.93,25.41,688,412,south,69.24,2.27
14,2.6,41,29.78,676,452,south,64.48,4.84
15,2.8,43.07,34.11,716,448,south,59.78,4.8
16,3,43.93,37.64,760,548,south,56.15,3.63
17,3.2,45.96,42,840,448,south,51.46,4.8
18,3.4,47.95,45.41,792,392,south,47.72,3.96
19,3.6,49.29,48.95,872,384,south,44,3.78
20,3.8,51.49,53.23,908,404,south,39.44,4.81
21,4,52.59,56.86,904,452,west,35.7,3.79
22,4.2,54.09,60.31,928,368,west,32.12,3.76
23,4.4,54.6,63.18,916,460,west,29.22,2.92
24,4.6,55.54,65.8,916,400,west,26.55,2.79
25,4.8,55.31,67.01,996,424,west,25.35,1.23
26,5,55.85,70.95,836,696,west,21.39,3.98
27,5.2,57.53,75.03,824,444,west,17.31,4.41
28,5.4,59.16,79.94,936,440,west,12.57,5.17
29,5.6,61.98,86.32,900,492,west,7.01,6.98
30,5.8,63.58,90.38,964,408,platform larger,4.14,4.36
31,6,64.27,94.94,904,532,platform larger,1.45,4.61
32,6.2,62.08,97.88,980,716,platform,0,3.67
33,6.4,59.61,102.04,944,580,platform,0,4.84
34,6.6,57.99,103.71,956,340,platform,0,2.33
35,6.8,57.31,103.59,888,244,platform,0,0.7
36,7,56.62,103.46,876,108,platform,0,0.7
37,7.2,57.31,103.59,860,272,platform,0,0.7
38,7.4,57.16,104.59,824,156,platform,0,1.01
39,7.6,57,105.59,832,152,platform,0,1.01
40,7.8,57,105.59,836,228,platform,0,0
41,8,57,105.59,816,108,platform,0,0
