Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00075.trk,,,,,,,
Object,0,,,,,,,
Samples,47,,,,,,,
treatment,2,,,,,,,
cage,37,,,,,,,
mark,1,,,,,,,
id,57,,,,,,,
trial,3,,,,,,,
date,18:13.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,85.88,183.75,664,376,n ext,77.45,-
2,0.2,91.43,183.69,616,336,n ext,79.44,5.55
3,0.4,94.83,184.65,680,280,n ext,81.72,3.53
4,0.6,96.41,185.61,576,248,n ext,83.27,1.85
5,0.8,98.32,185.69,628,388,n ext,84.21,1.91
6,1,93.84,187.34,480,452,n ext,83.75,4.78
7,1.2,88.42,186.39,516,292,n ext,80.81,5.5
8,1.4,85.03,185.56,536,292,n ext,78.88,3.48
9,1.6,79.9,184.91,616,304,n ext,76.77,5.18
10,1.8,75.44,183.52,604,276,n ext,74.36,4.67
11,2,72.98,182.06,596,304,n ext,72.39,2.86
12,2.2,71.23,179.75,676,208,n ext,69.79,2.89
13,2.4,69.07,178.42,716,256,north,68.1,2.54
14,2.6,68.24,175.35,772,304,north,64.93,3.19
15,2.8,66.37,174.13,700,288,north,63.45,2.23
16,3,65.24,172.06,812,280,north,61.26,2.35
17,3.2,65.04,170.6,780,256,north,59.79,1.47
18,3.4,63.49,169.49,792,252,north,58.51,1.91
19,3.6,62.04,168.42,732,204,north,57.32,1.81
20,3.8,61.35,167.89,824,236,north,56.75,0.87
21,4,60.05,166.86,784,280,north,55.66,1.66
22,4.2,59.51,164.96,792,304,north,53.75,1.97
23,4.4,59.07,163.09,780,356,north,51.86,1.93
24,4.6,58.72,161.22,848,284,north,49.99,1.9
25,4.8,56.92,159.29,848,456,north,48.07,2.64
26,5,56.06,156.47,872,488,north,45.27,2.95
27,5.2,54.16,153.53,880,576,north,42.41,3.5
28,5.4,54.43,149.6,924,508,north,38.48,3.94
29,5.6,52.43,147.22,928,580,north,36.26,3.11
30,5.8,52.24,143.83,936,496,west,32.91,3.4
31,6,51.44,141.21,888,456,west,30.43,2.74
32,6.2,51.2,137.32,812,452,west,26.65,3.89
33,6.4,51.32,132.06,852,520,west,21.47,5.27
34,6.6,51.88,126.24,876,488,west,15.7,5.85
35,6.8,53.1,118.98,840,556,west,8.43,7.36
36,7,53.2,113.7,816,408,platform larger,3.46,5.28
37,7.2,52.55,110.41,768,432,platform larger,1.61,3.35
38,7.4,53.37,106.11,724,412,platform,0,4.38
39,7.6,54.67,102.02,744,316,platform,0,4.29
40,7.8,55.37,102.17,756,188,platform,0,0.71
41,8,55.93,103.33,736,228,platform,0,1.29
42,8.2,55.23,103.2,768,216,platform,0,0.71
43,8.4,54.54,103.06,780,180,platform,0,0.71
44,8.6,53.97,101.87,840,116,platform,0,1.32
45,8.8,53.97,101.87,816,136,platform,0,0
46,9,53.97,101.87,756,124,platform,0,0
47,9.2,53.97,101.87,768,124,platform,0,0
