Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0002\data\track_00096.trk,,,,,,,
Object,0,,,,,,,
Samples,34,,,,,,,
treatment,4,,,,,,,
cage,44,,,,,,,
mark,2,,,,,,,
id,84,,,,,,,
trial,4,,,,,,,
date,23:07.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,202.25,209.35,232,220,n ext,172.14,-
2,0.2,195.83,202.91,292,212,n ext,163.17,9.09
3,0.4,190.55,197.81,520,228,n ext,155.9,7.34
4,0.6,178.97,186.43,532,468,north,139.86,16.24
5,0.8,170.97,179.04,600,412,north,129.07,10.89
6,1,160.95,170.42,684,460,north,115.94,13.22
7,1.2,151.59,162.87,732,520,north,103.97,12.03
8,1.4,142.17,154.83,888,588,north,91.7,12.39
9,1.6,131.9,147.53,844,668,north,79.13,12.6
10,1.8,122.58,141.59,904,748,north,68.07,11.06
11,2,114.1,136.83,948,804,north,58.36,9.72
12,2.2,106.26,134.31,964,832,north,50.41,8.24
13,2.4,98.77,132.64,948,720,north,43.33,7.67
14,2.6,91.38,132.34,964,720,north,37.25,7.39
15,2.8,86.26,131.27,928,668,north,32.7,5.23
16,3,82.74,129.02,972,764,north,28.62,4.18
17,3.2,79.64,124.82,964,824,north,23.47,5.22
18,3.4,77.16,121.08,976,700,west,19.12,4.49
19,3.6,74.73,117.08,1056,768,west,14.74,4.68
20,3.8,71.99,113.48,900,700,west,10.4,4.52
21,4,69.38,111.12,904,708,west,6.91,3.52
22,4.2,65.86,109.3,920,728,platform larger,3,3.96
23,4.4,62.35,110,868,476,platform larger,0.94,3.58
24,4.6,58.54,111.75,816,580,platform larger,0.76,4.19
25,4.8,56.46,108.61,700,548,platform,0,3.77
26,5,56.15,106.5,812,272,platform,0,2.13
27,5.2,55.78,104.35,868,264,platform,0,2.18
28,5.4,56.75,102.46,868,336,platform,0,2.13
29,5.6,56.18,101.3,840,244,platform,0,1.29
30,5.8,56.18,101.3,776,192,platform,0,0
31,6,55.59,100.12,824,208,platform,0,1.32
32,6.2,55.59,100.12,820,76,platform,0,0
33,6.4,55.59,100.12,816,100,platform,0,0
34,6.6,54.89,99.95,788,124,platform,0,0.72
