Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00017.trk,,,,,,,
Object,0,,,,,,,
Samples,446,,,,,,,
id,50,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:29.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00017.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,02:30.9,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,04:00.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,150.42,105.87,468,632,platform reversal,96.87,-
2,0.2,142.96,105.54,448,604,east,89.45,7.46
3,0.4,137.17,106.84,508,556,east,83.59,5.93
4,0.6,132.94,109.64,548,608,east,79.22,5.07
5,0.8,128.8,114.55,528,604,east,75.06,6.43
6,1,127.64,121.11,596,588,east,74.24,6.66
7,1.2,127.95,127.12,664,572,east,75.36,6.02
8,1.4,129.86,134.25,612,588,east,78.7,7.38
9,1.6,133.32,140.35,592,564,north,83.65,7.02
10,1.8,137.59,145.31,540,460,north,89.25,6.54
11,2,143.62,151.03,476,528,north,96.89,8.31
12,2.2,148.86,155.16,416,444,east,103.29,6.67
13,2.4,154.02,157.72,404,452,east,109.04,5.76
14,2.6,159.89,158.87,356,376,east,114.91,5.98
15,2.8,163.23,159.15,364,328,east,118.12,3.35
16,3,168.21,159.1,332,312,east,122.75,4.98
17,3.2,171.89,155.66,368,404,east,125.06,5.03
18,3.4,172.61,149.18,396,372,east,123.84,6.52
19,3.6,172.34,141.43,464,396,east,121.72,7.76
20,3.8,169.94,129.46,492,548,east,117.23,12.21
21,4,167.07,118.69,472,564,east,113.42,11.14
22,4.2,162.76,107.32,500,556,east,109.11,12.16
