Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00010.trk,,,,,,,
Object,0,,,,,,,
Samples,170,,,,,,,
id,43,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:34.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00010.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,47:21.5,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,47:55.5,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,86.46,10.24,220,364,s ext,103.04,-
2,0.2,85.69,10.09,268,232,s ext,102.91,0.78
3,0.4,86.42,9.29,304,220,s ext,103.91,1.08
4,0.6,86.42,9.29,368,112,s ext,103.91,0
5,0.8,86.46,10.24,316,100,s ext,103.04,0.95
6,1,86.49,11.19,284,104,s ext,102.17,0.95
7,1.2,86.53,12.13,284,208,s ext,101.31,0.94
8,1.4,83.45,11.48,180,360,s ext,100.83,3.15
9,1.6,85.06,13.69,268,320,s ext,99.32,2.74
10,1.8,84.37,15.39,392,252,s ext,97.49,1.84
11,2,83.64,16.15,444,180,s ext,96.51,1.06
12,2.2,83.71,17.99,480,220,s ext,94.82,1.84
13,2.4,83.01,19.66,484,324,s ext,93.02,1.8
14,2.6,83.05,20.57,564,288,s ext,92.18,0.91
15,2.8,82.35,22.21,596,184,south,90.4,1.79
16,3,80.93,24.57,584,244,south,87.68,2.75
17,3.2,80.27,27.06,592,200,south,85.12,2.58
18,3.4,79.57,28.66,608,160,south,83.38,1.74
19,3.6,79.64,30.41,592,312,south,81.78,1.75
20,3.8,79.7,32.15,604,324,south,80.19,1.74
21,4,79.76,33.87,648,164,south,78.62,1.72
22,4.2,79.82,35.58,624,216,south,77.07,1.71
