Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00013.trk,,,,,,,
Object,0,,,,,,,
Samples,93,,,,,,,
id,52,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:18.600,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00013.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,54:02.3,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,54:20.9,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,180.29,132.58,448,220,e ext,127.91,-
2,0.2,179.28,131.36,528,208,east,126.74,1.58
3,0.4,176.43,128.8,484,292,east,123.58,3.83
4,0.6,176.43,128.8,540,456,east,123.58,0
5,0.8,174.61,127.48,532,336,east,121.62,2.26
6,1,173.05,128.15,584,268,east,120.15,1.7
7,1.2,170.66,128.65,576,312,east,117.83,2.44
8,1.4,169.11,129.29,580,516,east,116.38,1.68
9,1.6,168.4,130.08,636,216,east,115.78,1.07
10,1.8,167.32,134.51,640,340,east,115.43,4.55
11,2,166.13,137.93,592,288,east,114.92,3.62
12,2.2,165.65,140.57,532,308,east,115,2.69
13,2.4,165.18,143.21,508,368,east,115.14,2.68
14,2.6,164.46,143.92,604,304,east,114.61,1.02
15,2.8,164.11,147.49,496,500,east,115.2,3.58
16,3,162.18,151.46,416,536,east,114.52,4.41
17,3.2,159.75,151.58,464,368,east,112.25,2.44
18,3.4,156.71,153.29,560,304,east,109.95,3.48
19,3.6,153.57,154.05,572,356,east,107.26,3.24
20,3.8,149.7,155.42,536,388,east,104.17,4.11
21,4,145,156.51,600,408,north,100.28,4.82
22,4.2,141.97,158.12,620,364,north,98.2,3.43
23,4.4,138.03,158.6,616,332,north,94.87,3.97
