Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00052.trk,,,,,,,
Object,0,,,,,,,
Samples,75,,,,,,,
id,67,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:15.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00052.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,48:38.4,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,48:53.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,148.9,31.66,364,180,e ext,123.56,-
2,0.2,146.19,31.9,376,212,e ext,121.29,2.73
3,0.4,143.48,32.1,424,240,s ext,119.07,2.71
4,0.6,140.11,32.48,456,272,south,116.24,3.4
5,0.8,137.4,33.42,464,344,south,113.58,2.86
6,1,133.33,35.55,472,312,south,109.13,4.59
7,1.2,129.93,38.15,516,316,south,104.86,4.28
8,1.4,126.52,40.59,544,340,south,100.7,4.19
9,1.6,122.43,43.8,508,452,south,95.5,5.21
10,1.8,119.68,47.41,564,400,south,91.04,4.53
11,2,117.61,50.81,572,368,south,87.24,3.97
12,2.2,114.86,54.93,632,452,south,82.47,4.96
13,2.4,112.78,61.12,620,508,south,76.95,6.53
14,2.6,111.39,65.63,624,444,south,73.15,4.72
15,2.8,110.69,70.75,660,468,south,69.69,5.17
16,3,109.99,75.78,620,472,south,66.37,5.08
17,3.2,108.6,80.05,668,544,south,63.02,4.48
18,3.4,106.52,83.55,704,460,south,59.55,4.08
19,3.6,104.45,86.32,708,420,south,56.46,3.46
20,3.8,103.05,88.37,676,376,south,54.34,2.48
21,4,100.97,89.71,680,500,south,51.89,2.48
22,4.2,98.19,90.33,684,452,south,49.1,2.85
23,4.4,96.1,90.28,700,272,south,47.22,2.09
24,4.6,93.31,89.51,732,336,south,45.07,2.89
25,4.8,91.91,90.15,680,356,south,43.54,1.54
26,5,90.51,89.41,700,420,south,42.67,1.58
27,5.2,88.4,90.71,704,380,south,40.19,2.48
28,5.4,86.26,93.38,704,328,west,37.04,3.42
29,5.6,83.41,96.72,708,468,west,33,4.4
30,5.8,81.22,101.48,728,508,west,29.23,5.24
31,6,79.73,106.96,688,472,west,26.52,5.69
32,6.2,78.93,111.79,708,468,west,25.17,4.89
33,6.4,77.41,116.65,700,464,west,23.82,5.1
34,6.6,75.85,122.27,660,576,west,23.41,5.83
35,6.8,73.54,128.02,628,544,west,23.59,6.19
36,7,71.95,133.12,584,420,west,25.05,5.35
37,7.2,70.31,139.06,600,472,west,27.81,6.16
38,7.4,68.64,145.14,564,420,north,31.5,6.3
39,7.6,66.94,151.38,596,432,north,35.73,6.47
40,7.8,64.45,157.93,580,488,north,40.53,7
41,8,61.93,164.72,536,524,north,46.13,7.25
42,8.2,58.59,171.97,472,504,north,52.24,7.98
43,8.4,54.46,178.95,440,424,n ext,58.42,8.1
44,8.6,51.04,186.06,340,388,n ext,65.14,7.9
45,8.8,48.51,190.49,340,232,n ext,69.39,5.11
46,9,47.67,191.7,228,160,n ext,70.57,1.47
47,9.2,48.51,190.49,172,152,n ext,69.39,1.47
48,9.4,50.22,187.22,108,176,n ext,66.23,3.69
49,9.6,-,-,-,-,-,-,-
50,9.8,46.51,185.96,196,-,n ext,64.8,-
51,10,45.91,183.57,268,208,n ext,62.4,2.46
52,10.2,45.41,179.43,348,264,n ext,58.26,4.17
53,10.4,43.58,172.41,388,368,w ext,51.27,7.25
54,10.6,42.45,166.06,428,400,west,44.97,6.46
55,10.8,42.05,159.5,444,392,west,38.46,6.57
56,11,41.66,152.16,464,444,west,31.2,7.35
57,11.2,42.75,144.51,480,480,west,23.47,7.73
58,11.4,44.54,136.85,468,404,west,15.69,7.86
59,11.6,45.48,131.09,484,376,west,9.92,5.83
60,11.8,47.88,126.01,468,360,west,5.07,5.62
61,12,49.44,123.48,372,296,west,3.1,2.97
62,12.2,50.91,124.87,324,272,west,4.8,2.02
63,12.4,50.93,124.09,324,112,west,4.1,0.77
64,12.6,50.2,123.4,336,92,west,3.18,1.01
65,12.8,49.46,122.7,364,124,west,2.32,1.01
66,13,48.03,118.94,428,320,platform,0,4.03
67,13.2,45.79,115.97,596,384,platform,0,3.72
68,13.4,45.8,115.17,596,128,platform,0,0.8
69,13.6,45.82,113.58,576,172,platform,0,1.59
70,13.8,45.06,112.83,552,160,platform,0,1.07
71,14,44.3,112.07,576,160,platform,0,1.08
72,14.2,44.3,112.07,520,192,platform,0,0
73,14.4,45.06,112.03,492,220,platform,0,0.77
74,14.6,45.83,111.99,520,108,platform,0,0.77
75,14.8,45.84,111.19,528,88,platform,0,0.8
