Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00007.trk,,,,,,,
Object,0,,,,,,,
Samples,450,,,,,,,
id,53,,,,,,,
trial,3,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00007.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,36:42.0,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,38:12.0,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,102.29,191.69,256,192,n ext,88.93,-
2,0.2,102.19,188.98,316,212,n ext,86.71,2.71
3,0.4,102.09,186.31,312,196,north,84.53,2.68
4,0.6,102.82,183.79,336,224,north,82.97,2.62
5,0.8,102.73,181.17,372,244,north,80.88,2.61
6,1,102.64,178.59,404,200,north,78.84,2.58
7,1.2,102.56,176.04,448,204,north,76.87,2.55
8,1.4,103.3,174.47,472,176,north,76.2,1.74
9,1.6,103.17,170.31,504,280,north,73.12,4.16
10,1.8,103.86,167.15,516,268,north,71.42,3.24
11,2,104.52,163.22,536,316,north,69.3,3.98
12,2.2,105.95,159.46,560,392,north,68.05,4.03
13,2.4,108.15,155.86,560,408,north,67.75,4.21
14,2.6,111.15,153.98,520,392,north,69.25,3.54
15,2.8,115.64,151.64,592,576,north,71.85,5.07
16,3,120.9,149.52,608,544,north,75.49,5.67
17,3.2,126.32,149.86,556,516,north,80.51,5.42
18,3.4,131.85,151.16,560,516,north,86.08,5.68
19,3.6,136.81,154.09,564,460,north,91.81,5.76
20,3.8,141.97,158.12,548,456,north,98.2,6.55
21,4,147.39,163.35,572,408,north,105.36,7.53
22,4.2,153.25,170.86,508,448,north,114.05,9.53
