Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00054.trk,,,,,,,
Object,0,,,,,,,
Samples,193,,,,,,,
id,76,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:38.600,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00054.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,52:50.1,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,53:28.7,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,85.65,9.14,300,192,s ext,103.79,-
2,0.2,83.98,5.91,164,224,s ext,106.26,3.63
3,0.4,82.46,6.51,260,200,s ext,105.2,1.63
4,0.6,79.46,8.61,372,392,s ext,102.29,3.66
5,0.8,77.98,10.11,472,300,s ext,100.43,2.11
6,1,74.91,11.12,460,324,s ext,98.62,3.23
7,1.2,71.77,11.09,488,276,s ext,97.87,3.14
8,1.4,69.4,11.26,472,240,s ext,97.19,2.37
9,1.6,67.09,12.36,456,288,s ext,95.65,2.56
10,1.8,64.08,15.08,440,336,s ext,92.43,4.05
11,2,61.82,17.07,484,260,s ext,90.07,3.02
12,2.2,59.55,19.04,452,368,s ext,87.79,3.01
13,2.4,57.28,20.99,492,440,s ext,85.56,3
14,2.6,54.85,21,476,368,s ext,85.31,2.43
15,2.8,52.41,20.98,464,236,s ext,85.15,2.44
16,3,50.95,23.23,432,368,s ext,82.83,2.68
17,3.2,51.25,27.08,440,312,south,79,3.86
18,3.4,51.54,30.87,448,200,south,75.22,3.81
19,3.6,51.74,33.68,528,296,south,72.43,2.82
20,3.8,52.06,38.3,536,408,south,67.85,4.62
21,4,50.66,41.41,560,400,south,64.66,3.41
22,4.2,49.38,46.32,588,468,south,59.7,5.08
