Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00037.trk,,,,,,,
Object,0,,,,,,,
Samples,40,,,,,,,
id,83,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:08.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00037.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,15:35.3,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,15:43.3,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,173.51,155.27,380,372,east,126.47,-
2,0.2,169.83,153.05,492,264,east,122.29,4.3
3,0.4,166.08,149.94,548,312,east,117.78,4.87
4,0.6,162.53,147.92,528,292,east,113.81,4.08
5,0.8,159.04,145.99,576,328,east,109.91,3.99
6,1,155.7,145.04,696,376,east,106.44,3.47
7,1.2,150.77,143.7,660,516,east,101.33,5.12
8,1.4,144.47,143.74,700,560,east,95.3,6.3
9,1.6,138.23,143.85,724,632,east,89.39,6.23
10,1.8,132.13,144.84,668,592,north,83.95,6.19
11,2,126.88,146.84,720,636,north,79.8,5.61
12,2.2,121.68,149.67,728,560,north,76.25,5.92
13,2.4,116.5,153.34,700,588,north,73.45,6.35
14,2.6,111.21,155.55,720,532,north,70.15,5.73
15,2.8,106.7,158.78,724,484,north,68.24,5.54
16,3,102.13,160.56,708,496,north,65.75,4.91
17,3.2,97.53,161.7,744,596,north,63.08,4.73
18,3.4,91.41,161.36,688,504,north,58.5,6.14
19,3.6,86.08,161.31,712,480,north,54.96,5.32
20,3.8,79.31,160.01,680,616,north,49.79,6.9
21,4,72.62,158.29,704,584,north,44.58,6.91
22,4.2,66.73,156.77,688,560,north,40.4,6.08
23,4.4,62.31,155.98,644,452,north,37.94,4.48
24,4.6,58.01,152.93,636,648,west,33.72,5.27
25,4.8,56.02,147.9,668,488,west,28.32,5.41
26,5,54.79,141.96,680,484,west,22.29,6.06
27,5.2,52.79,136.15,664,504,west,16.16,6.14
28,5.4,51.51,130.19,664,464,west,10.07,6.1
29,5.6,49.39,125.82,712,456,west,5.3,4.85
30,5.8,47.95,122.87,716,348,west,2.02,3.29
31,6,46.51,119.08,676,480,platform,0,4.05
32,6.2,46.53,117.49,700,240,platform,0,1.58
33,6.4,47.29,117.43,632,244,platform,0,0.76
34,6.6,47.3,116.64,676,244,platform,0,0.79
35,6.8,48.05,117.37,656,316,platform,0,1.04
36,7,48.82,116.53,704,176,platform,0,1.14
37,7.2,49.58,116.48,736,104,platform,0,0.76
38,7.4,49.58,116.48,684,124,platform,0,0
39,7.6,49.58,116.48,688,116,platform,0,0
40,7.8,50.34,115.65,756,124,platform,0,1.13
