Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00057.trk,,,,,,,
Object,0,,,,,,,
Samples,267,,,,,,,
id,65,,,,,,,
trial,1,,,,,,,
date,14:23.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:53.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00057.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,16:02.4,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,16:55.8,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,-,-,-,-,-,-,-
2,0.2,-,-,-,-,-,-,-
3,0.4,102.58,199.1,220,-,n ext,-,95.13
4,0.6,98.26,194.77,324,304,n ext,6.11,89.14
5,0.8,94.05,189.84,380,352,n ext,6.49,82.69
6,1,89.15,184.31,404,360,north,7.39,75.4
7,1.2,85.19,177.47,460,424,north,7.9,67.5
8,1.4,81.38,170.99,524,448,north,7.51,59.99
9,1.6,78.45,164.76,536,468,north,6.88,53.17
10,1.8,77.82,159.34,512,464,north,5.46,48.36
11,2,77.93,154.73,552,496,north,4.61,44.77
12,2.2,80.29,149.33,588,524,north,5.89,42.12
13,2.4,83.33,144.78,604,536,north,5.47,41.21
14,2.6,87.8,140.36,620,624,north,6.28,42.25
15,2.8,92.94,137.57,632,556,north,5.86,45.17
16,3,97.33,137.02,620,612,north,4.42,48.82
17,3.2,101,137.95,676,560,north,3.79,52.54
18,3.4,106.22,140.57,700,504,north,5.83,58.37
19,3.6,113.06,144.37,664,564,north,7.82,66.18
20,3.8,120.08,148.58,692,572,north,8.19,74.34
21,4,128.19,154.28,684,616,north,9.91,84.14
22,4.2,135.82,160.45,636,584,north,9.81,93.77
23,4.4,142.84,166.11,628,504,north,9.02,102.65
24,4.6,151.88,173.03,544,540,north,11.38,113.93
25,4.8,159.39,178.96,484,452,north,9.57,123.41
26,5,166.1,183.94,464,380,n ext,8.36,131.73
27,5.2,170.94,187.28,456,296,n ext,5.88,137.6
28,5.4,175.89,190.79,456,280,n ext,6.06,143.65
29,5.6,180.94,194.48,368,328,e ext,6.25,149.88
30,5.8,183.25,192.63,444,452,e ext,2.96,150.9
31,6,183.39,188.56,368,388,e ext,4.07,149
32,6.2,184.3,183.86,392,288,e ext,4.79,147.56
33,6.4,184.04,177.55,468,292,e ext,6.31,144.54
34,6.6,184.57,170.59,508,384,e ext,6.98,142.19
35,6.8,184.93,162.5,504,388,e ext,8.09,139.61
36,7,185.14,153.31,528,416,e ext,9.2,137.02
37,7.2,185.74,146.26,536,408,e ext,7.07,135.84
38,7.4,185.14,136.76,516,428,e ext,9.51,133.36
39,7.6,185.49,127.47,532,424,e ext,9.3,132.44
40,7.8,185.04,117.98,520,412,e ext,9.5,131.35
41,8,184.8,109.55,528,392,e ext,8.44,131.06
42,8.2,183.79,101.08,548,468,e ext,8.53,130.51
43,8.4,181.35,93.8,536,436,e ext,7.68,128.92
44,8.6,178.14,85.78,544,424,e ext,8.63,127.14
45,8.8,175.11,78.06,592,464,e ext,8.3,125.94
46,9,171.42,69.79,592,480,e ext,9.05,124.82
47,9.2,167.12,60.15,592,560,e ext,10.56,124.35
48,9.4,163.88,52.54,584,544,e ext,8.27,124.74
49,9.6,161.51,44.85,580,460,e ext,8.05,126.46
50,9.8,158.57,38.51,520,412,e ext,6.99,127.41
51,10,156.44,33.82,532,348,e ext,5.15,128.3
52,10.2,154.37,30.1,548,448,e ext,4.26,128.83
53,10.4,150.97,26.12,536,436,e ext,5.23,128.65
54,10.6,146.94,23.39,536,392,s ext,4.87,127.37
55,10.8,140.23,21.75,508,572,s ext,6.9,123.6
56,11,134.88,20.19,552,460,s ext,5.58,120.95
57,11.2,128.12,19.65,560,488,s ext,6.78,116.79
58,11.4,120.59,19.65,576,552,s ext,7.53,112.01
59,11.6,113.64,18.9,572,524,s ext,6.99,108.48
60,11.8,104.4,17.59,588,592,s ext,9.33,104.47
61,12,97.11,16.37,588,536,s ext,7.39,101.89
62,12.2,88.12,14.28,592,556,s ext,9.23,99.92
63,12.4,78.86,12.23,536,552,s ext,9.48,98.66
64,12.6,70.15,10.56,556,556,s ext,8.86,98.03
65,12.8,62.09,9.56,520,564,s ext,8.13,97.54
66,13,54.99,12.49,488,512,s ext,7.67,93.8
67,13.2,47.81,15.23,492,444,s ext,7.69,90.76
68,13.4,41.59,20.28,556,512,s ext,8.01,85.83
69,13.6,36.3,26.74,536,548,s ext,8.36,79.8
70,13.8,30.16,33.97,580,524,w ext,9.48,73.65
71,14,24.77,40.75,560,548,w ext,8.67,68.33
72,14.2,19.5,49.87,564,580,w ext,10.53,61.47
73,14.4,14.98,58.61,580,568,w ext,9.84,55.72
74,14.6,11.45,70.02,548,576,w ext,11.94,48.37
75,14.8,8.66,80.88,556,520,w ext,11.22,42.44
76,15,7.61,93.21,512,540,w ext,12.37,36.36
77,15.2,6.46,106.66,508,524,w ext,13.5,33.06
