Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00069.trk,,,,,,,
Object,0,,,,,,,
Samples,86,,,,,,,
id,78,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:17.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00069.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,27:33.8,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,27:51.0,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,194.19,149.94,260,320,e ext,144.92,-
2,0.2,192.9,152.77,360,356,e ext,144.36,3.11
3,0.4,190.49,154.09,416,296,e ext,142.38,2.75
4,0.6,188.27,156.48,444,292,e ext,140.91,3.26
5,0.8,185.12,158.45,444,280,e ext,138.49,3.72
6,1,183.07,161.78,428,256,e ext,137.62,3.9
7,1.2,180.84,163.94,448,252,e ext,136.27,3.11
8,1.4,179.36,165.35,504,256,e ext,135.39,2.05
9,1.6,178.04,167.81,480,240,e ext,135.1,2.78
10,1.8,176.72,170.23,440,240,e ext,134.84,2.76
11,2,174.31,171.16,460,228,e ext,133.01,2.59
12,2.2,172.23,174.17,492,264,e ext,132.42,3.65
13,2.4,169.81,175.03,464,252,e ext,130.64,2.57
14,2.6,167.39,175.88,448,296,e ext,128.89,2.56
15,2.8,163.16,175.91,464,424,north,125.18,4.23
16,3,158.68,173.99,528,328,north,120.32,4.88
17,3.2,152.25,169.57,500,332,north,112.56,7.8
18,3.4,147.83,167.01,548,336,north,107.45,5.11
19,3.6,143.48,164.6,596,328,north,102.48,4.97
20,3.8,139.11,161.46,608,364,north,97.15,5.38
21,4,133.95,157.42,632,408,north,90.7,6.56
22,4.2,129.72,153.85,644,380,north,85.31,5.53
