Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00050.trk,,,,,,,
Object,0,,,,,,,
Samples,342,,,,,,,
id,67,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:08.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00050.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,44:52.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,46:01.0,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,84.14,9.75,76,104,s ext,102.69,-
2,0.2,79.37,6.67,216,212,s ext,104.11,5.69
3,0.4,77.04,6.98,312,264,s ext,103.17,2.35
4,0.6,74.81,9.19,444,348,s ext,100.45,3.14
5,0.8,71.77,11.09,448,364,s ext,97.87,3.59
6,1,68.09,15.53,444,356,s ext,92.74,5.77
7,1.2,65.96,19.46,464,324,s ext,88.47,4.47
8,1.4,64.81,26.38,480,368,south,81.45,7.02
9,1.6,63.58,32.25,504,456,south,75.47,5.99
10,1.8,63.18,39.11,508,428,south,68.65,6.88
11,2,63.57,46.88,580,456,south,61.16,7.77
12,2.2,63.89,54.41,596,464,south,53.95,7.53
13,2.4,63.42,62.38,608,524,south,46.18,7.99
14,2.6,63.62,69.51,608,560,south,39.52,7.14
15,2.8,64.51,75.82,592,576,west,34.11,6.37
16,3,67.56,81.46,616,544,west,30.84,6.41
17,3.2,71.26,86.93,624,544,west,28.74,6.6
18,3.4,75.59,91.5,660,588,west,28.98,6.3
19,3.6,80.58,95.23,676,576,west,31.15,6.23
20,3.8,86.22,98.18,680,516,west,35.03,6.36
21,4,91.13,100.36,716,540,west,39.04,5.37
22,4.2,96.01,103.2,696,468,west,43.21,5.65
