Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00019.trk,,,,,,,
Object,0,,,,,,,
Samples,159,,,,,,,
id,50,,,,,,,
trial,3,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:31.800,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00019.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,06:34.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,07:06.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,137.25,205,216,220,n ext,121.75,-
2,0.2,136.67,199.94,276,332,n ext,117.79,5.09
3,0.4,134.43,195.26,308,312,n ext,112.96,5.19
4,0.6,133.14,191.04,400,252,n ext,109.16,4.41
5,0.8,131.88,186.93,468,236,north,105.5,4.31
6,1,129.63,180.78,468,336,north,99.84,6.55
7,1.2,128.53,177.79,468,248,north,97.13,3.18
8,1.4,127.39,173.98,364,264,north,93.91,3.99
9,1.6,126.41,171.98,424,236,north,91.94,2.22
10,1.8,124.43,167.22,476,516,north,87.6,5.16
11,2,122.8,166.79,440,452,north,86.01,1.68
12,2.2,122.74,165.95,456,456,north,85.49,0.85
13,2.4,121.87,164.91,540,324,north,84.19,1.35
14,2.6,117.86,163.97,560,492,north,80.34,4.12
15,2.8,114.63,162.49,580,372,north,76.85,3.55
16,3,109.94,162.44,608,396,north,73.03,4.69
17,3.2,104.52,163.22,604,476,north,69.3,5.48
18,3.4,99.13,165,600,476,north,66.52,5.68
19,3.6,95.3,167.9,516,516,north,65.96,4.81
20,3.8,93.76,169.42,484,296,north,66.1,2.16
21,4,91.45,172.57,452,304,north,67.15,3.91
22,4.2,89.89,174.17,428,184,north,67.47,2.23
