Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00060.trk,,,,,,,
Object,0,,,,,,,
Samples,98,,,,,,,
id,65,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:19.600,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00060.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,05:58.3,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,06:17.9,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,-,-,-,-,-,-,-
2,0.2,-,-,-,-,-,-,-
3,0.4,166.45,41.78,92,-,e ext,132.28,-
4,0.6,165.11,45.31,188,168,e ext,129.32,3.77
5,0.8,163.07,49.97,260,280,e ext,125.25,5.08
6,1,161.1,56.32,288,340,east,120.54,6.65
7,1.2,157.65,61.03,312,320,east,115.37,5.84
8,1.4,154.89,64.44,388,308,east,111.43,4.39
9,1.6,150.01,68.15,384,372,east,105.46,6.13
10,1.8,145.83,70.64,456,400,east,100.63,4.87
11,2,140.25,72.38,520,464,east,94.83,5.84
12,2.2,135.38,72.3,544,464,east,90.42,4.87
13,2.4,129.86,72.23,540,476,east,85.48,5.52
14,2.6,123.68,70.64,560,556,east,80.78,6.38
15,2.8,118.22,68.15,616,512,south,77.41,6
16,3,112.76,64.82,588,532,south,74.73,6.39
17,3.2,108.66,61.31,600,532,south,73.62,5.4
18,3.4,104.54,55.39,620,604,south,74.56,7.21
19,3.6,101.05,50.01,624,500,south,76.13,6.41
20,3.8,98.2,43.62,628,500,south,79.38,6.99
21,4,95.27,36.95,572,496,south,83.24,7.28
22,4.2,92.3,32.5,540,400,south,85.45,5.35
23,4.4,89.22,26.1,452,384,south,89.63,7.1
