Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00008.trk,,,,,,,
Object,0,,,,,,,
Samples,441,,,,,,,
id,53,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:28.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00008.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,39:40.4,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,41:08.6,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,-,-,-,-,-,-,-
2,0.2,-,-,-,-,-,-,-
3,0.4,162.66,26.85,112,-,e ext,137.42,-
4,0.6,160.57,27.95,204,180,e ext,135.08,2.36
5,0.8,159.19,28.67,224,204,e ext,133.54,1.56
6,1,157.12,30.66,188,244,e ext,130.7,2.87
7,1.2,155.06,31.65,200,172,e ext,128.45,2.29
8,1.4,153.68,32.29,232,112,e ext,126.97,1.51
9,1.6,150.95,31.68,228,172,e ext,125.16,2.8
10,1.8,148.22,31.95,324,192,e ext,122.84,2.74
11,2,145.51,32.18,396,232,e ext,120.58,2.72
12,2.2,142.13,32.62,336,260,s ext,117.7,3.41
13,2.4,138.74,33.84,312,224,south,114.33,3.6
14,2.6,136.71,35.37,356,260,south,111.78,2.55
15,2.8,134.67,36.85,360,188,south,109.27,2.52
16,3,132.62,39.96,436,236,south,105.69,3.72
17,3.2,129.88,43.95,492,352,south,101.04,4.84
18,3.4,126.47,47.9,520,380,south,95.89,5.22
19,3.6,123.04,53.22,560,456,south,89.91,6.33
20,3.8,118.25,59.18,560,560,south,82.48,7.65
21,4,112.76,65.56,632,648,south,74.3,8.41
22,4.2,107.94,71.54,628,676,south,66.96,7.68
