Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00065.trk,,,,,,,
Object,0,,,,,,,
Samples,450,,,,,,,
id,71,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00065.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,17:24.9,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,18:54.9,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,162.17,163.37,336,356,east,118.75,-
2,0.2,154.49,161.44,424,408,east,110.95,7.92
3,0.4,146.34,161.25,476,572,north,103.49,8.16
4,0.6,139.11,161.46,572,560,north,97.15,7.23
5,0.8,132.7,161.21,584,548,north,91.41,6.42
6,1,126.41,161.95,588,508,north,86.4,6.33
7,1.2,120.8,160.58,532,528,north,80.93,5.78
8,1.4,116.79,158.92,600,436,north,76.66,4.34
9,1.6,111.18,154.76,572,612,north,69.7,6.98
10,1.8,106.39,148,648,660,north,62.04,8.28
11,2,101.02,139.4,680,792,north,53.18,10.14
12,2.2,96.6,130.61,732,764,north,45.71,9.84
13,2.4,92.33,121.47,720,844,north,39.32,10.09
14,2.6,88.17,112.53,728,864,west,34.4,9.87
15,2.8,84.75,102.93,744,856,west,32.23,10.19
16,3,82.72,93.93,780,764,west,33.66,9.23
17,3.2,81.34,86.89,784,732,south,36.34,7.18
18,3.4,81.35,81.22,636,788,south,39.93,5.66
19,3.6,84.2,77.15,648,692,south,44.8,4.97
20,3.8,89.86,74.68,676,684,south,50.64,6.18
21,4,95.47,74.25,712,652,south,55.23,5.63
22,4.2,101.72,76.53,704,736,south,59.02,6.65
23,4.4,106.53,81.46,708,676,south,60.53,6.89
