Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00028.trk,,,,,,,
Object,0,,,,,,,
Samples,79,,,,,,,
id,49,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:15.800,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00028.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,26:59.7,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,27:15.5,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,158.51,30.93,280,328,e ext,131.65,-
2,0.2,156.45,34.75,440,416,e ext,127.76,4.34
3,0.4,153.01,38.11,548,412,e ext,123.02,4.81
4,0.6,150.27,41.92,476,352,east,118.61,4.69
5,0.8,148.23,45.32,556,368,east,115.02,3.97
6,1,146.18,48.61,348,408,east,111.51,3.87
7,1.2,145.51,50.54,416,228,east,109.88,2.04
8,1.4,143.47,54.52,404,260,east,106.03,4.47
9,1.6,142.12,57.37,568,316,east,103.39,3.16
10,1.8,141.46,60.82,564,572,east,101.09,3.52
11,2,141.49,63.27,612,464,east,99.93,2.45
12,2.2,141.55,67.33,624,540,east,98.13,4.06
13,2.4,139.53,70.9,580,692,east,94.77,4.1
14,2.6,136.78,72.89,604,528,east,91.45,3.39
15,2.8,131.93,72.75,676,512,east,87.11,4.85
16,3,127.11,71.03,712,548,east,83.59,5.12
17,3.2,122.31,68.53,720,576,south,80.67,5.4
18,3.4,117.54,65.98,764,556,south,78.03,5.41
19,3.6,112.77,64.09,760,508,south,75.16,5.14
20,3.8,108.66,61.31,776,544,south,73.62,4.96
21,4,103.84,58.41,808,552,south,71.95,5.63
22,4.2,98.25,53.77,748,708,south,71.45,7.26
23,4.4,93.98,49.68,732,528,south,72.01,5.92
24,4.6,90.36,46.2,620,448,south,72.83,5.02
25,4.8,87.42,43.45,664,420,south,73.55,4.03
26,5,83.69,40.46,712,344,south,74.33,4.79
27,5.2,81.38,37.56,724,380,south,75.9,3.7
28,5.4,79.07,35.42,612,304,south,76.92,3.15
29,5.6,76.76,34.07,556,432,south,77.32,2.68
30,5.8,72.92,33.14,588,352,south,76.93,3.95
31,6,70.63,33.41,608,452,south,76,2.3
32,6.2,66.89,35.85,656,424,south,72.66,4.46
33,6.4,65.58,40.64,644,452,south,67.69,4.97
34,6.6,63.49,45.17,672,460,south,62.8,4.99
35,6.8,62.9,49.22,600,440,south,58.73,4.09
36,7,63.15,55.06,664,480,south,53.13,5.84
37,7.2,64.1,60.11,676,412,south,48.55,5.15
38,7.4,64.25,64.91,720,356,south,44.05,4.8
39,7.6,63.62,69.51,724,604,south,39.52,4.64
40,7.8,62.22,73.96,720,444,west,34.87,4.67
41,8,61.55,77.74,680,424,west,31.12,3.83
42,8.2,61.6,80.81,652,644,west,28.35,3.08
43,8.4,62.38,83.18,660,472,west,26.61,2.49
44,8.6,63.15,84.77,668,352,west,25.64,1.76
45,8.8,64.65,86.4,684,360,west,25.12,2.22
46,9,66.13,88,592,564,west,24.63,2.19
47,9.2,66.88,92.46,628,636,west,21.72,4.52
48,9.4,66.13,96.07,684,440,west,18.7,3.69
49,9.6,63.9,101.11,760,532,west,13.93,5.51
50,9.8,61.64,106.95,808,632,west,8.95,6.27
51,10,57.85,113.71,780,684,west,4.09,7.75
52,10.2,53.25,120.8,720,644,west,2.81,8.45
53,10.4,48.59,127.48,684,612,west,6.64,8.15
54,10.6,43.86,134.57,716,624,west,13.47,8.52
55,10.8,40.62,140.92,672,484,west,20.14,7.13
56,11,38.09,147.35,588,460,west,26.9,6.9
57,11.2,37.84,153.29,572,640,west,32.79,5.95
58,11.4,39.89,157.68,564,472,west,36.87,4.85
59,11.6,42.01,160.34,484,416,west,39.31,3.4
60,11.8,45.82,159.17,492,432,west,38,3.98
61,12,49.64,157.28,524,384,west,36.36,4.27
62,12.2,53.56,153.11,540,416,west,32.75,5.72
63,12.4,55.27,148.05,624,532,west,28.24,5.35
64,12.6,56.99,142.34,652,564,west,23.3,5.96
65,12.8,57.26,135.47,664,596,west,17.11,6.88
66,13,56,128.84,684,548,west,10.88,6.74
67,13.2,55.45,122.12,680,548,west,5.31,6.75
68,13.4,55.55,117.59,556,468,west,2.81,4.53
69,13.6,53.35,115.46,560,316,platform,0,3.06
70,13.8,51.84,116.32,608,336,platform,0,1.74
71,14,49.58,116.48,652,300,platform,0,2.27
72,14.2,48.82,116.53,636,240,platform,0,0.76
73,14.4,48.82,116.53,628,184,platform,0,0
74,14.6,48.06,116.59,696,180,platform,0,0.76
75,14.8,47.29,117.43,760,168,platform,0,1.14
76,15,46.53,117.49,752,136,platform,0,0.76
77,15.2,45,118.42,700,204,platform,0,1.79
78,15.4,45.01,117.62,692,152,platform,0,0.8
79,15.6,45.01,117.62,616,260,platform,0,0
