Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00059.trk,,,,,,,
Object,0,,,,,,,
Samples,127,,,,,,,
id,65,,,,,,,
trial,3,,,,,,,
date,20:04.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:25.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00059.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,20:36.0,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,21:01.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,161.2,150.24,512,428,east,-,113.21
2,0.2,156.37,150.52,504,368,east,4.85,108.7
3,0.4,152.19,149.26,508,428,east,4.36,104.34
4,0.6,150.54,148.77,472,396,east,1.72,102.62
5,0.8,146.26,145.88,524,420,east,5.17,97.65
6,1,143.58,142.7,508,352,east,4.16,94.15
7,1.2,141.68,138.97,528,356,east,4.18,91.31
8,1.4,138.92,133.57,556,412,east,6.07,87.39
9,1.6,136.96,127.7,608,404,east,6.18,84.34
10,1.8,135.73,120.55,644,540,east,7.26,82.25
11,2,134.59,113.54,680,540,east,7.1,80.83
12,2.2,133.5,105.9,652,548,east,7.72,79.99
13,2.4,133.2,98.37,656,604,east,7.54,80.66
14,2.6,133.7,91.59,652,596,east,6.8,82.47
15,2.8,134.24,85.49,552,476,east,6.11,84.6
16,3,134.14,80.93,564,532,east,4.57,85.96
17,3.2,133.36,76.41,576,580,east,4.58,86.9
18,3.4,129.86,72.23,596,532,east,5.45,85.48
19,3.6,127.1,69.52,648,476,east,3.87,84.31
20,3.8,122.31,67.79,680,544,south,5.09,81.06
21,4,116.17,66.82,660,532,south,6.22,76.43
22,4.2,110.02,65.68,708,536,south,6.26,72
23,4.4,103.83,65.06,724,552,south,6.22,67.5
24,4.6,96.17,63.43,700,640,south,7.82,62.96
25,4.8,89.1,61.49,704,580,south,7.33,59.66
26,5,81.89,59.19,660,588,south,7.57,57.32
27,5.2,75.98,56.78,660,552,south,6.38,56.3
28,5.4,70.68,53.43,664,460,south,6.28,57.08
29,5.6,66.81,50.98,612,388,south,4.58,58.08
30,5.8,62.87,48.37,604,440,south,4.72,59.54
31,6,59.68,46.7,580,456,south,3.6,60.55
32,6.2,55.75,46.46,552,492,south,3.94,60.11
33,6.4,51.82,47.05,568,472,south,3.97,59.1
34,6.6,48.89,51.43,564,428,south,5.27,54.57
35,6.8,46.81,56.95,536,404,west,5.9,49.04
36,7,43.94,63.17,592,448,west,6.85,42.87
37,7.2,41.85,69.63,644,444,west,6.79,36.56
38,7.4,39.76,77.02,680,508,west,7.68,29.55
39,7.6,38.47,85.44,668,572,west,8.51,21.62
40,7.8,37.1,93.88,628,552,west,8.55,14.13
41,8,36.46,103.22,660,584,west,9.37,6.84
42,8.2,35.73,112.57,636,568,west,9.38,3.2
43,8.4,35.69,121.03,604,536,west,8.45,5.23
44,8.6,36.35,129.34,648,548,west,8.34,10.83
45,8.8,38.48,136.44,568,560,west,7.41,16.24
46,9,41.35,141.57,548,412,west,5.88,20.7
47,9.2,45.75,144.61,532,480,west,5.35,23.44
48,9.4,50.89,146.63,532,472,west,5.52,25.91
49,9.6,56.05,147.12,580,488,west,5.19,27.59
50,9.8,61.25,146.19,572,464,west,5.28,28.49
51,10,67.93,144.48,604,512,north,6.89,30.55
52,10.2,74.59,142.34,652,560,north,7,33.13
53,10.4,81.21,140.49,660,544,north,6.88,36.88
54,10.6,87.83,137.5,692,560,north,7.27,40.72
55,10.8,93.68,135.45,724,560,north,6.2,44.85
56,11,99.5,132.16,712,644,north,6.69,48.96
57,11.2,104.55,128.24,712,672,north,6.39,52.69
58,11.4,108.83,123.63,716,676,north,6.29,55.93
59,11.6,111.61,118.23,756,632,north,6.08,58.02
60,11.8,112.94,112.03,748,648,east,6.34,59.16
61,12,114.26,105.82,792,612,east,6.35,60.84
62,12.2,114.18,98.16,760,664,east,7.66,61.99
63,12.4,114.13,91.89,800,664,east,6.27,63.5
64,12.6,112.04,84.92,740,652,south,7.28,63.96
65,12.8,109.98,77.91,756,664,south,7.3,65.28
66,13,107.25,72.26,732,600,south,6.27,65.98
67,13.2,103.13,66.52,724,616,south,7.07,66.04
68,13.4,98.27,61.3,732,608,south,7.14,65.95
69,13.6,92.61,55.74,732,672,south,7.93,66.35
70,13.8,86.84,52.1,684,616,south,6.82,65.97
71,14,80.93,48.11,680,532,south,7.13,66.27
72,14.2,74.13,44.39,684,572,south,7.76,66.75
73,14.4,67.15,41.06,692,504,south,7.74,67.69
74,14.6,60.75,37.53,600,500,south,7.31,69.75
75,14.8,54.09,32.69,576,520,south,8.23,73.6
76,15,48.04,27.7,544,384,south,7.84,78.28
77,15.2,43.51,23.03,560,360,s ext,6.5,83.01
78,15.4,39.84,19.5,504,328,s ext,5.1,86.7
79,15.6,37.87,16.64,484,236,s ext,3.48,89.7
80,15.8,37.87,16.64,464,132,s ext,0,89.7
81,16,39.74,18.48,432,280,s ext,2.63,87.72
82,16.2,38.95,19.11,332,420,s ext,1.01,87.15
83,16.4,37.48,21.4,388,456,s ext,2.72,84.99
84,16.6,35.22,24.33,432,436,s ext,3.7,82.33
85,16.8,33.04,28.3,492,300,s ext,4.53,78.7
86,17,30.96,33.31,548,360,w ext,5.43,74.14
87,17.2,29.92,40.69,548,392,w ext,7.45,67.15
88,17.4,27.97,47.73,572,432,west,7.31,60.75
89,17.6,26.93,56.04,584,444,west,8.38,53.08
90,17.8,25.03,65.09,596,508,west,9.24,45.32
91,18,24.67,72.61,564,480,west,7.53,38.75
92,18.2,25.14,81.14,592,508,west,8.55,31.29
93,18.4,26.39,90.53,580,476,west,9.47,23.02
94,18.6,26.66,98.75,600,476,west,8.23,17.23
95,18.8,26.86,107.8,592,488,west,9.05,12.84
96,19,26.95,116.77,588,524,west,8.97,12.06
97,19.2,26.95,123.03,564,384,west,6.26,13.73
98,19.4,27.7,129.13,536,388,west,6.15,16.39
99,19.6,28.44,133.41,532,452,west,4.34,18.77
100,19.8,30.67,139.04,544,460,west,6.05,22.06
101,20,32.92,141.94,540,372,west,3.67,23.45
102,20.2,37.42,145.01,560,484,west,5.45,24.78
103,20.4,42.68,146.15,536,480,west,5.38,25.12
104,20.6,47.13,147.49,500,404,west,4.64,26.37
105,20.8,51.6,147.26,480,412,west,4.48,26.64
106,21,53.85,146.79,532,452,west,2.29,26.64
107,21.2,56.19,144.01,584,404,west,3.62,24.64
108,21.4,58.54,140.56,580,396,west,4.18,22.25
109,21.6,60.16,136.56,620,448,west,4.32,19.56
110,21.8,62.5,132.56,608,404,west,4.64,17.77
111,22,63.33,129.53,612,340,west,3.14,16.12
112,22.2,63.44,125.86,604,568,west,3.67,13.91
113,22.4,62.05,123.05,704,412,west,3.13,11.23
114,22.6,59.22,118.83,708,556,west,5.08,6.6
115,22.8,57.08,115.24,672,524,west,4.18,3.58
116,23,55.65,111.55,580,556,west,3.96,2.06
117,23.2,53.42,110.11,520,348,west,2.65,0.38
118,23.4,51.17,110.19,548,260,platform,2.26,0
119,23.6,49.65,110.24,656,308,platform,1.51,0
120,23.8,48.13,111.09,624,216,platform,1.74,0
