Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00003.trk,,,,,,,
Object,0,,,,,,,
Samples,181,,,,,,,
id,44,,,,,,,
trial,3,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:36.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00003.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,27:06.2,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,27:42.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,127.85,179.32,456,332,north,97.54,-
2,0.2,128.37,176.01,500,308,north,95.92,3.36
3,0.4,127.92,170.72,508,376,north,92.45,5.3
4,0.6,128.52,168.36,556,312,north,91.64,2.44
5,0.8,128.45,167.5,656,380,north,91.11,0.87
6,1,128.31,165.78,596,516,north,90.07,1.72
7,1.2,128.24,164.93,560,388,north,89.55,0.86
8,1.4,130.62,164.77,544,312,north,91.47,2.39
9,1.6,130.62,164.77,464,488,north,91.47,0
10,1.8,130.7,165.63,480,336,north,91.99,0.86
11,2,131.6,166.74,572,252,north,93.35,1.43
12,2.2,130.02,167.12,512,580,north,92.23,1.62
13,2.4,127.77,168.99,568,368,north,91.36,2.93
14,2.6,122.99,169.34,604,420,north,87.62,4.8
15,2.8,118.17,168.97,564,424,north,83.53,4.83
16,3,112.58,168.59,576,396,north,78.92,5.6
17,3.2,108.6,167.86,612,348,north,75.42,4.05
18,3.4,102.29,166.95,588,456,north,70.14,6.37
19,3.6,95.27,165.49,572,488,north,64.16,7.17
20,3.8,87.58,165.23,604,560,north,58.96,7.7
21,4,81.49,164.58,588,472,north,54.76,6.13
22,4.2,76.18,164.95,608,428,north,52.12,5.32
23,4.4,70.91,164.76,576,368,north,49.42,5.27
