Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00024.trk,,,,,,,
Object,0,,,,,,,
Samples,60,,,,,,,
id,58,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:12.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00024.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,19:31.8,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,19:43.8,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,165.94,48.88,328,296,e ext,128.28,-
2,0.2,163.88,52.54,312,288,e ext,124.74,4.2
3,0.4,160.36,55.62,344,320,east,120.19,4.68
4,0.6,157.54,57.43,376,224,east,116.86,3.35
5,0.8,154.03,59.35,400,280,east,112.86,4
6,1,148.42,60.84,424,376,east,107.19,5.8
7,1.2,142.16,61.49,464,464,east,101.37,6.29
8,1.4,134.59,60.64,508,588,east,95.26,7.62
9,1.6,127.77,58.71,564,648,south,90.58,7.09
10,1.8,119.63,55.22,544,732,south,85.99,8.86
11,2,112.14,50.52,560,736,south,83.4,8.84
12,2.2,104.54,46.13,584,720,south,81.35,8.78
13,2.4,96.03,40.28,568,736,south,80.9,10.33
14,2.6,87.19,33.52,500,740,south,82.1,11.13
15,2.8,81.03,27.23,600,660,south,85.24,8.8
16,3,73.68,17.29,528,656,s ext,92.34,12.36
17,3.2,68.59,10.98,460,484,s ext,97.3,8.1
18,3.4,65.12,6.85,392,316,s ext,100.71,5.41
19,3.6,60.95,5.21,320,360,s ext,101.68,4.48
20,3.8,55.17,4.74,220,396,s ext,101.54,5.8
21,4,53.8,8.09,300,392,s ext,98.1,3.62
22,4.2,50.72,10.66,392,412,s ext,95.38,4.01
23,4.4,46.94,14.85,360,464,s ext,91.14,5.64
24,4.6,43.15,19.01,408,384,s ext,87.03,5.63
25,4.8,40.49,26.56,428,444,s ext,79.61,8
26,5,37.71,33.09,420,440,s ext,73.34,7.09
27,5.2,35.86,40.92,428,432,west,65.8,8.05
28,5.4,34.83,49,492,440,west,57.99,8.15
29,5.6,33.61,55.13,460,424,west,52.25,6.25
30,5.8,33.15,60.54,412,320,west,47.08,5.43
31,6,33.5,66.1,368,348,west,41.58,5.57
32,6.2,34.54,69.93,360,280,west,37.61,3.97
33,6.4,34.78,74.44,380,364,west,33.19,4.52
34,6.6,35.72,77.26,340,216,west,30.22,2.97
35,6.8,37.43,79.27,356,296,west,27.86,2.64
36,7,39.09,80.37,340,208,west,26.43,1.99
37,7.2,40.76,82.29,368,292,west,24.18,2.55
38,7.4,43.21,84.27,400,320,west,21.86,3.14
39,7.6,46.42,87.08,412,316,west,18.92,4.27
40,7.8,48.82,90.51,456,348,west,15.54,4.19
41,8,51.17,94.62,476,380,west,11.87,4.74
42,8.2,53.48,98.61,592,428,west,8.8,4.6
43,8.4,55.72,103.99,520,432,west,5.68,5.84
44,8.6,57.92,108.49,536,408,west,4.93,5
45,8.8,58.61,112.19,412,436,west,4.84,3.77
46,9,57.83,114.46,424,236,west,4.12,2.4
47,9.2,57.05,116.74,444,268,west,3.81,2.41
48,9.4,56.29,117.54,428,304,west,3.4,1.1
49,9.6,56.28,118.29,424,260,west,3.82,0.75
50,9.8,54.8,117.64,488,184,west,2.31,1.61
51,10,52.6,115.5,556,356,platform,0,3.07
52,10.2,51.13,113.28,624,356,platform,0,2.66
53,10.4,50.38,113.32,580,252,platform,0,0.76
54,10.6,49.62,113.36,580,184,platform,0,0.76
55,10.8,48.09,115.02,620,352,platform,0,2.26
56,11,45.78,116.76,756,296,platform,0,2.89
57,11.2,44.25,116.89,712,316,platform,0,1.53
58,11.4,43.48,116.95,636,196,platform,0,0.77
59,11.6,44.24,117.69,616,292,platform,0,1.06
60,11.8,43.48,116.95,656,344,platform,0,1.06
