Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00048.trk,,,,,,,
Object,0,,,,,,,
Samples,297,,,,,,,
id,82,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:59.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00048.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,39:05.2,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,40:04.6,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,162.7,31.74,204,200,e ext,134.61,-
2,0.2,160.59,30.86,216,308,e ext,133.39,2.29
3,0.4,159.21,32.5,352,240,e ext,131.31,2.15
4,0.6,157.84,35.06,420,260,e ext,128.73,2.9
5,0.8,155.09,38.16,448,260,e ext,124.7,4.14
6,1,152.34,42.02,508,308,east,120.28,4.74
7,1.2,150.3,45.47,576,276,east,116.67,4.01
8,1.4,146.88,50.12,508,348,east,111.27,5.77
9,1.6,144.83,52.45,504,260,east,108.29,3.1
10,1.8,142.78,53.86,500,308,east,105.79,2.49
11,2,141.41,54.23,616,236,east,104.44,1.42
12,2.2,140.04,55.4,604,292,east,102.66,1.8
13,2.4,137.31,56.86,548,472,east,99.57,3.1
14,2.6,135.95,59.57,592,492,east,96.98,3.03
15,2.8,134.6,62.22,640,272,east,94.44,2.98
16,3,132.57,66.49,680,360,east,90.56,4.72
17,3.2,131.23,71.3,712,424,east,87.12,5
18,3.4,129.22,76.83,708,444,east,82.93,5.88
19,3.6,127.2,82.2,728,484,east,79.02,5.73
20,3.8,125.19,87.43,740,476,east,75.39,5.61
21,4,123.18,92.54,732,480,east,72.03,5.49
22,4.2,121.14,96.13,740,408,east,69.23,4.13
