Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00033.trk,,,,,,,
Object,0,,,,,,,
Samples,368,,,,,,,
id,60,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:13.600,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00033.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,06:12.8,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,07:26.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,175,175.41,424,364,e ext,135.46,-
2,0.2,170.14,177.12,416,336,e ext,131.9,5.15
3,0.4,161.81,178.15,472,488,n ext,125.09,8.4
4,0.6,155.81,177.4,480,408,north,119.53,6.05
5,0.8,147.25,175.69,500,516,north,111.36,8.73
6,1,138.74,173.39,496,516,north,102.95,8.81
7,1.2,131.08,169.98,524,460,north,94.67,8.38
8,1.4,121.87,164.91,556,544,north,84.19,10.51
9,1.6,114.51,160.06,576,516,north,75.37,8.81
10,1.8,107.35,154.98,548,548,north,66.6,8.78
11,2,99.65,149.6,612,592,north,57.2,9.39
12,2.2,92.17,145.5,620,624,north,48.71,8.52
13,2.4,84.09,143.3,612,656,north,40.87,8.38
14,2.6,76.05,142.23,616,668,north,34.09,8.1
15,2.8,68.01,142.24,584,632,west,28.82,8.05
16,3,60.61,144.02,600,624,west,26.26,7.61
17,3.2,53.07,147.73,592,584,west,27.38,8.4
18,3.4,45.39,152.77,548,612,west,31.59,9.18
19,3.6,38.31,159.03,544,548,west,38.4,9.45
20,3.8,32.68,165.36,484,484,w ext,45.66,8.47
21,4,28.58,170.58,452,352,w ext,51.78,6.64
22,4.2,25.38,172.9,368,436,w ext,54.97,3.95
