Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00046.trk,,,,,,,
Object,0,,,,,,,
Samples,65,,,,,,,
id,82,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:13.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00046.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,36:01.8,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,36:14.8,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,83.37,9.58,344,160,s ext,102.59,-
2,0.2,80.94,7.09,468,196,s ext,104.18,3.48
3,0.4,79.32,5.7,508,240,s ext,105.03,2.14
4,0.6,76.93,5.02,480,356,s ext,105.03,2.48
5,0.8,72.97,4.76,464,328,s ext,104.31,3.97
6,1,68.89,3.36,496,296,s ext,104.84,4.31
7,1.2,64.07,3.51,444,356,s ext,103.82,4.83
8,1.4,60.87,4.2,484,296,s ext,102.68,3.27
9,1.6,57.65,4.82,500,320,s ext,101.68,3.28
10,1.8,55.34,6.79,484,376,s ext,99.51,3.03
11,2,53.89,9.11,532,336,s ext,97.09,2.73
12,2.2,53.29,11.78,556,280,s ext,94.39,2.73
13,2.4,51.92,15.06,536,332,s ext,91.03,3.56
14,2.6,51.4,18.68,560,320,s ext,87.4,3.65
15,2.8,50.95,23.23,540,324,s ext,82.83,4.57
16,3,51.33,28.03,548,288,south,78.05,4.82
17,3.2,53.33,33.33,572,336,south,72.89,5.66
18,3.4,54.34,36.37,608,268,south,69.96,3.2
19,3.6,56.19,40.51,600,328,south,66.07,4.53
20,3.8,57.15,43.41,548,228,south,63.33,3.06
21,4,58.1,46.26,552,212,south,60.67,3
22,4.2,59.02,49.06,568,280,south,58.1,2.95
23,4.4,59.06,49.92,620,180,south,57.27,0.86
24,4.6,59.89,50.97,620,200,south,56.38,1.34
25,4.8,60.83,54.52,564,488,south,53.09,3.67
26,5,61.67,56.36,584,444,south,51.5,2.02
27,5.2,64.02,57.68,624,328,south,50.84,2.69
28,5.4,66.31,58.15,636,252,south,51.11,2.34
29,5.6,67.83,58.45,632,220,south,51.35,1.55
30,5.8,69.34,58.74,628,564,south,51.65,1.54
31,6,70.02,56.49,628,408,south,53.99,2.35
32,6.2,69.97,54.89,624,332,south,55.46,1.61
33,6.4,69.13,52.3,592,240,south,57.57,2.72
34,6.6,68.31,50.49,656,224,south,59,1.98
35,6.8,66.67,47.65,652,252,south,61.22,3.28
36,7,65.05,45.58,676,208,south,62.78,2.63
37,7.2,63.4,43.46,612,496,south,64.45,2.68
38,7.4,60.99,41.93,620,520,south,65.47,2.85
39,7.6,58.65,42.12,604,256,south,64.85,2.35
40,7.8,57.2,44.29,552,252,south,62.47,2.61
41,8,56.55,46.68,608,320,south,60,2.48
42,8.2,55.09,48.85,696,264,south,57.65,2.61
43,8.4,54.57,53.82,676,348,south,52.66,5
44,8.6,54.81,58.91,652,352,south,47.65,5.1
45,8.8,54.24,63.76,680,372,west,42.78,4.88
46,9,54.4,67.89,688,296,west,38.73,4.13
47,9.2,53.79,72.65,668,396,west,33.94,4.8
48,9.4,53.94,77.49,740,384,west,29.23,4.84
49,9.6,53.3,82.97,700,424,west,23.71,5.52
50,9.8,53.38,87.71,680,356,west,19.08,4.74
51,10,53.44,92.41,696,384,west,14.54,4.69
52,10.2,54.21,94,564,276,west,13.29,1.77
53,10.4,53.48,98.61,488,428,west,8.8,4.66
54,10.6,52.72,102.45,612,332,west,5.19,3.92
55,10.8,51.19,106.32,616,412,west,1.1,4.16
56,11,48.9,108.71,652,396,platform,0,3.31
57,11.2,47.37,111.12,632,372,platform,0,2.86
58,11.4,47.35,112.7,712,304,platform,0,1.58
59,11.6,46.58,113.54,736,104,platform,0,1.14
60,11.8,46.59,112.74,696,192,platform,0,0.79
61,12,45.82,113.58,768,184,platform,0,1.14
62,12.2,45.04,114.43,820,196,platform,0,1.15
63,12.4,43.5,115.34,768,292,platform,0,1.79
64,12.6,42.72,116.2,720,160,platform,0,1.16
65,12.8,43.48,116.95,676,300,platform,0,1.06
