Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00023.trk,,,,,,,
Object,0,,,,,,,
Samples,31,,,,,,,
id,58,,,,,,,
trial,3,,,,,,,
date,19:57.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:06.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00023.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,20:29.1,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,20:35.3,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,194.73,113.54,156,228,e ext,-,140.96
2,0.2,189.78,108.76,248,388,e ext,6.88,136.05
3,0.4,185.83,104.29,280,304,e ext,5.96,132.31
4,0.6,180.38,100.04,356,332,e ext,6.91,127.2
5,0.8,172.63,95.2,408,460,east,9.13,120.1
6,1,166.15,92.64,408,480,east,6.97,114.1
7,1.2,158.25,88.63,472,528,east,8.86,107.08
8,1.4,150.69,85.81,480,616,east,8.06,100.35
9,1.6,142.69,84.07,512,568,east,8.19,93.09
10,1.8,133.49,83.26,524,684,east,9.24,84.57
11,2,125.83,83.02,608,668,east,7.66,77.45
12,2.2,117.55,84.8,620,756,east,8.47,69.09
13,2.4,109.28,87.72,632,764,south,8.77,60.32
14,2.6,101.66,91.09,664,744,south,8.33,51.99
15,2.8,93.97,95.68,684,804,south,8.95,43.17
16,3,86.9,100.25,668,760,west,8.41,35.02
17,3.2,79.04,104.88,632,820,west,9.13,26.23
18,3.4,71.82,108.33,636,668,west,8,18.5
19,3.6,63.01,113.5,592,740,west,10.22,9.25
20,3.8,54.8,117.64,512,664,west,9.19,2.31
21,4,50.25,121.07,440,576,west,5.71,1.3
22,4.2,48.01,119.73,404,284,platform,2.61,0
23,4.4,47.28,118.22,556,256,platform,1.67,0
24,4.6,47.28,118.22,540,144,platform,0,0
25,4.8,48.04,118.16,516,136,platform,0.76,0
26,5,47.28,118.22,516,120,platform,0.76,0
27,5.2,48.04,118.16,492,96,platform,0.76,0
28,5.4,47.27,119.01,488,92,platform,1.15,0
29,5.6,47.28,118.22,464,136,platform,0.79,0
30,5.8,47.29,117.43,492,148,platform,0.79,0
31,6,46.53,117.49,476,168,platform,0.76,0
