Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00038.trk,,,,,,,
Object,0,,,,,,,
Samples,137,,,,,,,
id,83,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:27.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00038.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,16:50.9,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,17:18.3,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,89.45,8.92,356,248,s ext,105.38,-
2,0.2,90.18,8.1,344,236,s ext,106.42,1.1
3,0.4,93.99,9.59,404,452,s ext,106.58,4.09
4,0.6,95.53,11.64,548,392,s ext,105.39,2.56
5,0.8,98.53,13.75,604,464,s ext,104.87,3.67
6,1,101.48,15.73,572,384,s ext,104.57,3.56
7,1.2,102.96,18.47,616,324,s ext,102.97,3.12
8,1.4,105.15,22.03,652,332,s ext,101.14,4.18
9,1.6,108.01,26.31,660,368,south,99.18,5.15
10,1.8,110.12,30.46,692,424,south,97.05,4.66
11,2,112.21,33.67,692,328,south,95.82,3.82
12,2.2,114.26,37.6,712,484,south,94.17,4.44
13,2.4,115.61,42.33,776,432,south,91.63,4.91
14,2.6,116.95,47.75,768,512,south,88.8,5.58
15,2.8,117.59,53.91,776,544,south,85.22,6.19
16,3,118.25,59.18,756,532,south,82.48,5.32
17,3.2,120.27,65,796,576,south,80.85,6.16
18,3.4,122.32,70.02,800,620,south,79.9,5.42
19,3.6,124.38,75.02,788,604,east,79.34,5.41
20,3.8,125.79,79.34,776,556,east,78.79,4.54
21,4,127.95,85.85,820,588,east,78.5,6.86
22,4.2,129.47,91.7,828,616,east,78.33,6.05
