Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00024.trk,,,,,,,
Object,0,,,,,,,
Samples,450,,,,,,,
id,58,,,,,,,
trial,4,,,,,,,
date,21:32.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:30.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00024.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,22:02.5,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,23:32.5,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,77.63,3.28,120,276,s ext,-,106.89
2,0.2,76.93,5.02,112,120,s ext,1.87,105.03
3,0.4,76.29,7.72,160,224,s ext,2.77,102.25
4,0.6,72.34,7.46,320,296,s ext,3.96,101.54
5,0.8,66.63,5.47,496,416,s ext,6.05,102.34
6,1,62.55,4.87,412,460,s ext,4.12,102.24
7,1.2,55.17,4.74,248,500,s ext,7.38,101.54
8,1.4,51.9,5.27,292,300,s ext,3.31,100.82
9,1.6,47.93,7.42,336,388,s ext,4.52,98.56
10,1.8,44.14,11.62,452,524,s ext,5.66,94.41
11,2,38.65,16.01,440,532,s ext,7.03,90.26
12,2.2,32.33,21.06,488,576,s ext,8.09,85.96
13,2.4,26.75,25.58,484,564,w ext,7.18,82.59
14,2.6,19.37,30.53,480,620,w ext,8.88,79.67
15,2.8,13.77,36.55,400,496,w ext,8.22,75.98
16,3,11.75,43.13,396,404,w ext,6.88,70.85
17,3.2,10.74,51.18,412,424,w ext,8.11,64.27
18,3.4,11.69,61.84,428,464,w ext,10.71,54.81
19,3.6,13.33,71.41,460,448,w ext,9.71,46.12
20,3.8,14.89,81.7,500,528,w ext,10.41,37.31
21,4,18.01,91.82,504,556,west,10.59,28.3
22,4.2,20.07,101.46,480,568,west,9.86,21.48
23,4.4,22.78,109.81,432,504,west,8.78,16.44
24,4.6,25.31,115.12,412,380,west,5.88,13.55
25,4.8,26.96,119.45,372,280,west,4.63,12.54
26,5,29.36,122.7,376,300,west,4.03,11.45
27,5.2,31.71,125.84,388,300,west,3.93,11.21
28,5.4,34.02,128.89,476,384,west,3.83,11.71
29,5.6,37.8,133.26,496,420,west,5.77,13.51
30,5.8,40.76,136.79,484,404,west,4.61,16.04
31,6,45.82,142.99,456,548,west,8,21.82
32,6.2,50.07,148.39,464,472,west,6.87,27.56
33,6.4,53.56,153.11,524,532,west,5.87,32.75
34,6.6,57.72,159.27,524,576,north,7.43,39.7
35,6.8,60.34,166.67,480,596,north,7.85,47.53
36,7,62.28,173.57,476,532,north,7.17,54.7
37,7.2,63.51,179.98,372,464,north,6.52,61.2
38,7.4,64.77,186.56,324,336,n ext,6.7,67.88
39,7.6,66.09,192.43,284,336,n ext,6.03,73.9
40,7.8,67.51,196.65,204,232,n ext,4.45,78.34
41,8,69.87,197.14,224,260,n ext,2.41,79.45
42,8.2,75.44,198.2,212,292,n ext,5.66,82.13
43,8.4,81.9,197.73,316,344,n ext,6.48,83.99
44,8.6,88.42,195.86,352,396,n ext,6.78,85.08
45,8.8,95.76,193.59,356,444,n ext,7.69,86.78
46,9,103.15,192.74,356,408,n ext,7.44,90.28
47,9.2,110.61,192.37,312,444,n ext,7.46,94.54
48,9.4,118.27,194.35,320,432,n ext,7.91,100.99
49,9.6,124.34,196.24,316,364,n ext,6.35,106.47
50,9.8,131.29,197.79,324,360,n ext,7.13,112.44
51,10,137.34,198.32,332,320,n ext,6.07,117.17
52,10.2,142.4,197.65,348,336,n ext,5.11,120.48
53,10.4,147.99,194.47,380,408,n ext,6.43,122.73
54,10.6,151.58,189.5,388,432,n ext,6.13,122.61
55,10.8,155.89,183.95,396,496,n ext,7.03,123.09
56,11,157.17,175.2,392,476,north,8.84,119.6
57,11.2,158.46,166.54,388,524,east,8.76,116.71
58,11.4,157.92,156.38,464,532,east,10.18,112.16
59,11.6,158.2,145.75,452,604,east,10.63,109.04
60,11.8,158.56,135.22,508,592,east,10.54,106.95
61,12,159.09,125.62,500,632,east,9.61,105.99
62,12.2,158.73,114.14,512,676,east,11.49,104.97
63,12.4,158.51,102.71,492,660,east,11.43,105.18
64,12.6,159.23,92.1,488,596,east,10.63,107.39
65,12.8,159.3,81.4,460,612,east,10.71,109.8
66,13,158.75,70.7,492,608,east,10.71,112.6
67,13.2,156.91,60.33,464,612,east,10.54,115.01
68,13.4,154.55,51.14,448,592,east,9.48,117.26
69,13.6,150.97,43.44,444,548,east,8.49,118.35
70,13.8,147.53,37.62,488,572,east,6.76,118.84
71,14,143.49,31.21,476,564,s ext,7.58,119.65
72,14.2,140.22,22.66,424,532,s ext,9.15,122.95
73,14.4,137.64,15.5,436,540,s ext,7.61,126.26
74,14.6,134.35,11.24,368,452,s ext,5.39,127.24
75,14.8,128.92,11.24,376,536,s ext,5.43,123.77
76,15,122.05,11.2,388,452,s ext,6.87,119.63
