Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00026.trk,,,,,,,
Object,0,,,,,,,
Samples,96,,,,,,,
id,49,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:19.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00026.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,23:50.5,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,24:09.7,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,84.22,11.65,188,228,s ext,100.93,-
2,0.2,86.49,11.19,216,244,s ext,102.17,2.32
3,0.4,90.33,12.8,308,324,s ext,102.15,4.16
4,0.6,95.72,20.74,264,492,s ext,97.39,9.6
5,0.8,96.49,22.57,576,320,south,96.15,1.99
6,1,99.47,27.98,612,412,south,93.05,6.18
7,1.2,101.66,32.3,616,420,south,90.66,4.84
8,1.4,101.7,38.1,616,600,south,85.91,5.79
9,1.6,101.02,42.93,644,452,south,81.62,4.88
10,1.8,98.92,46.82,660,520,south,77.26,4.43
11,2,96.81,48.3,664,612,south,74.8,2.57
12,2.2,94.69,48.95,656,616,south,73.01,2.22
13,2.4,91.83,48.72,728,472,south,71.55,2.87
14,2.6,88.19,45.96,712,504,south,71.83,4.57
15,2.8,85.22,43.15,692,420,south,72.7,4.09
16,3,83.66,39.63,728,396,south,75.05,3.85
17,3.2,82.1,36.86,716,372,south,76.84,3.18
18,3.4,81.25,33.32,700,392,south,79.71,3.65
19,3.6,80.4,30.57,700,272,south,81.91,2.87
20,3.8,81.03,27.23,688,300,south,85.24,3.4
21,4,80.96,25.46,672,392,south,86.87,1.77
22,4.2,82.39,23.11,660,524,south,89.58,2.75
