Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00045.trk,,,,,,,
Object,0,,,,,,,
Samples,212,,,,,,,
id,82,,,,,,,
trial,1,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:42.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00045.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,34:09.2,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,34:51.6,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,179.43,138.4,444,348,e ext,128.05,-
2,0.2,177.11,139.79,472,284,east,126.05,2.7
3,0.4,174.94,142.14,528,296,east,124.41,3.2
4,0.6,172.76,144.42,528,296,east,122.79,3.15
5,0.8,170.44,145.65,520,232,east,120.84,2.62
6,1,168.27,147.83,540,260,east,119.29,3.08
7,1.2,165.95,148.97,572,224,east,117.38,2.58
8,1.4,164.5,150.36,488,236,east,116.39,2.01
9,1.6,162.91,150.78,492,204,east,115,1.64
10,1.8,162.18,151.46,568,188,east,114.52,1
11,2,160.6,151.86,548,252,east,113.14,1.63
12,2.2,159.14,153.19,528,204,east,112.2,1.97
13,2.4,155.98,153.95,444,476,east,109.49,3.25
14,2.6,155.6,157.38,468,296,east,110.37,3.45
15,2.8,155.23,160.81,540,288,east,111.37,3.46
16,3,154.98,165.21,564,304,north,112.99,4.4
17,3.2,154.87,170.59,492,336,north,115.35,5.39
18,3.4,155.67,176.41,468,296,north,118.91,5.87
19,3.6,156.36,181.36,520,268,n ext,122.09,4.99
20,3.8,156.03,184.95,488,248,n ext,123.75,3.61
21,4,156.62,189.01,360,256,n ext,126.47,4.1
22,4.2,158,192.54,400,288,n ext,129.61,3.79
