Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00044.trk,,,,,,,
Object,0,,,,,,,
Samples,372,,,,,,,
id,59,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:01:14.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00044.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,30:30.7,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,31:45.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
95,18.8,41.71,130.1,608,312,west,9.28,2.34
96,19,44,129.73,632,296,west,8.66,2.32
97,19.2,46.24,130.97,600,288,west,9.84,2.56
98,19.4,48.48,131.41,556,340,west,10.51,2.28
99,19.6,50.68,132.63,620,352,west,12.15,2.52
100,19.8,52.82,135.38,612,336,west,15.43,3.48
101,20,54.97,137.33,620,320,west,17.91,2.91
102,20.2,56.34,140.16,656,292,west,21.03,3.14
103,20.4,57.7,142.98,648,320,west,24.15,3.13
104,20.6,60.48,147.08,688,464,west,28.99,4.95
105,20.8,63.29,150.42,612,396,north,33.19,4.36
106,21,66.04,155.34,560,436,north,38.81,5.64
107,21.2,68.85,159.56,604,396,north,43.84,5.07
108,21.4,71.66,164.66,628,440,north,49.66,5.83
109,21.6,75.27,170.65,584,540,north,56.64,6.99
110,21.8,77.46,175.35,576,416,north,61.82,5.19
111,22,80.46,181.01,520,440,north,68.22,6.4
112,22.2,83.57,186.04,484,348,n ext,74.12,5.91
113,22.4,85.96,191.31,432,348,n ext,79.9,5.78
114,22.6,86.78,194.01,352,232,n ext,82.68,2.83
115,22.8,87.6,195.84,268,172,n ext,84.68,2.01
116,23,88.43,197.7,220,104,n ext,86.72,2.04
117,23.2,95.09,199.98,248,220,n ext,91.89,7.03
118,23.4,100.93,199.77,272,256,n ext,94.77,5.85
119,23.6,104.27,199.39,316,204,n ext,96.33,3.36
