Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0002\data\track_00003.trk,,,,,,,
Object,0,,,,,,,
Samples,70,,,,,,,
id,44,,,,,,,
trial,3,,,,,,,
date,23:49.0,yyyy-MM-dd HH:mm:ss,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:14.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00003.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,24:12.4,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,24:26.4,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance moved,Distance to zone [platform [Acquisition Zonedef]]
1,0,168.88,127.37,384,356,east,-,115.91
2,0.2,163.63,123.7,472,392,east,6.4,110.32
3,0.4,158.54,120.26,488,376,east,6.14,104.98
4,0.6,153.51,116.19,524,452,east,6.47,99.79
5,0.8,148.64,112.37,544,516,east,6.19,94.87
6,1,146.95,109.78,508,428,east,3.09,93.21
7,1.2,145.24,106.45,512,452,platform reversal,3.75,91.66
8,1.4,145.09,104.02,516,308,platform reversal,2.43,91.7
9,1.6,144.08,99.19,512,388,platform reversal,4.94,91.26
10,1.8,143.3,98.39,568,496,platform reversal,1.11,90.62
11,2,141.73,96.03,596,508,east,2.84,89.47
12,2.2,137.32,93.77,640,412,east,4.95,85.55
13,2.4,132.28,91.63,628,476,east,5.48,81.09
14,2.6,127.98,87.32,700,584,east,6.09,78.07
15,2.8,123.05,81.71,692,608,east,7.47,75.35
16,3,118.22,76.18,752,652,south,7.35,73.32
17,3.2,113.43,69.91,716,676,south,7.89,72.44
18,3.4,109.34,64.24,768,588,south,6.99,72.32
19,3.6,105.91,59.14,720,544,south,6.14,72.97
20,3.8,103.15,55.4,632,448,south,4.65,73.58
21,4,102.45,51.57,576,560,south,3.88,75.88
22,4.2,101.75,50.02,580,500,south,1.7,76.58
23,4.4,102.44,46.91,540,424,south,3.19,79.39
24,4.6,104.54,46.13,512,516,south,2.24,81.35
25,4.8,107.32,46.08,552,376,south,2.78,83.22
26,5,110.09,47.53,528,288,south,3.12,84.05
27,5.2,112.83,49.7,632,312,south,3.5,84.47
28,5.4,116.24,52.5,640,376,south,4.41,85.09
29,5.6,120.31,55.91,668,508,south,5.31,86.1
30,5.8,125.05,59.89,656,516,south,6.2,87.65
31,6,129.14,64.68,704,568,east,6.3,88.5
32,6.2,133.28,70.26,672,664,east,6.95,89.43
33,6.4,136.15,76.87,668,580,east,7.2,89.3
34,6.6,137.69,82.93,680,508,east,6.25,88.66
35,6.8,140.78,90.54,684,580,east,8.22,89.61
36,7,142.57,98.39,700,584,platform reversal,8.05,89.9
37,7.2,144.44,105.61,660,584,platform reversal,7.45,90.92
38,7.4,144.97,113.67,640,588,east,8.09,91.21
39,7.6,144.89,122.55,632,576,east,8.87,91.55
40,7.8,144.02,130.51,644,572,east,8.01,91.78
41,8,143.9,137.83,628,576,east,7.32,93.19
42,8.2,143.11,145.88,516,664,east,8.09,94.66
43,8.4,140.29,149.27,552,508,north,4.41,93.16
44,8.6,135.85,152.19,516,524,north,5.32,90.16
45,8.8,131.25,153.43,600,452,north,4.76,86.5
46,9,124.28,154.16,640,528,north,7.01,80.63
47,9.2,116.62,155.72,648,648,north,7.82,74.79
48,9.4,108.92,155.97,612,564,north,7.7,68.45
49,9.6,100.53,157.28,628,576,north,8.49,62.43
50,9.8,92.16,157.51,560,612,north,8.37,56.3
51,10,83.87,156.72,616,592,north,8.33,50.02
52,10.2,76.42,155.61,616,552,north,7.53,44.55
53,10.4,71.28,153.85,576,512,north,5.44,40.11
54,10.6,65.51,150.07,584,608,north,6.9,33.89
55,10.8,62.06,144.54,584,576,west,6.52,27.38
56,11,60.1,138.07,604,564,west,6.77,20.79
57,11.2,58.18,130.09,652,608,west,8.21,13.19
58,11.4,56.17,122.8,668,640,west,7.55,6.31
59,11.6,54.1,115.41,564,664,west,7.68,0.75
60,11.8,53.4,112.4,508,384,platform,3.09,0
61,12,52.67,110.9,472,188,platform,1.67,0
62,12.2,51.16,110.96,528,224,platform,1.51,0
63,12.4,49.64,111.8,592,352,platform,1.74,0
64,12.6,49.63,112.58,572,204,platform,0.78,0
65,12.8,49.64,111.8,600,172,platform,0.78,0
66,13,49.63,112.58,604,116,platform,0.78,0
67,13.2,49.64,111.8,620,232,platform,0.78,0
68,13.4,49.64,111.8,612,344,platform,0,0
69,13.6,48.89,111.06,612,296,platform,1.06,0
70,13.8,48.13,111.09,576,252,platform,0.76,0
