Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00040.trk,,,,,,,
Object,0,,,,,,,
Samples,59,,,,,,,
id,83,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:11.800,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00040.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,21:27.3,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,21:39.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,166.21,29.93,156,228,e ext,138.53,-
2,0.2,164.79,29.68,268,240,e ext,137.5,1.44
3,0.4,162.68,29.79,316,328,e ext,135.71,2.11
4,0.6,159.89,30.24,368,340,e ext,133.18,2.83
5,0.8,158.5,29.98,400,216,e ext,132.21,1.41
6,1,155.05,29.77,492,324,e ext,129.58,3.45
7,1.2,153,27.94,456,260,e ext,129.08,2.75
8,1.4,150.28,28.3,420,252,e ext,126.73,2.75
9,1.6,148.24,28.3,400,332,e ext,125.16,2.03
10,1.8,145.53,29.48,472,256,e ext,122.32,2.96
11,2,142.81,31.47,520,248,s ext,118.96,3.37
12,2.2,138.75,32.96,584,368,south,114.9,4.33
13,2.4,134.69,35.15,588,364,south,110.41,4.62
14,2.6,130.62,36.29,616,364,south,106.62,4.22
15,2.8,126.55,38.11,612,308,south,102.4,4.46
16,3,121.79,39.04,672,476,south,98.32,4.85
17,3.2,117.69,38.84,672,424,south,95.59,4.1
18,3.4,114.26,38.42,596,372,south,93.56,3.46
19,3.6,110.8,38.71,556,520,south,91.06,3.47
20,3.8,107.33,39.69,620,368,south,88.07,3.61
21,4,103.13,42.16,676,480,south,83.52,4.87
22,4.2,99.62,44.48,688,516,south,79.54,4.21
23,4.4,96.81,47.51,732,484,south,75.43,4.13
24,4.6,93.99,50.46,716,592,south,71.38,4.07
25,4.8,89.73,52.42,716,440,south,67.31,4.69
26,5,87.59,53.74,684,368,south,65.01,2.51
27,5.2,83.28,55.53,716,544,south,61.13,4.67
28,5.4,81.15,58.33,756,384,south,57.62,3.52
29,5.6,79.01,61.1,720,428,south,54.13,3.5
30,5.8,75.41,64.4,716,532,south,49.41,4.89
31,6,71.74,65.39,740,464,south,46.71,3.8
32,6.2,68.03,65.57,716,440,south,44.88,3.72
33,6.4,64.28,65.7,704,412,south,43.32,3.75
34,6.6,61.23,65.15,696,360,south,42.89,3.1
35,6.8,58.95,65.52,628,356,west,41.95,2.31
36,7,55.84,64.91,720,428,west,41.93,3.16
37,7.2,52.67,63.43,676,404,west,42.88,3.5
38,7.4,51.05,62.23,608,324,west,43.9,2.01
39,7.6,47.8,60.64,572,444,west,45.35,3.62
40,7.8,45.42,60.93,564,504,west,45.08,2.4
41,8,43.94,63.17,640,308,west,42.87,2.69
42,8.2,42.53,67.18,636,340,west,38.94,4.25
43,8.4,42.78,72.39,672,420,west,33.73,5.21
44,8.6,43.01,78.37,680,440,west,27.75,5.99
45,8.8,44.04,86.02,664,512,west,20.04,7.72
46,9,44.98,93.49,724,572,west,12.54,7.53
47,9.2,47.38,100.82,704,588,west,5.16,7.72
48,9.4,49.68,103.99,620,468,west,2.38,3.92
49,9.6,50.43,107.11,576,428,platform,0,3.2
50,9.8,49.65,110.24,656,336,platform,0,3.23
51,10,48.89,110.27,744,328,platform,0,0.76
52,10.2,47.37,110.33,728,352,platform,0,1.52
53,10.4,46.6,111.95,744,216,platform,0,1.79
54,10.6,45.82,113.58,756,268,platform,0,1.81
55,10.8,45.04,115.23,748,232,platform,0,1.82
56,11,45.04,114.43,688,188,platform,0,0.8
57,11.2,45.82,113.58,636,316,platform,0,1.15
58,11.4,45.04,114.43,684,392,platform,0,1.15
59,11.6,44.28,114.48,692,312,platform,0,0.77
