Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00036.trk,,,,,,,
Object,0,,,,,,,
Samples,62,,,,,,,
id,60,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:12.400,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00036.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,11:24.4,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,11:36.8,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,169.98,38.15,284,352,e ext,137.19,-
2,0.2,169.35,41.49,332,328,e ext,134.91,3.4
3,0.4,170.21,45.16,388,208,e ext,133.82,3.77
4,0.6,171.17,50.84,444,304,e ext,132,5.77
5,0.8,171.4,55.81,404,248,e ext,130.03,4.97
6,1,170.22,62.18,424,292,e ext,126.4,6.48
7,1.2,169.74,67.24,436,284,e ext,124.1,5.08
8,1.4,167.78,72.54,424,292,east,120.5,5.66
9,1.6,166.52,76.61,476,276,east,118.07,4.25
10,1.8,164.45,79.76,500,248,east,115.21,3.77
11,2,163.07,81.81,436,208,east,113.34,2.47
12,2.2,161.69,83.81,400,164,east,111.51,2.43
13,2.4,160.37,86.66,476,244,east,109.57,3.14
14,2.6,158.99,88.57,564,264,east,107.82,2.35
15,2.8,157.67,91.31,592,244,east,106,3.04
16,3,155.6,94.02,568,288,east,103.47,3.41
17,3.2,154.91,94.91,528,208,east,102.64,1.12
18,3.4,154.22,95.79,436,220,east,101.81,1.12
19,3.6,150.71,99.21,436,416,platform reversal,97.83,4.9
20,3.8,147.8,100.02,488,396,platform reversal,94.84,3.03
21,4,144.16,100.79,532,340,platform reversal,91.13,3.72
22,4.2,139.74,99.95,608,404,east,86.87,4.5
23,4.4,133.98,99.89,644,452,east,81.17,5.77
24,4.6,128.96,99.08,680,484,east,76.35,5.08
25,4.8,123.99,98.3,648,472,east,71.61,5.03
26,5,119.05,96.83,668,412,east,67.04,5.15
27,5.2,114.84,94.69,664,460,east,63.43,4.72
28,5.4,110.67,92.58,648,400,east,59.99,4.68
29,5.6,107.9,90.49,720,344,south,58.03,3.47
30,5.8,104.44,88.39,672,432,south,55.6,4.04
31,6,102.37,86.98,644,348,south,54.3,2.5
32,6.2,99.6,86.24,668,336,south,52.16,2.87
33,6.4,96.83,84.8,764,368,south,50.44,3.13
34,6.6,93.34,83.99,760,484,south,47.92,3.57
35,6.8,89.14,83.11,744,432,south,44.89,4.29
36,7,84.9,82.88,704,464,south,41.59,4.24
37,7.2,80.63,83.31,688,392,south,38.01,4.29
38,7.4,77.05,83.04,660,340,south,35.57,3.6
39,7.6,74.15,82.08,676,448,west,34.28,3.05
40,7.8,72.7,81.95,672,324,west,33.43,1.46
41,8,69.76,80.2,628,372,west,33.11,3.42
42,8.2,66.8,79.13,612,384,west,32.36,3.15
43,8.4,63.82,78.78,680,332,west,31.15,3
44,8.6,60.08,79.87,612,316,west,28.59,3.89
45,8.8,57.06,80.27,620,432,west,27.21,3.05
46,9,54.8,81.57,640,300,west,25.38,2.61
47,9.2,52.56,84.48,616,368,west,22.11,3.67
48,9.4,50.32,88.24,636,332,west,17.99,4.37
49,9.6,47.32,93.62,624,476,west,12.36,6.17
50,9.8,45.05,99.17,604,428,west,6.85,5.99
51,10,43.53,103.21,516,376,west,3.25,4.31
52,10.2,41.99,106.48,520,348,west,0.9,3.62
53,10.4,41.21,108.14,488,216,platform,0,1.83
54,10.6,41.99,108.94,440,192,platform,0,1.11
55,10.8,44.31,109.66,532,324,platform,0,2.43
56,11,48.12,111.88,632,468,platform,0,4.41
57,11.2,47.35,112.7,640,280,platform,0,1.13
58,11.4,47.34,113.49,644,172,platform,0,0.79
59,11.6,48.09,115.02,656,196,platform,0,1.7
60,11.8,48.84,114.97,620,212,platform,0,0.76
61,12,48.83,115.75,560,148,platform,0,0.78
62,12.2,48.83,115.75,596,108,platform,0,0
