Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00067.trk,,,,,,,
Object,0,,,,,,,
Samples,165,,,,,,,
id,71,,,,,,,
trial,3,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:33.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00067.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,22:48.0,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,23:21.0,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,129.83,208.77,76,124,n ext,119.45,-
2,0.2,127.02,206.71,132,144,n ext,116.06,3.49
3,0.4,124.33,205.74,180,144,n ext,113.57,2.86
4,0.6,122.55,205.13,144,76,n ext,111.96,1.88
5,0.8,123.17,202.45,64,152,n ext,110.32,2.74
6,1,-,-,-,-,-,-,-
7,1.2,-,-,-,-,-,-,-
8,1.4,-,-,-,-,-,-,-
9,1.6,-,-,-,-,-,-,-
10,1.8,-,-,-,-,-,-,-
11,2,-,-,-,-,-,-,-
12,2.2,-,-,-,-,-,-,-
13,2.4,88.41,194.95,112,-,n ext,84.26,-
14,2.6,86.77,191.31,268,268,n ext,80.28,3.99
15,2.8,84.36,186.9,368,292,n ext,75.25,5.03
16,3,79.67,181.91,428,388,north,68.67,6.85
17,3.2,75.87,177.16,436,384,north,62.74,6.08
18,3.4,71.37,173.57,416,380,north,57.63,5.76
19,3.6,66.98,169.38,412,372,north,52.12,6.08
20,3.8,64.08,166.69,444,304,north,48.64,3.95
21,4,60.53,162.62,428,336,north,43.71,5.4
22,4.2,56.97,159.44,456,348,north,39.68,4.78
23,4.4,54.91,155.96,500,308,west,35.81,4.05
24,4.6,52.1,152.67,456,348,west,32.06,4.33
