Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00047.trk,,,,,,,
Object,0,,,,,,,
Samples,111,,,,,,,
id,82,,,,,,,
trial,3,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:22.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00047.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,37:29.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,37:51.8,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,126.02,205.38,136,140,n ext,114.39,-
2,0.2,125.65,201.4,200,256,n ext,111.17,3.99
3,0.4,124.51,198.17,300,212,n ext,108,3.43
4,0.6,123.38,194.99,436,208,n ext,104.91,3.37
5,0.8,122.28,191.88,416,228,n ext,101.89,3.3
6,1,120.21,186.73,520,288,north,96.78,5.55
7,1.2,118.26,182.65,568,296,north,92.54,4.52
8,1.4,115.54,178.49,572,316,north,87.7,4.97
9,1.6,112.89,174.48,596,288,north,83.03,4.8
10,1.8,110.26,169.79,628,360,north,77.94,5.37
11,2,107.77,166.91,604,296,north,74.17,3.81
12,2.2,105.3,163.32,596,320,north,69.96,4.36
13,2.4,102.88,159.86,628,352,north,65.89,4.23
14,2.6,99.74,155.67,708,392,north,60.81,5.24
15,2.8,96.67,152.4,664,364,north,56.39,4.48
16,3,94.4,150.02,688,456,north,53.15,3.28
17,3.2,90.68,148.42,696,408,north,49.21,4.06
18,3.4,87.72,146.92,740,428,north,45.96,3.32
19,3.6,84.04,146.23,664,372,north,42.69,3.75
20,3.8,81.1,145.59,720,336,north,40.08,3
21,4,78.18,145.01,664,416,north,37.56,2.98
22,4.2,76.69,145.85,652,476,north,37.12,1.71
