Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00030.trk,,,,,,,
Object,0,,,,,,,
Samples,159,,,,,,,
id,57,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:31.800,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00030.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,31:02.5,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,31:34.3,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,84.07,7.84,236,220,s ext,104.46,-
2,0.2,85.61,8.18,268,192,s ext,104.67,1.59
3,0.4,85.61,8.18,344,236,s ext,104.67,0
4,0.6,86.42,9.29,408,240,s ext,103.91,1.38
5,0.8,85.69,10.09,432,136,s ext,102.91,1.08
6,1,86.46,10.24,404,268,s ext,103.04,0.78
7,1.2,87.29,12.27,364,248,s ext,101.46,2.2
8,1.4,88.09,13.35,400,148,s ext,100.76,1.34
9,1.6,88.9,15.33,384,128,s ext,99.26,2.15
10,1.8,88.99,18.08,408,280,s ext,96.78,2.75
11,2,88.29,19.76,476,156,s ext,94.96,1.83
12,2.2,88.35,21.56,476,176,south,93.35,1.8
13,2.4,88.37,22.45,440,332,south,92.55,0.89
14,2.6,88.42,24.23,436,212,south,90.96,1.78
15,2.8,87.82,29.35,476,472,south,86.1,5.16
16,3,85.71,33.28,512,348,south,81.64,4.46
17,3.2,84.29,35.57,616,224,south,78.96,2.69
18,3.4,82.15,38.54,644,324,south,75.35,3.66
19,3.6,81.48,40.9,648,260,south,72.93,2.46
20,3.8,80.78,42.42,676,556,south,71.26,1.67
21,4,81.61,45.81,704,412,south,68.62,3.5
22,4.2,83.14,48.46,684,284,south,67.06,3.06
