Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00004.trk,,,,,,,
Object,0,,,,,,,
Samples,53,,,,,,,
id,44,,,,,,,
trial,4,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:10.600,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00004.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,28:57.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,29:08.2,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,166.2,28.93,60,152,e ext,139.09,-
2,0.2,-,-,-,-,-,-,-
3,0.4,161.32,33.41,132,-,e ext,132.53,-
4,0.6,158.54,35.68,224,252,e ext,128.95,3.59
5,0.8,155.78,38.78,272,296,e ext,124.93,4.15
6,1,152.33,40.21,364,332,e ext,121.27,3.74
7,1.2,146.84,41.42,420,392,east,116.07,5.62
8,1.4,142.08,41.34,444,472,east,112.25,4.77
9,1.6,136.66,41.34,488,476,south,107.95,5.42
10,1.8,130.58,40.48,544,536,south,103.81,6.13
11,2,124.49,40.18,524,492,south,99.48,6.1
12,2.2,118.37,40.38,576,484,south,94.95,6.13
13,2.4,112.18,41.04,572,508,south,90.22,6.22
14,2.6,107.32,42.1,572,480,south,86.22,4.97
15,2.8,102.43,44.54,572,464,south,81.22,5.47
16,3,98.23,48.36,584,492,south,75.61,5.68
17,3.2,94.72,53.59,668,476,south,69.34,6.29
18,3.4,91.92,58.71,628,512,south,63.6,5.84
19,3.6,88.41,64.4,664,596,south,56.98,6.69
20,3.8,85.59,68.58,684,596,south,51.97,5.04
21,4,82.03,71.17,676,624,south,47.69,4.41
22,4.2,80.59,71.76,672,572,south,46.32,1.55
23,4.4,77.71,72.19,724,484,south,44.22,2.92
24,4.6,76.25,72.03,664,372,south,43.51,1.46
25,4.8,74.78,71.11,604,604,south,43.46,1.73
26,5,74.04,70.27,672,372,south,43.75,1.12
27,5.2,73.28,68.66,648,272,south,44.67,1.78
28,5.4,72.49,65.5,692,444,south,46.97,3.26
29,5.6,70.2,62.82,680,420,south,48.29,3.52
30,5.8,67.85,59.25,676,372,south,50.62,4.27
31,6,65.49,56.38,640,332,south,52.53,3.72
32,6.2,63.89,54.41,592,424,south,53.95,2.54
33,6.4,60.01,53.5,532,572,south,53.92,3.99
34,6.6,57.73,54.61,604,320,south,52.4,2.53
35,6.8,54.74,57.23,524,360,south,49.31,3.98
36,7,53.42,62.76,608,476,west,43.64,5.69
37,7.2,53.68,69.39,612,492,west,37.14,6.63
38,7.4,53.94,77.49,644,600,west,29.23,8.11
39,7.6,53.31,83.77,664,556,west,22.94,6.31
40,7.8,51.13,90.68,636,628,west,15.75,7.25
41,8,48.89,96.1,668,512,west,10,5.86
42,8.2,46.61,100.81,588,424,west,5.18,5.24
43,8.4,44.31,104.01,556,456,west,2.31,3.95
44,8.6,44.31,108.85,588,408,platform,0,4.84
45,8.8,45.84,111.19,648,372,platform,0,2.79
46,9,45.84,111.19,636,156,platform,0,0
47,9.2,45.83,111.99,656,140,platform,0,0.8
48,9.4,45.82,112.79,620,124,platform,0,0.8
49,9.6,45.83,111.99,624,108,platform,0,0.8
50,9.8,45.84,111.19,616,104,platform,0,0.8
51,10,46.6,111.16,620,284,platform,0,0.77
52,10.2,45.83,111.99,608,132,platform,0,1.13
53,10.4,45.84,111.19,628,132,platform,0,0.8
