Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00014.trk,,,,,,,
Object,0,,,,,,,
Samples,61,,,,,,,
id,52,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:12.200,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00014.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,55:33.9,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,55:46.1,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,84.14,9.75,400,304,s ext,102.69,-
2,0.2,84.14,9.75,448,192,s ext,102.69,0
3,0.4,84.96,10.87,520,272,s ext,101.92,1.38
4,0.6,85.03,12.75,512,368,s ext,100.18,1.88
5,0.8,85.06,13.69,576,312,s ext,99.32,0.94
6,1,84.33,14.46,628,372,s ext,98.34,1.06
7,1.2,82.87,15.98,576,452,s ext,96.4,2.11
8,1.4,83.64,16.15,588,404,s ext,96.51,0.79
9,1.6,85.2,17.39,540,368,s ext,95.93,2
10,1.8,86.03,19.36,548,232,s ext,94.42,2.14
11,2,87.62,22.33,564,264,south,92.35,3.37
12,2.2,88.45,25.11,600,236,south,90.18,2.9
13,2.4,89.26,27.84,604,308,south,88.09,2.85
14,2.6,91.53,30.72,500,536,south,86.62,3.66
15,2.8,91.55,31.57,528,348,south,85.89,0.85
16,3,93.81,36,452,508,south,83.25,4.97
17,3.2,92.39,37.52,580,376,south,81.21,2.08
18,3.4,91.69,39.09,696,236,south,79.51,1.72
19,3.6,90.28,41.38,760,272,south,76.82,2.69
20,3.8,88.89,44.44,704,368,south,73.48,3.37
21,4,88.22,47.55,604,428,south,70.51,3.18
22,4.2,87.51,48.26,684,232,south,69.53,1
23,4.4,86.81,49.75,744,212,south,67.9,1.65
24,4.6,85.39,51.92,688,728,south,65.31,2.59
25,4.8,83.97,53.3,744,448,south,63.37,1.98
26,5,81.07,54.45,800,344,south,60.85,3.11
27,5.2,78.9,55.68,804,372,south,58.68,2.5
28,5.4,76.71,56.11,712,484,south,57.23,2.24
29,5.6,74.5,56.52,768,496,south,55.83,2.25
30,5.8,73.01,56.26,788,428,south,55.42,1.52
31,6,70.75,55.84,688,412,south,54.88,2.29
32,6.2,66.96,55.07,616,760,south,54.23,3.87
33,6.4,64.75,57.03,688,488,south,51.68,2.95
34,6.6,61.8,59.64,736,384,south,48.35,3.94
35,6.8,58.83,62.26,708,436,south,45.1,3.96
36,7,56.62,65.07,784,404,west,41.93,3.57
37,7.2,54.43,68.71,692,508,west,37.93,4.25
38,7.4,53.02,72.52,632,596,west,33.93,4.06
39,7.6,53.89,75.88,648,432,west,30.79,3.48
40,7.8,53.96,78.29,672,424,west,28.44,2.41
41,8,54.05,82.27,640,656,west,24.54,3.98
42,8.2,53.33,84.56,732,284,west,22.16,2.4
43,8.4,52.62,87.64,780,312,west,19,3.17
44,8.6,51.88,89.95,780,408,west,16.6,2.42
45,8.8,50.39,93,788,312,west,13.32,3.4
46,9,48.88,95.3,780,352,west,10.79,2.75
47,9.2,48.14,99.25,556,760,west,6.78,4.01
48,9.4,48.92,100.84,516,352,west,5.36,1.78
49,9.6,48.15,100.83,600,300,west,5.21,0.77
50,9.8,46.62,102.41,684,348,west,3.59,2.2
51,10,44.31,105.63,632,444,west,0.81,3.96
52,10.2,44.31,108.85,684,404,platform,0,3.22
53,10.4,45.06,112.03,728,380,platform,0,3.26
54,10.6,44.3,112.07,688,208,platform,0,0.77
55,10.8,43.52,112.92,704,296,platform,0,1.15
56,11,44.3,112.07,756,228,platform,0,1.15
57,11.2,45.06,112.03,740,176,platform,0,0.77
58,11.4,44.3,111.27,716,256,platform,0,1.08
59,11.6,44.31,110.46,676,128,platform,0,0.8
60,11.8,45.07,110.43,640,124,platform,0,0.77
61,12,45.07,110.43,652,196,platform,0,0
