Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00002.trk,,,,,,,
Object,0,,,,,,,
Samples,65,,,,,,,
id,44,,,,,,,
trial,2,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:13.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00002.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,25:36.6,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,25:49.6,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,79.41,7.64,88,344,s ext,103.2,-
2,0.2,82.59,9.4,152,144,s ext,102.51,3.63
3,0.4,81.94,12.06,252,244,s ext,99.78,2.74
4,0.6,82.83,15.05,336,348,s ext,97.26,3.12
5,0.8,83.71,17.99,464,424,s ext,94.82,3.07
6,1,82.32,21.31,540,388,south,91.23,3.59
7,1.2,81.69,24.73,532,304,south,87.81,3.48
8,1.4,81.03,27.23,536,324,south,85.24,2.58
9,1.6,81.91,30.88,552,472,south,82.21,3.76
10,1.8,82.83,36.15,600,400,south,77.79,5.35
11,2,83.69,40.46,620,324,south,74.33,4.39
12,2.2,85.26,44.77,656,412,south,71.31,4.59
13,2.4,85.32,47.98,636,460,south,68.59,3.21
14,2.6,85.38,51.14,676,424,south,65.95,3.16
15,2.8,85.43,54.26,732,480,south,63.39,3.12
16,3,84.04,57.94,712,508,south,59.56,3.93
17,3.2,84.08,60.98,676,428,south,57.05,3.05
18,3.4,84.12,63.99,728,532,south,54.63,3.01
19,3.6,85.59,69.31,740,460,south,51.42,5.52
20,3.8,87.74,75.26,760,548,south,48.68,6.33
21,4,89.85,81.05,792,544,south,46.66,6.16
22,4.2,91.93,86.71,784,528,south,45.26,6.03
23,4.4,93.3,91.57,804,588,south,44.14,5.05
24,4.6,94.67,95.7,836,568,south,43.82,4.35
25,4.8,95.35,97.76,816,540,south,43.82,2.17
26,5,94.62,101.81,820,580,west,42.11,4.12
27,5.2,93.89,105.85,796,504,west,40.64,4.11
28,5.4,92.45,108.53,772,384,west,38.87,3.04
29,5.6,91.73,110.55,748,576,west,38,2.15
30,5.8,91,112.57,752,668,west,37.23,2.15
31,6,88.88,112.54,688,496,west,35.1,2.12
32,6.2,86.77,111.15,640,384,west,33.02,2.52
33,6.4,85.39,108.4,696,416,west,31.87,3.07
34,6.6,84.72,105.66,688,336,west,31.67,2.82
35,6.8,84.74,103.61,708,276,west,32.07,2.05
36,7,84.77,101.56,708,512,west,32.6,2.05
37,7.2,85.49,100.21,720,332,west,33.68,1.53
38,7.4,86.92,98.2,684,460,west,35.69,2.47
39,7.6,86.95,95.46,664,676,west,36.75,2.74
40,7.8,86.96,94.78,756,396,west,37.04,0.69
41,8,85.57,91.97,824,500,south,37.1,3.13
42,8.2,83.47,88.4,796,412,south,37.25,4.14
43,8.4,80.63,86.14,780,400,south,36.22,3.63
44,8.6,77.77,83.1,780,504,south,36.04,4.18
45,8.8,74.15,82.08,728,508,west,34.28,3.75
46,9,70.5,81.01,772,468,west,32.86,3.81
47,9.2,67.55,80.71,704,396,west,31.46,2.96
48,9.4,64.59,81.15,680,616,west,29.48,2.99
49,9.6,62.37,82.42,664,632,west,27.27,2.56
50,9.8,60.17,86,736,464,west,23.07,4.21
51,10,58.72,91.21,720,472,west,17.83,5.41
52,10.2,57.99,96.47,708,452,west,13.05,5.31
53,10.4,55.73,102.48,724,504,west,6.81,6.41
54,10.6,54.97,105.51,692,352,west,4.07,3.13
55,10.8,54.2,107.81,660,312,west,2.18,2.42
56,11,51.17,110.19,628,448,platform,0,3.86
57,11.2,48.87,112.62,684,360,platform,0,3.34
58,11.4,48.87,112.62,632,124,platform,0,0
59,11.6,49.63,112.58,644,76,platform,0,0.76
60,11.8,49.63,112.58,628,104,platform,0,0
61,12,48.87,112.62,676,296,platform,0,0.76
62,12.2,48.88,111.84,684,312,platform,0,0.78
63,12.4,48.13,111.09,712,180,platform,0,1.06
64,12.6,47.36,111.91,684,220,platform,0,1.13
65,12.8,47.35,112.7,676,224,platform,0,0.79
