Track file,C:\Users\tiago\neuroscience\rat_navigation\data\ethovision\exp nestle morris_0003\data\track_00015.trk,,,,,,,
Object,0,,,,,,,
Samples,105,,,,,,,
id,52,,,,,,,
trial,3,,,,,,,
comment,,,,,,,,
Status,Acquired,,,,,,,
Trial duration,0000:00:00:21.000,dd:HH:mm:ss,,,,,,
Tracking profile,Tracking profile (1),,,,,,,
Arena,wm trial,,,,,,,
Track file,track_00015.trk,,,,,,,
Object,0,,,,,,,
Arena profile,wm learning ,,,,,,,
Start date & time,56:58.9,yyyy-MM-dd HH:mm:ss,,,,,,
Stop date & time,57:19.9,yyyy-MM-dd HH:mm:ss,,,,,,
Trial number,1,,,,,,,
Mobility low,20,,,,,,,
Mobility high,60,,,,,,,
Movie file,,,,,,,,
Maximum voltage x,0,,,,,,,
Maximum voltage y,0,,,,,,,
Mobility running av,1,,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,-,-,-,-,-,-,-
2,0.2,-,-,-,-,-,-,-
3,0.4,116.45,204.17,112,-,n ext,107.43,-
4,0.6,114.63,202.7,172,140,n ext,105.16,2.34
5,0.8,113.69,201.5,292,200,n ext,103.64,1.52
6,1,111.91,200.09,316,168,n ext,101.44,2.27
7,1.2,110.08,197.78,228,296,n ext,98.49,2.95
8,1.4,109.07,194.78,284,248,n ext,95.49,3.17
9,1.6,108.97,192.93,384,204,n ext,93.96,1.86
10,1.8,107.16,189.84,424,216,n ext,90.41,3.58
11,2,106.17,186.09,440,240,north,86.86,3.88
12,2.2,106.13,185.2,440,264,north,86.15,0.89
13,2.4,106.87,183.59,480,288,north,85.39,1.78
14,2.6,107.57,181.11,516,260,north,83.99,2.57
15,2.8,106.65,178.37,460,432,north,81.34,2.89
16,3,106.54,175.81,460,320,north,79.4,2.56
17,3.2,105.67,173.99,552,228,north,77.49,2.02
18,3.4,104.76,170.53,596,284,north,74.4,3.57
19,3.6,104.67,168.07,592,276,north,72.65,2.47
20,3.8,103.81,165.53,560,432,north,70.29,2.68
21,4,103.01,164.62,592,224,north,69.09,1.21
22,4.2,100.62,161.97,712,408,north,65.54,3.57
23,4.4,99.03,159.47,652,380,north,62.7,2.96
