Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00069.trk
Object,0
Samples,450
treatment,1,
cage,43,
mark,2,
id,83,
trial,1,
date,2009-07-26 14:07:05.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,108.33,18.77,504.00,540.00,s ext,88.55,-
2,0.20,108.61,17.78,380.00,204.00,s ext,89.55,1.04
3,0.40,108.90,16.77,484.00,160.00,s ext,90.56,1.05
4,0.60,109.20,15.76,472.00,292.00,s ext,91.58,1.06
5,0.80,112.99,14.41,508.00,276.00,s ext,94.72,4.03
6,1.00,113.67,17.29,468.00,384.00,s ext,92.69,2.97
7,1.20,113.00,19.31,536.00,180.00,south,90.63,2.13
8,1.40,112.35,21.31,604.00,292.00,south,88.62,2.10
9,1.60,111.41,24.24,608.00,292.00,south,85.68,3.08
10,1.80,107.52,27.36,652.00,316.00,south,80.90,4.99
11,2.00,105.78,28.39,648.00,236.00,south,79.07,2.02
12,2.20,102.22,31.25,672.00,272.00,south,74.73,4.57
13,2.40,100.60,32.17,612.00,220.00,south,73.09,1.86
14,2.60,98.88,33.93,632.00,196.00,south,70.68,2.47
15,2.80,95.76,36.46,620.00,532.00,south,66.91,4.01
16,3.00,98.13,39.10,676.00,456.00,south,65.92,3.54
17,3.20,100.19,42.48,728.00,428.00,south,64.33,3.96
18,3.40,104.60,44.89,816.00,464.00,south,65.21,5.03
19,3.60,110.04,46.17,836.00,436.00,south,67.98,5.58
20,3.80,116.57,46.11,820.00,640.00,south,72.79,6.53
21,4.00,122.14,44.98,844.00,480.00,south,77.77,5.68
22,4.20,126.30,42.32,740.00,576.00,south,82.68,4.94
23,4.40,131.12,38.48,820.00,640.00,south,88.84,6.16
24,4.60,132.45,34.02,804.00,656.00,south,92.71,4.66
25,4.80,130.69,31.24,788.00,568.00,south,93.23,3.28
26,5.00,124.97,28.42,736.00,524.00,south,91.11,6.37
27,5.20,118.36,25.20,760.00,568.00,south,89.13,7.36
28,5.40,110.74,21.47,704.00,552.00,south,87.58,8.48
29,5.60,102.24,16.14,636.00,612.00,s ext,87.72,10.03
30,5.80,97.66,12.20,528.00,340.00,s ext,89.18,6.04
31,6.00,99.30,13.20,588.00,156.00,s ext,88.98,1.92
32,6.20,97.66,12.20,452.00,192.00,s ext,89.18,1.92
33,6.40,97.31,14.22,428.00,232.00,s ext,87.20,2.05
34,6.60,95.36,15.20,508.00,240.00,s ext,85.50,2.18
35,6.80,86.54,11.82,584.00,388.00,s ext,85.42,9.45
36,7.00,77.13,10.87,548.00,564.00,s ext,83.73,9.46
37,7.20,69.64,10.68,576.00,508.00,s ext,82.58,7.49
38,7.40,66.18,11.88,520.00,376.00,s ext,80.99,3.66
39,7.60,58.94,11.09,432.00,440.00,s ext,81.27,7.29
40,7.80,57.07,10.59,408.00,352.00,s ext,81.73,1.93
41,8.00,56.79,9.64,348.00,316.00,s ext,82.69,0.99
42,8.20,59.45,12.98,468.00,344.00,s ext,79.39,4.27
43,8.40,63.09,13.90,516.00,288.00,s ext,78.68,3.75
44,8.60,69.90,12.61,624.00,388.00,s ext,80.70,6.93
45,8.80,79.02,11.11,624.00,424.00,s ext,83.94,9.24
46,9.00,90.47,10.02,568.00,528.00,s ext,88.45,11.50
47,9.20,99.91,10.13,596.00,524.00,s ext,92.01,9.44
48,9.40,109.24,9.68,552.00,604.00,s ext,96.79,9.34
