Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00150.trk
Object,0
Samples,397
treatment,3,
cage,52,
mark,2,
id,95,
trial,2,
date,2009-07-27 16:34:17.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,212.14,219.29,444.00,492.00,n ext,185.99,-
2,0.20,210.54,217.69,456.00,236.00,n ext,183.75,2.26
3,0.40,206.34,213.45,500.00,228.00,n ext,177.86,5.96
4,0.60,206.89,213.87,596.00,448.00,n ext,178.55,0.69
5,0.80,202.80,209.74,480.00,436.00,n ext,172.81,5.81
6,1.00,203.23,210.44,564.00,356.00,n ext,173.57,0.82
7,1.20,200.72,207.88,592.00,100.00,n ext,170.04,3.58
8,1.40,195.83,202.91,748.00,316.00,n ext,163.17,6.97
9,1.60,190.28,197.09,712.00,356.00,north,155.25,8.05
10,1.80,184.43,191.23,788.00,332.00,north,147.09,8.28
11,2.00,175.50,182.44,804.00,440.00,north,134.73,12.53
12,2.20,169.68,176.44,812.00,440.00,north,126.54,8.36
13,2.40,163.64,169.87,792.00,452.00,north,117.89,8.92
14,2.60,157.56,162.81,760.00,560.00,north,108.99,9.31
15,2.80,155.16,158.50,884.00,564.00,north,104.73,4.94
16,3.00,154.05,153.92,908.00,600.00,east,101.53,4.71
17,3.20,154.51,149.58,952.00,764.00,east,99.97,4.37
18,3.40,155.06,144.60,944.00,776.00,east,98.42,5.01
19,3.60,157.87,141.23,1072.00,752.00,east,99.77,4.38
20,3.80,162.27,136.93,972.00,924.00,east,102.52,6.15
21,4.00,167.32,132.44,964.00,864.00,east,106.05,6.77
22,4.20,172.79,124.76,796.00,832.00,east,109.61,9.43
23,4.40,178.34,116.18,788.00,744.00,e ext,113.79,10.21
24,4.60,184.79,105.65,684.00,680.00,e ext,119.43,12.35
25,4.80,188.04,98.40,532.00,408.00,e ext,122.69,7.94
26,5.00,188.45,94.23,556.00,344.00,e ext,123.27,4.19
27,5.20,188.94,90.03,592.00,268.00,e ext,124.03,4.23
28,5.40,188.32,87.77,596.00,140.00,e ext,123.61,2.34
29,5.60,188.94,83.57,548.00,256.00,e ext,124.71,4.25
30,5.80,188.75,79.29,544.00,388.00,e ext,125.16,4.28
31,6.00,186.89,75.10,616.00,336.00,e ext,124.10,4.58
32,6.20,184.71,73.19,612.00,340.00,e ext,122.37,2.90
33,6.40,181.29,73.43,600.00,332.00,e ext,118.99,3.42
34,6.60,175.89,75.67,668.00,492.00,east,113.23,5.85
35,6.80,171.55,81.01,696.00,428.00,east,107.92,6.88
36,7.00,166.40,87.41,752.00,536.00,east,101.87,8.22
37,7.20,161.43,94.50,820.00,532.00,east,96.27,8.66
38,7.40,155.34,101.64,800.00,684.00,east,89.93,9.38
39,7.60,150.57,107.73,828.00,636.00,reveral larger,85.33,7.74
40,7.80,144.81,112.25,872.00,748.00,platform reversal,80.03,7.31
41,8.00,140.20,116.99,836.00,732.00,reveral larger,76.15,6.62
42,8.20,133.64,119.02,956.00,904.00,east,70.11,6.86
43,8.40,127.07,119.81,1024.00,924.00,east,63.90,6.62
44,8.60,120.39,119.88,1020.00,932.00,east,57.47,6.68
45,8.80,112.23,119.81,1040.00,1036.00,north,49.65,8.16
46,9.00,103.99,119.21,1076.00,964.00,north,41.62,8.26
47,9.20,96.50,118.86,1004.00,960.00,north,34.46,7.50
48,9.40,90.01,117.92,1064.00,972.00,north,28.13,6.56
49,9.60,86.62,116.00,1020.00,748.00,north,24.24,3.90
