Track file,I:\Rat Navigation Data\backup1\exp nestle 3_0001\data\track_00107.trk
Object,0
Samples,450
treatment,2,
cage,41,
mark,1,
id,73,
trial,3,
date,2009-07-27 14:10:00.000,yyyy-MM-dd HH:mm:ss
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0.00,207.18,-12.82,312.00,108.00,e ext,180.29,-
2,0.20,206.96,-12.01,304.00,232.00,e ext,179.63,0.84
3,0.40,207.38,-10.51,452.00,380.00,e ext,179.06,1.56
4,0.60,203.22,-2.73,520.00,468.00,e ext,171.12,8.82
5,0.80,198.40,6.06,588.00,484.00,e ext,162.14,10.03
6,1.00,190.92,22.89,528.00,644.00,e ext,146.87,18.41
7,1.20,185.65,35.43,500.00,396.00,e ext,136.22,13.61
8,1.40,181.10,46.44,492.00,376.00,east,127.42,11.91
9,1.60,178.24,52.18,468.00,264.00,east,122.59,6.41
10,1.80,173.95,58.33,532.00,360.00,east,116.36,7.50
11,2.00,173.13,58.62,544.00,228.00,east,115.50,0.86
12,2.20,169.92,59.82,548.00,324.00,east,112.07,3.43
13,2.40,166.75,61.01,524.00,424.00,east,108.68,3.39
14,2.60,164.65,63.08,540.00,320.00,east,105.98,2.95
15,2.80,160.41,69.56,544.00,364.00,east,99.85,7.74
16,3.00,155.40,77.00,664.00,480.00,east,92.98,8.96
17,3.20,151.76,86.01,664.00,600.00,east,87.57,9.72
18,3.40,147.80,96.56,676.00,636.00,platform reversal,82.56,11.27
19,3.60,146.95,107.70,712.00,644.00,platform reversal,81.72,11.17
20,3.80,147.47,120.48,660.00,724.00,reveral larger,83.93,12.79
21,4.00,149.33,131.72,640.00,708.00,east,88.62,11.40
22,4.20,153.31,143.25,768.00,760.00,east,96.28,12.20
23,4.40,160.08,156.54,660.00,820.00,east,108.09,14.92
24,4.60,169.16,170.18,728.00,740.00,east,122.74,16.39
25,4.80,180.90,185.58,724.00,780.00,north,140.96,19.36
26,5.00,194.03,200.81,676.00,704.00,n ext,160.48,20.11
27,5.20,205.61,213.25,568.00,636.00,n ext,177.15,17.00
28,5.40,215.21,222.91,576.00,392.00,n ext,190.61,13.62
29,5.60,215.21,222.91,452.00,140.00,n ext,190.61,0.00
30,5.80,216.31,224.00,368.00,140.00,n ext,192.15,1.55
31,6.00,214.96,222.93,356.00,364.00,n ext,190.42,1.73
32,6.20,209.95,218.73,296.00,380.00,n ext,183.89,6.54
33,6.40,198.50,208.91,364.00,476.00,n ext,168.85,15.08
34,6.60,186.73,199.10,496.00,364.00,n ext,153.56,15.32
35,6.80,177.90,192.27,596.00,412.00,n ext,142.39,11.17
36,7.00,162.19,180.50,680.00,620.00,north,122.77,19.62
37,7.20,145.08,169.26,644.00,780.00,north,102.33,20.47
38,7.40,132.21,161.58,736.00,764.00,north,87.42,14.99
39,7.60,116.90,155.14,772.00,812.00,north,71.45,16.61
40,7.80,102.81,151.06,728.00,900.00,north,58.40,14.67
41,8.00,90.63,149.74,764.00,788.00,north,49.61,12.25
42,8.20,77.56,150.94,788.00,848.00,north,43.87,13.12
43,8.40,65.28,154.49,828.00,888.00,north,43.86,12.78
44,8.60,51.12,161.07,744.00,892.00,north,50.17,15.62
45,8.80,38.87,168.98,792.00,712.00,north,60.38,14.58
46,9.00,27.03,177.73,708.00,636.00,north,72.63,14.72
47,9.20,17.98,184.88,636.00,448.00,north,82.88,11.54
48,9.40,7.39,193.73,604.00,456.00,north,95.67,13.80
49,9.60,0.44,199.07,508.00,496.00,n ext,103.80,8.76
50,9.80,1.32,196.43,596.00,416.00,n ext,101.08,2.79
51,10.00,4.60,190.89,620.00,472.00,w ext,94.64,6.44
52,10.20,8.86,183.34,676.00,544.00,west,85.99,8.66
53,10.40,14.81,171.18,672.00,668.00,west,72.55,13.54
54,10.60,19.55,158.04,732.00,700.00,west,59.05,13.97
55,10.80,24.52,143.21,696.00,700.00,west,44.43,15.63
56,11.00,28.25,126.35,688.00,728.00,west,30.65,17.27
57,11.20,31.40,109.24,720.00,688.00,west,21.07,17.39
58,11.40,33.94,93.05,712.00,768.00,west,19.01,16.39
59,11.60,33.46,75.90,780.00,796.00,west,27.47,17.15
60,11.80,31.46,60.07,768.00,796.00,west,40.67,15.96
61,12.00,28.78,47.26,716.00,772.00,west,52.97,13.09
62,12.20,25.03,35.18,704.00,860.00,west,65.33,12.65
63,12.40,20.72,25.38,744.00,736.00,west,76.00,10.70
64,12.60,16.42,17.53,716.00,764.00,west,84.95,8.95
65,12.80,11.71,10.26,628.00,680.00,south,93.58,8.66
66,13.00,9.73,5.99,608.00,660.00,s ext,98.28,4.71
67,13.20,10.77,4.27,536.00,664.00,s ext,99.31,2.01
68,13.40,16.94,6.53,632.00,536.00,s ext,94.56,6.57
69,13.60,25.78,9.15,588.00,604.00,s ext,88.74,9.22
70,13.80,38.14,12.40,556.00,624.00,s ext,82.05,12.78
71,14.00,55.22,15.16,468.00,672.00,s ext,77.18,17.30
72,14.20,68.83,16.98,548.00,472.00,s ext,76.23,13.73
73,14.40,82.74,18.29,532.00,560.00,s ext,78.08,13.97
74,14.60,102.03,17.14,560.00,612.00,s ext,86.74,19.31
75,14.80,117.80,14.80,552.00,552.00,s ext,97.08,15.95
76,15.00,134.72,11.34,580.00,660.00,s ext,110.29,17.27
77,15.20,152.93,5.24,540.00,608.00,s ext,127.25,19.20
78,15.40,169.79,-1.85,464.00,644.00,s ext,144.43,18.30
79,15.60,178.21,-5.93,540.00,436.00,s ext,153.45,9.36
80,15.80,192.74,-14.40,420.00,640.00,s ext,170.02,16.82
81,16.00,200.56,-19.37,368.00,476.00,s ext,179.22,9.27
82,16.20,205.09,-22.21,392.00,336.00,s ext,184.52,5.34
83,16.40,206.55,-22.20,428.00,412.00,s ext,185.65,1.47
84,16.60,209.04,-22.87,404.00,480.00,s ext,187.99,2.57
85,16.80,212.36,-24.57,368.00,508.00,s ext,191.64,3.74
86,17.00,210.40,-21.00,532.00,412.00,s ext,187.87,4.07
87,17.20,211.69,-20.07,476.00,536.00,s ext,188.30,1.59
88,17.40,210.49,-16.18,556.00,472.00,e ext,184.96,4.08
89,17.60,207.99,-9.69,560.00,508.00,e ext,179.06,6.95
90,17.80,204.33,0.74,556.00,588.00,e ext,170.04,11.05
91,18.00,201.31,12.48,524.00,544.00,e ext,161.13,12.11
92,18.20,197.29,26.79,480.00,564.00,e ext,150.53,14.87
93,18.40,194.98,38.08,544.00,416.00,e ext,143.50,11.52
94,18.60,192.94,53.91,432.00,544.00,e ext,135.70,15.97
95,18.80,189.52,70.86,484.00,508.00,e ext,127.58,17.29
96,19.00,188.04,89.87,480.00,500.00,e ext,123.15,19.06
97,19.20,187.48,106.66,572.00,532.00,e ext,122.15,16.80
98,19.40,187.35,122.81,516.00,504.00,e ext,123.62,16.15
99,19.60,189.95,143.12,532.00,552.00,e ext,130.78,20.48
100,19.80,192.56,161.30,532.00,576.00,e ext,139.46,18.36
101,20.00,198.02,179.64,548.00,520.00,e ext,152.45,19.14
102,20.20,201.40,191.29,500.00,496.00,e ext,161.25,12.13
103,20.40,206.83,203.51,460.00,480.00,e ext,172.48,13.37
104,20.60,209.60,210.45,524.00,472.00,e ext,178.74,7.47
105,20.80,212.42,216.49,548.00,552.00,e ext,184.56,6.66
106,21.00,214.36,220.12,548.00,520.00,e ext,188.27,4.12
107,21.20,213.36,219.71,624.00,572.00,e ext,187.22,1.09
108,21.40,212.40,219.10,612.00,612.00,n ext,186.08,1.13
109,21.60,215.41,222.72,600.00,652.00,n ext,190.66,4.71
110,21.80,212.82,220.77,660.00,604.00,n ext,187.42,3.24
111,22.00,213.02,221.84,552.00,476.00,n ext,188.22,1.09
112,22.20,207.77,218.76,380.00,452.00,n ext,182.18,6.09
113,22.40,200.68,215.04,428.00,456.00,n ext,174.28,8.01
114,22.60,193.21,211.24,464.00,348.00,n ext,166.05,8.38
115,22.80,186.65,208.16,432.00,344.00,n ext,159.00,7.24
116,23.00,176.40,204.16,384.00,512.00,n ext,148.54,11.01
117,23.20,164.74,199.18,476.00,484.00,n ext,136.46,12.68
118,23.40,149.06,193.58,520.00,564.00,n ext,121.17,16.65
119,23.60,135.27,189.19,580.00,540.00,n ext,108.42,14.48
120,23.80,117.87,186.11,552.00,588.00,n ext,95.03,17.67
121,24.00,102.64,184.18,604.00,548.00,n ext,84.96,15.34
