Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00004.trk,,,,,,,
Object,0,,,,,,,
Samples,153,,,,,,,
treatment,1,,,,,,,
cage,26,,,,,,,
mark,1,,,,,,,
id,90,,,,,,,
trial,4,,,,,,,
date,37:47.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,204.97,-18.23,500,544,s ext,181.91,-
2,0.2,208.71,-21.37,332,568,s ext,186.79,4.89
3,0.4,208.3,-19.75,416,260,s ext,185.45,1.68
4,0.6,206.29,-15.56,412,372,s ext,181.27,4.65
5,0.8,200.91,-7.75,516,304,s ext,172.24,9.48
6,1,194.7,1.72,552,308,e ext,161.59,11.33
7,1.2,189.99,10.2,584,440,east,152.86,9.7
8,1.4,183.79,21.23,604,468,east,141.63,12.65
9,1.6,178.31,31.1,692,480,east,131.84,11.29
10,1.8,171.11,44.29,660,568,east,119.26,15.03
11,2,164.87,55.62,688,524,east,108.9,12.94
12,2.2,159.53,66.12,736,544,east,100.13,11.78
13,2.4,155.82,73.25,740,428,east,94.38,8.03
14,2.6,153.25,79.8,716,496,east,90.23,7.03
15,2.8,152.03,84.78,796,368,east,88.04,5.13
16,3,151.32,92.13,796,424,reveral larger,86.36,7.38
17,3.2,150.63,96.95,720,564,reveral larger,85.37,4.87
18,3.4,147.85,103.47,732,524,platform reversal,82.45,7.09
19,3.6,146.27,106.4,844,408,platform reversal,80.97,3.32
20,3.8,144.08,109.93,840,428,platform reversal,79.05,4.16
21,4,142.79,114.41,776,584,reveral larger,78.32,4.66
22,4.2,140.99,118.25,884,444,east,77.16,4.24
23,4.4,139.76,124.37,932,632,east,77.32,6.24
24,4.6,138.67,129.07,916,592,east,77.65,4.83
25,4.8,136.93,132.89,924,608,east,77.24,4.2
26,5,136.62,136.55,856,620,east,78.3,3.68
27,5.2,136.72,139.07,832,600,north,79.4,2.51
28,5.4,136.84,141.52,896,536,north,80.56,2.46
29,5.6,138.46,145.95,828,668,north,84.03,4.72
30,5.8,139.22,149.78,884,520,north,86.57,3.91
31,6,138.63,152.23,824,460,north,87.33,2.52
32,6.2,134.83,153.64,868,556,north,84.91,4.05
33,6.4,130.45,155.22,864,564,north,82.24,4.65
34,6.6,126.36,156.12,872,440,north,79.46,4.19
35,6.8,119.4,156.5,868,548,north,74.24,6.97
36,7,113.19,156.34,816,524,north,69.5,6.2
37,7.2,105.64,155.7,764,564,north,63.72,7.58
38,7.4,97.02,154.87,840,628,north,57.52,8.66
39,7.6,92.44,154.01,776,400,north,54.14,4.66
40,7.8,88.01,153.38,744,472,north,51.06,4.47
41,8,84.45,151.47,864,488,north,47.54,4.04
42,8.2,81.57,148.98,820,580,north,43.94,3.81
43,8.4,78.43,146.03,812,528,north,39.84,4.31
44,8.6,77.45,141.55,836,624,north,35.44,4.59
45,8.8,75.92,138.57,916,512,north,32.1,3.35
46,9,75.77,134.68,956,552,north,28.71,3.9
47,9.2,75.99,130.02,932,648,north,25.06,4.66
48,9.4,76.82,125.2,888,588,north,21.76,4.89
49,9.6,78.6,118.9,940,708,west,18.95,6.55
50,9.8,79.68,113.38,960,636,west,16.85,5.62
51,10,80.5,107.23,944,672,west,15.67,6.2
52,10.2,80.65,102.46,944,560,west,15.25,4.78
53,10.4,79.87,97.53,968,592,west,14.77,4.99
54,10.6,78.74,91.12,992,704,west,15.74,6.51
55,10.8,78.44,85.71,900,612,west,18.18,5.42
56,11,77.1,80.02,868,584,south,20.76,5.84
57,11.2,76.38,75.93,820,424,south,23.29,4.16
58,11.4,75.5,71.8,792,620,south,26.18,4.22
59,11.6,77.13,69.37,816,672,south,29.1,2.93
60,11.8,81.46,67.81,868,628,south,32.82,4.6
61,12,85.43,67.07,856,468,south,35.89,4.05
62,12.2,89.61,66.07,888,520,south,39.46,4.29
63,12.4,94.89,64.89,856,496,south,44.11,5.41
64,12.6,99.46,63.9,808,464,south,48.24,4.67
65,12.8,105.08,62.57,792,488,south,53.43,5.78
66,13,109.77,61.59,680,568,south,57.71,4.79
67,13.2,113.37,61.2,720,544,south,60.84,3.62
68,13.4,117,62.84,752,520,south,62.94,3.98
69,13.6,120.07,65.15,784,544,south,64.38,3.84
70,13.8,121.31,67.78,732,500,south,64.21,2.91
71,14,122.27,69.01,696,388,south,64.53,1.57
72,14.2,121.89,72,776,456,south,62.93,3.01
73,14.4,121.29,75.73,824,528,south,60.97,3.78
74,14.6,121.71,78.55,840,616,south,60.34,2.85
75,14.8,121.26,82.24,880,616,south,58.7,3.72
76,15,122.61,84.29,892,548,east,59.42,2.45
77,15.2,123.96,86.4,908,496,east,60.21,2.51
78,15.4,126.35,86.98,916,432,east,62.41,2.46
79,15.6,129.18,88.38,920,484,east,64.92,3.16
80,15.8,131.78,88.22,952,408,east,67.51,2.6
81,16,135.72,87.98,824,424,east,71.43,3.95
82,16.2,138.17,88.79,892,412,east,73.71,2.57
83,16.4,140.44,90.71,816,524,reveral larger,75.7,2.97
84,16.6,143.27,93.9,828,516,reveral larger,78.2,4.28
85,16.8,144.88,97.31,716,544,platform reversal,79.61,3.76
86,17,145.67,104.04,736,508,platform reversal,80.28,6.78
87,17.2,144.79,109.14,732,428,platform reversal,79.68,5.17
88,17.4,144.1,111.97,616,220,platform reversal,79.29,2.92
89,17.6,143.5,114.71,592,272,reveral larger,79.06,2.8
90,17.8,142.98,117.34,740,268,reveral larger,78.95,2.68
91,18,142.34,117.97,760,268,reveral larger,78.43,0.9
92,18.2,142.76,121.77,772,332,east,79.61,3.82
93,18.4,142.15,122.32,780,240,east,79.14,0.82
94,18.6,142.29,123.25,756,280,east,79.49,0.94
95,18.8,141.4,126.07,752,740,east,79.37,2.95
96,19,140.23,126.98,736,424,east,78.51,1.48
97,19.2,138.14,126.57,800,432,east,76.39,2.13
98,19.4,134.3,123.81,848,456,east,71.92,4.73
99,19.6,132.12,122.75,860,444,east,69.54,2.42
100,19.8,129.97,121.76,852,488,east,67.2,2.37
101,20,126.53,120.95,876,416,east,63.66,3.54
102,20.2,123.11,120.24,948,432,east,60.18,3.49
103,20.4,119.02,119.41,876,472,east,56.01,4.18
104,20.6,114.27,117.93,992,572,north,51.04,4.97
105,20.8,108.33,115.86,1016,760,north,44.76,6.29
106,21,103.92,113.84,1004,604,north,39.99,4.85
107,21.2,99.04,111.96,1008,668,north,34.8,5.23
108,21.4,94.9,110.31,1012,612,north,30.39,4.46
109,21.6,90.21,108.67,1004,656,west,25.48,4.97
110,21.8,85.05,106.31,1020,768,west,20.01,5.67
111,22,80.46,103.8,960,708,west,15.14,5.23
112,22.2,75.83,100.22,960,688,west,10.51,5.86
113,22.4,72.21,96.41,932,564,west,7.76,5.25
114,22.6,68.99,92.34,936,524,west,6.64,5.19
115,22.8,66.21,88.94,840,408,west,6.78,4.39
116,23,63.04,83.54,748,668,west,9.99,6.26
117,23.2,60.91,78.52,756,528,west,14.19,5.45
118,23.4,60.32,72.99,768,524,west,19.59,5.56
