Track file,C:\Users\tiago\rat_navigation\data\ethovision\exp nestle 3_0003\data\track_00042.trk,,,,,,,
Object,0,,,,,,,
Samples,146,,,,,,,
treatment,2,,,,,,,
cage,28,,,,,,,
mark,1,,,,,,,
id,92,,,,,,,
trial,2,,,,,,,
date,31:57.0,yyyy-MM-dd HH:mm:ss,,,,,,
Sample no.,Time,X,Y,Area,Changed area,ZONES,Distance to zone [platform [Acquisition Zonedef]],Distance moved
1,0,89.74,17.93,180,380,s ext,80.79,-
2,0.2,89.67,18.89,304,124,s ext,79.88,0.96
3,0.4,86.13,21.45,448,256,south,76.22,4.37
4,0.6,82.85,24.76,568,280,south,71.99,4.66
5,0.8,79.95,28.75,624,440,south,67.28,4.92
6,1,76.11,33.03,668,508,south,62.03,5.76
7,1.2,76.77,37.17,696,452,south,58.28,4.19
8,1.4,77.73,42.77,704,616,south,53.32,5.68
9,1.6,81.01,48.75,736,536,south,49.01,6.82
10,1.8,83.91,54.47,812,524,south,45.35,6.41
11,2,85.42,59.02,852,544,south,42.29,4.79
12,2.2,86.72,62.74,912,476,south,40.05,3.94
13,2.4,88.81,67.24,896,528,south,38.08,4.96
14,2.6,90.62,70.26,916,604,south,37.37,3.52
15,2.8,92.28,72.54,896,556,south,37.21,2.82
16,3,94.59,74.89,988,556,south,37.6,3.29
17,3.2,97.57,75.95,924,512,south,39.51,3.17
18,3.4,101.05,78.23,920,588,south,41.42,4.16
19,3.6,103.63,80.33,968,456,south,42.86,3.32
20,3.8,106.74,82.38,988,532,south,44.99,3.72
21,4,108.92,85,1000,476,south,46.12,3.41
22,4.2,111.77,86.97,1032,504,south,48.25,3.46
23,4.4,114.54,88.95,1032,488,south,50.45,3.4
24,4.6,116.63,90.99,948,476,east,52.11,2.93
25,4.8,118.6,93.8,1012,616,east,53.65,3.43
26,5,119.99,96.7,952,620,east,54.78,3.22
27,5.2,120.68,101.05,948,572,east,55.29,4.4
28,5.4,120.99,104.64,984,476,east,55.64,3.6
29,5.6,122.06,109.09,976,568,east,57.06,4.58
30,5.8,124.05,114.55,932,532,east,59.82,5.81
31,6,127.15,120.53,976,628,east,64.15,6.74
32,6.2,129.94,125.83,960,496,east,68.36,5.99
33,6.4,133.16,131.42,912,568,east,73.19,6.45
34,6.6,135.78,136.06,948,604,east,77.34,5.34
35,6.8,136.72,139.07,924,688,north,79.4,3.14
36,7,136.45,142.46,880,676,north,80.63,3.41
37,7.2,132.1,142.97,952,648,north,77.01,4.38
38,7.4,127.36,143.61,924,620,north,73.21,4.78
39,7.6,121.27,144.78,984,716,north,68.7,6.21
40,7.8,114.37,145.15,920,656,north,63.31,6.91
41,8,109.12,145.89,916,636,north,59.56,5.3
42,8.2,103.8,145.66,780,720,north,55.35,5.33
43,8.4,100.1,143.2,880,556,north,50.96,4.44
44,8.6,96.87,140.28,924,540,north,46.61,4.36
45,8.8,95.6,134.98,964,760,north,42.19,5.45
46,9,94.56,129.84,980,608,north,38.28,5.25
47,9.2,94.55,124.23,1016,740,north,35.11,5.61
48,9.4,94.49,118.72,1004,708,north,32.55,5.51
49,9.6,93.72,113.21,1040,756,north,30.01,5.56
50,9.8,93.05,106.51,1028,916,west,27.96,6.73
51,10,91.98,100.94,1084,800,west,26.6,5.68
52,10.2,90.03,95.13,1120,820,west,25.2,6.13
53,10.4,87.69,89.07,1036,780,south,24.82,6.49
54,10.6,84.82,82.7,952,740,south,25.13,6.99
55,10.8,82.14,76.85,960,648,south,26.64,6.44
56,11,80.09,73,904,480,south,27.91,4.36
57,11.2,76.31,69.04,856,576,south,28.97,5.48
58,11.4,73.43,66.57,940,492,south,29.67,3.79
59,11.6,68.63,63.08,928,580,south,31.13,5.93
60,11.8,64.76,60.45,864,488,south,32.66,4.68
61,12,59.11,55.44,796,628,south,36.96,7.55
62,12.2,54.61,50.42,816,484,south,41.96,6.75
63,12.4,48.75,43.41,800,528,south,49.55,9.13
64,12.6,44.57,37.58,732,412,south,56.07,7.18
65,12.8,39.92,32.49,692,384,south,62.14,6.9
66,13,36.19,28.97,676,600,south,66.59,5.13
67,13.2,30.42,25.16,728,500,south,72.12,6.91
68,13.4,27.4,23.96,688,392,south,74.38,3.25
69,13.6,26.04,24.65,724,420,south,74.29,1.53
70,13.8,26.78,27.53,780,576,south,71.37,2.97
71,14,28.23,31.69,788,552,west,66.98,4.41
72,14.2,31.83,39.35,800,636,west,58.52,8.46
73,14.4,34.29,46.37,752,584,west,51.13,7.43
74,14.6,36.21,53.85,792,552,west,43.59,7.72
75,14.8,37.55,64.87,812,700,west,33.34,11.1
76,15,38.6,74.3,804,576,west,24.99,9.49
77,15.2,39.61,87.23,800,628,west,15.97,12.97
78,15.4,39.28,97.86,776,584,west,12.86,10.64
79,15.6,38.91,111.72,776,680,west,14.41,13.87
80,15.8,38.88,121.24,780,556,west,19.05,9.52
81,16,39.1,131.3,792,612,west,25.92,10.05
82,16.2,38.12,138.43,820,508,west,32.41,7.2
83,16.4,36.01,146.51,756,752,west,40.5,8.35
84,16.6,34.78,150.85,708,568,west,44.93,4.51
85,16.8,32.48,154.73,768,564,west,49.43,4.52
86,17,28.29,159.74,704,544,west,55.8,6.53
87,17.2,24.77,163.61,776,472,west,60.89,5.23
88,17.4,20.21,168.28,688,344,west,67.22,6.53
89,17.6,15.56,172.36,732,396,west,73.13,6.18
90,17.8,11.74,175.96,648,492,west,78.23,5.25
91,18,9.73,178.28,548,572,west,81.27,3.07
92,18.2,7.21,183.3,656,348,w ext,86.84,5.61
93,18.4,6.53,186.49,600,368,west,89.9,3.27
94,18.6,9.1,186.1,656,456,west,88.22,2.59
95,18.8,11.94,184.85,656,352,west,85.7,3.11
96,19,17.03,181.87,720,472,north,80.63,5.9
97,19.2,21.28,180.19,716,460,north,77.22,4.57
98,19.4,25.89,178.47,736,508,north,73.76,4.92
99,19.6,33.09,175.02,768,568,north,67.93,7.98
100,19.8,41.04,172.42,784,648,north,63.12,8.37
101,20,52.56,168.03,736,640,north,56.99,12.33
102,20.2,64.56,164.91,780,668,north,54.07,12.4
103,20.4,75.28,164.19,844,728,north,55.57,10.74
104,20.6,83.57,165.58,796,696,north,59.7,8.41
105,20.8,91.18,167.68,808,580,north,64.95,7.89
106,21,97.92,170.28,804,436,north,70.64,7.23
107,21.2,105.42,172.53,736,604,north,76.75,7.83
108,21.4,115.17,173.97,764,516,north,83.76,9.86
109,21.6,123.35,174.17,720,476,north,89.3,8.18
110,21.8,132.89,175.41,760,424,north,96.91,9.62
111,22,140.8,177.52,812,444,north,104.17,8.19
112,22.2,148.66,180.13,740,480,north,111.84,8.28
113,22.4,154.43,181.62,676,600,north,117.26,5.96
114,22.6,154.78,180.04,688,436,north,116.56,1.62
115,22.8,154.19,176.89,756,468,north,114.19,3.2
116,23,150.67,172.19,732,488,north,108.57,5.87
117,23.2,144.73,166.19,816,548,north,100.24,8.44
118,23.4,137.83,159.21,820,588,north,90.55,9.82
119,23.6,130.61,152.25,852,608,north,80.64,10.03
120,23.8,124.44,146.6,892,592,north,72.35,8.37
121,24,118.13,142.45,944,596,north,64.8,7.55
122,24.2,112.34,138.22,916,684,north,57.63,7.18
123,24.4,106.95,136.35,944,636,north,52.14,5.7
124,24.6,101.78,134.87,936,504,north,47.08,5.38
125,24.8,97.12,132.51,964,676,north,41.92,5.23
126,25,93.59,130.44,984,572,north,37.85,4.08
127,25.2,90.92,126.64,1004,604,north,33.46,4.64
128,25.4,88.05,122.29,1012,760,north,28.59,5.22
129,25.6,85.41,117.92,1032,708,north,24.03,5.11
130,25.8,82.04,114.05,1004,796,west,19.27,5.13
131,26,79.76,110.63,960,636,west,15.93,4.11
132,26.2,77.25,107.68,932,692,west,12.63,3.88
133,26.4,73.11,105.82,1004,768,west,8.16,4.53
134,26.6,69.41,104.58,952,612,platform larger,4.28,3.91
135,26.8,67.46,104.31,836,348,platform larger,2.32,1.96
136,27,66.28,103.27,736,228,platform larger,1,1.58
137,27.2,64.3,102.93,768,312,platform,0,2
138,27.4,62.31,102.57,820,396,platform,0,2.03
139,27.6,60.4,101.24,832,356,platform,0,2.33
140,27.8,61.07,101.38,816,184,platform,0,0.69
141,28,61.17,100.46,776,320,platform,0,0.93
142,28.2,61.94,99.7,828,332,platform,0,1.08
143,28.4,62.02,98.79,804,184,platform,0,0.91
144,28.6,62.02,98.79,836,248,platform,0,0
145,28.8,60.59,99.37,840,532,platform,0,1.54
146,29,59.82,100.14,800,176,platform,0,1.09
